"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",,"0.229","0.138","0.273","0.136","0.137","0.195","0.258","0.183","0.124","0.192","0.337","0.191","0.011","0.272","0.133","0.183",0,6
"Buena",,"0.216","0.235","0.236","0.21","0.259","0.189","0.113","0.294","0.213","0.246","0.194","0.126","0.182","0.265","0.205","0.225",0,6
"Ni buena ni mala",,"0.282","0.25","0.253","0.281","0.197","0.383","0.278","0.246","0.286","0.285","0.226","0.207","0.349","0.245","0.282","0.266",0,6
"Mala",,"0.161","0.224","0.125","0.249","0.214","0.129","0.228","0.163","0.208","0.157","0.211","0.324","0.326","0.134","0.224","0.193",0,6
"Muy mala",,"0.092","0.111","0.089","0.105","0.134","0.06","0.076","0.098","0.128","0.097","0.007","0.151","0.114","0.063","0.124","0.102",0,6
"No sabe",,"0.02","0.042","0.024","0.019","0.059","0.044","0.047","0.016","0.041","0.023","0.025","0.001","0.018","0.021","0.032","0.031",0,6
"Positiva",,"0.445","0.373","0.509","0.346","0.396","0.384","0.371","0.477","0.337","0.438","0.531","0.317","0.193","0.537","0.338","0.408",0,4
"Neutra",,"0.282","0.25","0.253","0.281","0.197","0.383","0.278","0.246","0.286","0.285","0.226","0.207","0.349","0.245","0.282","0.266",0,4
"Negativa",,"0.253","0.335","0.214","0.354","0.348","0.189","0.304","0.261","0.336","0.254","0.218","0.475","0.44","0.197","0.348","0.295",0,4
"No sabe",,"0.02","0.042","0.024","0.019","0.059","0.044","0.047","0.016","0.041","0.023","0.025","0.001","0.018","0.021","0.032","0.031",0,4
