"var","categoria","Si","No","No sabe"
"P08","Siempre",0.243,0.223,0.134
"P08","Casi siempre",0.342,0.375,0.416
"P08","Casi nunca",0.328,0.26,0.354
"P08","Nunca, pero esta es una excepción",0.087,0.142,0.096
"P09","Muy buena",0.276,0.113,0.044
"P09","Buena",0.282,0.21,0.219
"P09","Ni buena ni mala",0.314,0.361,0.502
"P09","Mala",0.102,0.207,0.125
"P09","Muy mala",0.023,0.097,0.053
"P09","No sabe",0.003,0.012,0.057
"P10","Muy buena",0.356,0.165,0.058
"P10","Buena",0.321,0.294,0.314
"P10","Ni buena ni mala",0.209,0.286,0.423
"P10","Mala",0.067,0.179,0.084
"P10","Muy mala",0.041,0.056,0.068
"P10","No sabe",0.006,0.02,0.053
"P11","Muy de acuerdo",0.231,0.13,0.037
"P11","De acuerdo",0.208,0.187,0.193
"P11","Ni de acuerdo ni en desacuerdo",0.314,0.34,0.433
"P11","En desacuerdo",0.06,0.13,0.055
"P11","Muy en desacuerdo",0.047,0.072,0.051
"P11","No sabe",0.14,0.141,0.231
"P14","Muy de acuerdo",0.207,0.122,0.116
"P14","De acuerdo",0.095,0.119,0.111
"P14","Ni de acuerdo ni en desacuerdo",0.306,0.305,0.342
"P14","En desacuerdo",0.231,0.214,0.206
"P14","Muy en desacuerdo",0.104,0.186,0.126
"P14","No sabe",0.057,0.054,0.099
"P15","Muy de acuerdo",0.508,0.262,0.265
"P15","De acuerdo",0.193,0.194,0.233
"P15","Ni de acuerdo ni en desacuerdo",0.153,0.209,0.283
"P15","En desacuerdo",0.101,0.188,0.128
"P15","Muy en desacuerdo",0.043,0.133,0.057
"P15","No sabe",0.002,0.014,0.034
"P17","Muy de acuerdo",0.452,0.345,0.235
"P17","De acuerdo",0.224,0.307,0.202
"P17","Ni de acuerdo ni en desacuerdo",0.187,0.151,0.39
"P17","En desacuerdo",0.076,0.108,0.086
"P17","Muy en desacuerdo",0.031,0.058,0.046
"P17","No sabe",0.03,0.031,0.041
"P18","Muy de acuerdo",0.221,0.119,0.039
"P18","De acuerdo",0.238,0.304,0.219
"P18","Ni de acuerdo ni en desacuerdo",0.256,0.299,0.368
"P18","En desacuerdo",0.167,0.173,0.21
"P18","Muy en desacuerdo",0.078,0.093,0.063
"P18","No sabe",0.04,0.012,0.101
"P19","Muy de acuerdo",0.355,0.212,0.213
"P19","De acuerdo",0.161,0.2,0.148
"P19","Ni de acuerdo ni en desacuerdo",0.244,0.241,0.301
"P19","En desacuerdo",0.118,0.186,0.137
"P19","Muy en desacuerdo",0.096,0.146,0.109
"P19","No sabe",0.026,0.015,0.092
"P20","Autoritaria",0.423,0.326,0.321
"P20","Inexperta negociando",0.118,0.191,0.145
"P20","Indecisa",0.055,0.04,0.125
"P20","Prudente",0.108,0.161,0.135
"P20","Hábil negociando",0.092,0.092,0.078
"P20","Firme y decidido",0.204,0.19,0.196
"P21","Si",0.696,0.399,0.405
"P21","No",0.183,0.346,0.245
"P21","No sabe",0.121,0.255,0.35
"P22","Si",0.57,0.292,0.332
"P22","No",0.227,0.419,0.199
"P22","No sabe",0.203,0.289,0.469
"P25","Muy de acuerdo",0.444,0.343,0.263
"P25","De acuerdo",0.142,0.152,0.201
"P25","Ni de acuerdo ni en desacuerdo",0.117,0.114,0.184
"P25","En desacuerdo",0.106,0.131,0.083
"P25","Muy en desacuerdo",0.182,0.242,0.241
"P25","No sabe",0.009,0.018,0.028
"P26","Muy de acuerdo",0.463,0.347,0.274
"P26","De acuerdo",0.083,0.152,0.166
"P26","Ni de acuerdo ni en desacuerdo",0.143,0.096,0.119
"P26","En desacuerdo",0.1,0.122,0.107
"P26","Muy en desacuerdo",0.199,0.274,0.266
"P26","No sabe",0.012,0.009,0.068
"P27","Muy buena",0.313,0.122,0.127
"P27","Buena",0.262,0.27,0.228
"P27","Ni buena ni mala",0.224,0.336,0.448
"P27","Mala",0.09,0.135,0.117
"P27","Muy mala",0.097,0.123,0.065
"P27","No sabe",0.014,0.014,0.015
"P28","Muy buena",0.18,0.078,0.083
"P28","Buena",0.212,0.166,0.172
"P28","Ni buena ni mala",0.284,0.32,0.409
"P28","Mala",0.171,0.181,0.154
"P28","Muy mala",0.128,0.203,0.086
"P28","No sabe",0.025,0.052,0.096
"P29","Muy buena",0.125,0.074,0.08
"P29","Buena",0.135,0.176,0.114
"P29","Ni buena ni mala",0.232,0.202,0.324
"P29","Mala",0.284,0.266,0.256
"P29","Muy mala",0.205,0.258,0.186
"P29","No sabe",0.019,0.024,0.04
"P30","Muy buena",0.124,0.047,0.06
"P30","Buena",0.128,0.172,0.128
"P30","Ni buena ni mala",0.426,0.385,0.404
"P30","Mala",0.144,0.144,0.226
"P30","Muy mala",0.158,0.218,0.095
"P30","No sabe",0.02,0.034,0.087
"P31","Muy buena",0.175,0.126,0.099
"P31","Buena",0.149,0.201,0.196
"P31","Ni buena ni mala",0.264,0.267,0.318
"P31","Mala",0.196,0.125,0.166
"P31","Muy mala",0.204,0.235,0.152
"P31","No sabe",0.012,0.046,0.069
"P32","Muy buena",0.23,0.259,0.2
"P32","Buena",0.052,0.11,0.099
"P32","Ni buena ni mala",0.103,0.134,0.196
"P32","Mala",0.207,0.1,0.15
"P32","Muy mala",0.399,0.378,0.33
"P32","No sabe",0.009,0.019,0.025
"P33","Muy buena",0.164,0.128,0.153
"P33","Buena",0.153,0.171,0.122
"P33","Ni buena ni mala",0.155,0.213,0.208
"P33","Mala",0.227,0.179,0.176
"P33","Muy mala",0.292,0.303,0.291
"P33","No sabe",0.009,0.006,0.05
"P34","Muy buena",0.172,0.166,0.105
"P34","Buena",0.139,0.16,0.213
"P34","Ni buena ni mala",0.106,0.153,0.207
"P34","Mala",0.176,0.108,0.147
"P34","Muy mala",0.398,0.379,0.31
"P34","No sabe",0.009,0.034,0.018
"P35","Muy buena",0.386,0.306,0.289
"P35","Buena",0.106,0.167,0.109
"P35","Ni buena ni mala",0.079,0.099,0.144
"P35","Mala",0.148,0.105,0.121
"P35","Muy mala",0.281,0.31,0.317
"P35","No sabe",0,0.013,0.02
"P36","Muy buena",0.32,0.231,0.261
"P36","Buena",0.245,0.251,0.106
"P36","Ni buena ni mala",0.073,0.099,0.206
"P36","Mala",0.109,0.109,0.087
"P36","Muy mala",0.253,0.308,0.312
"P36","No sabe",0,0.002,0.028
"P37","Muy buena",0.252,0.175,0.144
"P37","Buena",0.187,0.163,0.165
"P37","Ni buena ni mala",0.204,0.264,0.252
"P37","Mala",0.14,0.133,0.08
"P37","Muy mala",0.21,0.254,0.303
"P37","No sabe",0.007,0.011,0.056
"P38","Muy buena",0.432,0.389,0.3
"P38","Buena",0.109,0.169,0.157
"P38","Ni buena ni mala",0.153,0.115,0.139
"P38","Mala",0.115,0.084,0.07
"P38","Muy mala",0.186,0.238,0.309
"P38","No sabe",0.005,0.005,0.025
"P39","Muy buena",0.202,0.11,0.125
"P39","Buena",0.17,0.187,0.208
"P39","Ni buena ni mala",0.372,0.352,0.339
"P39","Mala",0.13,0.123,0.135
"P39","Muy mala",0.09,0.222,0.136
"P39","No sabe",0.036,0.006,0.057
"P40","Muy buena",0.21,0.135,0.105
"P40","Buena",0.153,0.184,0.153
"P40","Ni buena ni mala",0.259,0.186,0.282
"P40","Mala",0.132,0.17,0.069
"P40","Muy mala",0.218,0.292,0.327
"P40","No sabe",0.028,0.033,0.064
"P41","Muy buena",0.208,0.092,0.092
"P41","Buena",0.131,0.199,0.185
"P41","Ni buena ni mala",0.348,0.271,0.285
"P41","Mala",0.121,0.133,0.106
"P41","Muy mala",0.142,0.25,0.208
"P41","No sabe",0.05,0.055,0.124
