"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P38","Negativa",0.341,0.363,0.196,0.445
"P38","No sabe",0.005,0.022,0.011,0
"P39","Positiva",0.405,0.291,0.229,0.253
"P39","Neutra",0.336,0.397,0.379,0.234
"P39","Negativa",0.234,0.261,0.385,0.367
"P39","No sabe",0.025,0.051,0.007,0.146
"P40","Positiva",0.27,0.358,0.445,0.313
"P40","Neutra",0.266,0.265,0.144,0.178
"P40","Negativa",0.415,0.35,0.391,0.452
"P40","No sabe",0.049,0.027,0.02,0.057
"P41","Positiva",0.258,0.309,0.482,0.331
"P41","Neutra",0.356,0.309,0.192,0.108
"P41","Negativa",0.323,0.296,0.293,0.315
"P41","No sabe",0.063,0.086,0.033,0.246
