"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Si","0.422","0.492","0.349","0.457","0.378","0.408","0.517","0.43","0.416","0.423","0.477","0.5","0.358","0.275","0.537","0.346","0.422","0"
"No","0.361","0.33","0.394","0.259","0.422","0.458","0.223","0.341","0.336","0.414","0.326","0.259","0.441","0.531","0.213","0.453","0.361","0"
"No sabe","0.217","0.178","0.257","0.284","0.2","0.134","0.26","0.229","0.248","0.163","0.197","0.241","0.201","0.194","0.25","0.201","0.217","0"
