"var","categoria","Autoritaria","Inexperta negociando","Indecisa","Prudente","Hábil negociando","Firme y decidido"
"P08","Siempre",0.304,0.212,0.114,0.142,0.201,0.151
"P08","Casi siempre",0.347,0.405,0.339,0.435,0.4,0.362
"P08","Casi nunca",0.246,0.281,0.401,0.322,0.309,0.381
"P08","Nunca, pero esta es una excepción",0.103,0.102,0.146,0.101,0.09,0.106
"P09","Muy buena",0.274,0.127,0.202,0.074,0.148,0.077
"P09","Buena",0.227,0.361,0.289,0.278,0.334,0.15
"P09","Ni buena ni mala",0.355,0.408,0.413,0.444,0.173,0.345
"P09","Mala",0.106,0.055,0.074,0.171,0.229,0.267
"P09","Muy mala",0.02,0.031,0.022,0.033,0.104,0.112
"P09","No sabe",0.018,0.018,0,0,0.012,0.049
"P10","Muy buena",0.35,0.209,0.23,0.139,0.151,0.106
"P10","Buena",0.322,0.418,0.323,0.427,0.289,0.19
"P10","Ni buena ni mala",0.21,0.258,0.262,0.366,0.365,0.297
"P10","Mala",0.09,0.061,0.074,0.045,0.11,0.222
"P10","Muy mala",0.009,0.023,0.103,0.023,0.078,0.137
"P10","No sabe",0.019,0.031,0.008,0,0.007,0.048
"P11","Muy de acuerdo",0.257,0.188,0.16,0.07,0.109,0.051
"P11","De acuerdo",0.197,0.359,0.302,0.154,0.09,0.082
"P11","Ni de acuerdo ni en desacuerdo",0.337,0.289,0.419,0.339,0.447,0.327
"P11","En desacuerdo",0.042,0.065,0.01,0.136,0.122,0.121
"P11","Muy en desacuerdo",0.008,0.018,0.081,0.026,0.097,0.154
"P11","No sabe",0.159,0.081,0.028,0.275,0.135,0.265
"P14","Muy de acuerdo",0.28,0.195,0.342,0.059,0.036,0.027
"P14","De acuerdo",0.139,0.249,0.09,0.029,0.038,0.015
"P14","Ni de acuerdo ni en desacuerdo",0.273,0.296,0.342,0.282,0.292,0.339
"P14","En desacuerdo",0.147,0.171,0.189,0.399,0.35,0.247
"P14","Muy en desacuerdo",0.102,0.078,0.021,0.124,0.227,0.24
"P14","No sabe",0.059,0.011,0.016,0.107,0.057,0.132
"P15","Muy de acuerdo",0.532,0.353,0.434,0.327,0.217,0.217
"P15","De acuerdo",0.195,0.335,0.183,0.267,0.096,0.106
"P15","Ni de acuerdo ni en desacuerdo",0.127,0.185,0.296,0.211,0.243,0.282
"P15","En desacuerdo",0.101,0.124,0.007,0.131,0.236,0.245
"P15","Muy en desacuerdo",0.035,0.003,0.069,0.052,0.207,0.124
"P15","No sabe",0.01,0,0.011,0.012,0.001,0.026
"P16","Si",0.522,0.367,0.369,0.376,0.472,0.469
"P16","No",0.261,0.386,0.174,0.364,0.308,0.284
"P16","No sabe",0.217,0.247,0.457,0.26,0.22,0.247
"P17","Muy de acuerdo",0.469,0.298,0.359,0.302,0.412,0.242
"P17","De acuerdo",0.209,0.376,0.16,0.371,0.198,0.176
"P17","Ni de acuerdo ni en desacuerdo",0.209,0.204,0.388,0.117,0.184,0.278
"P17","En desacuerdo",0.045,0.105,0.009,0.114,0.115,0.179
"P17","Muy en desacuerdo",0.037,0.007,0.073,0.037,0.08,0.067
"P17","No sabe",0.031,0.01,0.011,0.059,0.011,0.058
"P18","Muy de acuerdo",0.305,0.105,0.101,0.059,0.042,0.016
"P18","De acuerdo",0.323,0.419,0.238,0.327,0.09,0.047
"P18","Ni de acuerdo ni en desacuerdo",0.266,0.277,0.491,0.165,0.276,0.3
"P18","En desacuerdo",0.053,0.128,0.145,0.258,0.403,0.328
"P18","Muy en desacuerdo",0.02,0.022,0.006,0.056,0.183,0.261
"P18","No sabe",0.033,0.049,0.019,0.135,0.006,0.048
"P19","Muy de acuerdo",0.505,0.271,0.029,0.097,0.187,0.122
"P19","De acuerdo",0.165,0.305,0.141,0.247,0.173,0.046
"P19","Ni de acuerdo ni en desacuerdo",0.183,0.222,0.741,0.26,0.162,0.235
"P19","En desacuerdo",0.064,0.143,0.011,0.239,0.259,0.237
"P19","Muy en desacuerdo",0.062,0.045,0.063,0.042,0.191,0.311
"P19","No sabe",0.021,0.014,0.015,0.115,0.028,0.049
"P21","Si",0.744,0.57,0.578,0.406,0.428,0.236
"P21","No",0.12,0.257,0.166,0.228,0.352,0.467
"P21","No sabe",0.136,0.173,0.256,0.366,0.22,0.297
"P22","Si",0.588,0.457,0.445,0.395,0.348,0.164
"P22","No",0.152,0.267,0.072,0.318,0.326,0.53
"P22","No sabe",0.26,0.276,0.483,0.287,0.326,0.306
"P25","Muy de acuerdo",0.146,0.14,0.315,0.412,0.847,0.728
"P25","De acuerdo",0.083,0.237,0.124,0.366,0.052,0.172
"P25","Ni de acuerdo ni en desacuerdo",0.099,0.257,0.355,0.106,0.085,0.073
"P25","En desacuerdo",0.178,0.106,0.189,0.095,0.002,0.006
"P25","Muy en desacuerdo",0.474,0.245,0.011,0.012,0.002,0
"P25","No sabe",0.02,0.015,0.006,0.009,0.012,0.021
"P26","Muy de acuerdo",0.126,0.148,0.302,0.471,0.794,0.81
"P26","De acuerdo",0.036,0.239,0.202,0.257,0.095,0.107
"P26","Ni de acuerdo ni en desacuerdo",0.111,0.174,0.258,0.162,0.053,0.069
"P26","En desacuerdo",0.179,0.15,0.094,0.098,0,0.004
"P26","Muy en desacuerdo",0.525,0.276,0.005,0.012,0.008,0
"P26","No sabe",0.023,0.013,0.139,0,0.05,0.01
"P27","Muy buena",0.282,0.175,0.432,0.157,0.195,0.055
"P27","Buena",0.286,0.374,0.211,0.316,0.201,0.106
"P27","Ni buena ni mala",0.252,0.268,0.336,0.381,0.33,0.42
"P27","Mala",0.073,0.086,0,0.109,0.173,0.211
"P27","Muy mala",0.083,0.097,0.003,0.012,0.101,0.204
"P27","No sabe",0.024,0,0.018,0.025,0,0.004
"P28","Muy buena",0.21,0.131,0.071,0.067,0.06,0.037
"P28","Buena",0.171,0.339,0.375,0.171,0.062,0.11
"P28","Ni buena ni mala",0.372,0.338,0.38,0.267,0.327,0.257
"P28","Mala",0.118,0.112,0.059,0.296,0.25,0.232
"P28","Muy mala",0.087,0.073,0.013,0.129,0.244,0.289
"P28","No sabe",0.042,0.007,0.102,0.07,0.057,0.075
"P29","Muy buena",0.168,0.075,0.217,0.045,0.025,0.009
"P29","Buena",0.122,0.237,0.246,0.094,0.05,0.142
"P29","Ni buena ni mala",0.23,0.306,0.284,0.345,0.18,0.193
"P29","Mala",0.276,0.226,0.221,0.319,0.352,0.249
"P29","Muy mala",0.178,0.146,0.013,0.171,0.357,0.372
"P29","No sabe",0.026,0.01,0.019,0.026,0.036,0.035
"P30","Muy buena",0.142,0.054,0.147,0.054,0.014,0.028
"P30","Buena",0.132,0.186,0.132,0.178,0.042,0.147
"P30","Ni buena ni mala",0.402,0.483,0.468,0.489,0.354,0.317
"P30","Mala",0.144,0.172,0.186,0.14,0.315,0.146
"P30","Muy mala",0.131,0.088,0,0.111,0.222,0.321
"P30","No sabe",0.049,0.017,0.067,0.028,0.053,0.041
"P31","Muy buena",0.239,0.112,0.239,0.038,0.031,0.059
"P31","Buena",0.241,0.26,0.09,0.18,0.042,0.074
"P31","Ni buena ni mala",0.29,0.389,0.437,0.326,0.129,0.159
"P31","Mala",0.124,0.139,0.145,0.191,0.308,0.203
"P31","Muy mala",0.085,0.088,0.069,0.178,0.445,0.45
"P31","No sabe",0.021,0.012,0.02,0.087,0.045,0.055
"P32","Muy buena",0.461,0.264,0.134,0.052,0.014,0.002
"P32","Buena",0.133,0.164,0.058,0.002,0.027,0
"P32","Ni buena ni mala",0.177,0.198,0.414,0.091,0.007,0.014
"P32","Mala",0.137,0.161,0.218,0.266,0.2,0.108
"P32","Muy mala",0.09,0.209,0.098,0.589,0.672,0.861
"P32","No sabe",0.002,0.004,0.078,0,0.08,0.015
"P33","Muy buena",0.088,0.125,0.187,0.134,0.278,0.23
"P33","Buena",0.055,0.177,0.104,0.291,0.16,0.236
"P33","Ni buena ni mala",0.098,0.151,0.387,0.196,0.163,0.318
"P33","Mala",0.242,0.21,0.234,0.171,0.212,0.116
"P33","Muy mala",0.514,0.315,0.01,0.162,0.14,0.1
"P33","No sabe",0.003,0.022,0.078,0.046,0.047,0
"P34","Muy buena",0.302,0.127,0.158,0.009,0.076,0.013
"P34","Buena",0.266,0.305,0.057,0.016,0.009,0.064
"P34","Ni buena ni mala",0.2,0.154,0.403,0.126,0.015,0.028
"P34","Mala",0.118,0.178,0.237,0.221,0.168,0.106
"P34","Muy mala",0.111,0.236,0.079,0.583,0.66,0.782
"P34","No sabe",0.003,0,0.066,0.045,0.072,0.007
"P35","Muy buena",0.115,0.156,0.223,0.4,0.565,0.785
"P35","Buena",0.062,0.204,0.098,0.288,0.116,0.097
"P35","Ni buena ni mala",0.072,0.179,0.452,0.099,0.019,0.036
"P35","Mala",0.198,0.144,0.187,0.08,0.086,0.016
"P35","Muy mala",0.544,0.317,0.026,0.133,0.167,0.062
"P35","No sabe",0.009,0,0.014,0,0.047,0.004
"P36","Muy buena",0.084,0.201,0.253,0.377,0.612,0.509
"P36","Buena",0.077,0.18,0.218,0.335,0.21,0.404
"P36","Ni buena ni mala",0.075,0.14,0.387,0.186,0.047,0.075
"P36","Mala",0.172,0.086,0.105,0.08,0.087,0.007
"P36","Muy mala",0.589,0.377,0.023,0.022,0.005,0.005
"P36","No sabe",0.003,0.016,0.014,0,0.039,0
"P37","Muy buena",0.096,0.116,0.04,0.166,0.496,0.41
"P37","Buena",0.065,0.172,0.129,0.376,0.21,0.254
"P37","Ni buena ni mala",0.106,0.251,0.659,0.382,0.175,0.267
"P37","Mala",0.201,0.13,0.138,0.068,0.059,0.024
"P37","Muy mala",0.523,0.304,0.027,0.006,0.005,0.005
"P37","No sabe",0.009,0.027,0.007,0.002,0.055,0.04
"P38","Muy buena",0.133,0.204,0.222,0.491,0.735,0.816
"P38","Buena",0.056,0.242,0.301,0.32,0.07,0.091
"P38","Ni buena ni mala",0.13,0.133,0.38,0.156,0.139,0.081
"P38","Mala",0.196,0.104,0.068,0.01,0,0
