"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena","0.198","0.235","0.16","0.283","0.169","0.135","0.181","0.274","0.197","0.137","0.245","0.263","0.166","0.028","0.288","0.149","0.198",0,6
"Buena","0.23","0.23","0.23","0.226","0.213","0.236","0.295","0.165","0.272","0.219","0.238","0.201","0.275","0.261","0.29","0.192","0.23",0,6
"Ni buena ni mala","0.262","0.26","0.264","0.279","0.242","0.256","0.299","0.244","0.285","0.241","0.268","0.304","0.186","0.24","0.206","0.301","0.262",0,6
"Mala","0.16","0.147","0.173","0.038","0.226","0.231","0.126","0.159","0.131","0.204","0.137","0.088","0.184","0.362","0.112","0.182","0.16",0,6
"Muy mala","0.101","0.088","0.115","0.096","0.112","0.104","0.069","0.092","0.075","0.149","0.1","0.058","0.11","0.082","0.06","0.126","0.101",0,6
"No sabe","0.049","0.04","0.058","0.078","0.038","0.038","0.03","0.066","0.04","0.05","0.012","0.086","0.079","0.027","0.044","0.05","0.049",0,6
"Positiva","0.428","0.465","0.39","0.509","0.382","0.371","0.476","0.439","0.469","0.356","0.483","0.464","0.441","0.289","0.578","0.341","0.428",0,4
"Neutra","0.262","0.26","0.264","0.279","0.242","0.256","0.299","0.244","0.285","0.241","0.268","0.304","0.186","0.24","0.206","0.301","0.262",0,4
"Negativa","0.261","0.235","0.288","0.134","0.338","0.335","0.195","0.251","0.206","0.353","0.237","0.146","0.294","0.444","0.172","0.308","0.261",0,4
"No sabe","0.049","0.04","0.058","0.078","0.038","0.038","0.03","0.066","0.04","0.05","0.012","0.086","0.079","0.027","0.044","0.05","0.049",0,4
