"var","categoria","Si","No","No sabe"
"P08","Siempre",0.276,0.17,0.156
"P08","Casi siempre",0.375,0.403,0.361
"P08","Casi nunca",0.272,0.325,0.326
"P08","Nunca, pero esta es una excepción",0.077,0.102,0.157
"P09","Muy buena",0.294,0.09,0.07
"P09","Buena",0.347,0.186,0.188
"P09","Ni buena ni mala",0.273,0.301,0.544
"P09","Mala",0.068,0.271,0.141
"P09","Muy mala",0.009,0.141,0.007
"P09","No sabe",0.009,0.011,0.05
"P10","Muy buena",0.422,0.04,0.128
"P10","Buena",0.402,0.25,0.261
"P10","Ni buena ni mala",0.149,0.265,0.461
"P10","Mala",0.015,0.275,0.069
"P10","Muy mala",0.003,0.156,0.029
"P10","No sabe",0.009,0.014,0.052
"P11","Muy de acuerdo",0.26,0.097,0.047
"P11","De acuerdo",0.232,0.143,0.187
"P11","Ni de acuerdo ni en desacuerdo",0.321,0.283,0.449
"P11","En desacuerdo",0.039,0.162,0.061
"P11","Muy en desacuerdo",0.021,0.124,0.029
"P11","No sabe",0.127,0.191,0.227
"P14","Muy de acuerdo",0.278,0.087,0.095
"P14","De acuerdo",0.138,0.065,0.088
"P14","Ni de acuerdo ni en desacuerdo",0.251,0.252,0.415
"P14","En desacuerdo",0.164,0.262,0.254
"P14","Muy en desacuerdo",0.115,0.232,0.081
"P14","No sabe",0.054,0.102,0.067
"P15","Muy de acuerdo",0.544,0.237,0.3
"P15","De acuerdo",0.194,0.171,0.238
"P15","Ni de acuerdo ni en desacuerdo",0.133,0.206,0.28
"P15","En desacuerdo",0.069,0.265,0.143
"P15","Muy en desacuerdo",0.049,0.116,0.02
"P15","No sabe",0.011,0.005,0.019
"P16","Si",0.605,0.374,0.312
"P16","No",0.198,0.443,0.285
"P16","No sabe",0.197,0.183,0.403
"P17","Muy de acuerdo",0.438,0.328,0.278
"P17","De acuerdo",0.271,0.28,0.192
"P17","Ni de acuerdo ni en desacuerdo",0.206,0.145,0.323
"P17","En desacuerdo",0.054,0.121,0.108
"P17","Muy en desacuerdo",0.027,0.07,0.039
"P17","No sabe",0.004,0.056,0.06
"P18","Muy de acuerdo",0.259,0.069,0.064
"P18","De acuerdo",0.337,0.194,0.213
"P18","Ni de acuerdo ni en desacuerdo",0.239,0.224,0.398
"P18","En desacuerdo",0.081,0.291,0.198
"P18","Muy en desacuerdo",0.05,0.177,0.056
"P18","No sabe",0.034,0.045,0.071
"P19","Muy de acuerdo",0.387,0.177,0.233
"P19","De acuerdo",0.182,0.193,0.13
"P19","Ni de acuerdo ni en desacuerdo",0.253,0.157,0.328
"P19","En desacuerdo",0.094,0.201,0.164
"P19","Muy en desacuerdo",0.056,0.213,0.109
"P19","No sabe",0.028,0.059,0.036
"P20","Autoritaria",0.511,0.205,0.329
"P20","Inexperta negociando",0.156,0.141,0.136
"P20","Indecisa",0.069,0.017,0.108
"P20","Prudente",0.119,0.15,0.126
"P20","Hábil negociando",0.068,0.1,0.093
"P20","Firme y decidido",0.077,0.387,0.208
"P21","Si",0.877,0.172,0.381
"P21","No",0.046,0.7,0.11
"P21","No sabe",0.077,0.128,0.509
"P25","Muy de acuerdo",0.331,0.522,0.278
"P25","De acuerdo",0.141,0.236,0.116
"P25","Ni de acuerdo ni en desacuerdo",0.147,0.035,0.205
"P25","En desacuerdo",0.121,0.062,0.13
"P25","Muy en desacuerdo",0.25,0.145,0.229
"P25","No sabe",0.01,0,0.042
"P26","Muy de acuerdo",0.314,0.586,0.283
"P26","De acuerdo",0.093,0.153,0.142
"P26","Ni de acuerdo ni en desacuerdo",0.158,0.04,0.152
"P26","En desacuerdo",0.125,0.057,0.132
"P26","Muy en desacuerdo",0.284,0.157,0.248
"P26","No sabe",0.026,0.007,0.043
"P27","Muy buena",0.426,0.031,0.052
"P27","Buena",0.381,0.116,0.202
"P27","Ni buena ni mala",0.124,0.279,0.624
"P27","Mala",0.012,0.306,0.075
"P27","Muy mala",0.046,0.266,0.016
"P27","No sabe",0.011,0.002,0.031
"P28","Muy buena",0.201,0.069,0.063
"P28","Buena",0.244,0.134,0.155
"P28","Ni buena ni mala",0.328,0.195,0.448
"P28","Mala",0.086,0.277,0.192
"P28","Muy mala",0.104,0.269,0.071
"P28","No sabe",0.037,0.056,0.071
"P29","Muy buena",0.158,0.044,0.06
"P29","Buena",0.196,0.089,0.111
"P29","Ni buena ni mala",0.2,0.209,0.352
"P29","Mala",0.277,0.245,0.287
"P29","Muy mala",0.153,0.392,0.145
"P29","No sabe",0.016,0.021,0.045
"P30","Muy buena",0.131,0.04,0.057
"P30","Buena",0.156,0.122,0.136
"P30","Ni buena ni mala",0.426,0.309,0.471
"P30","Mala",0.165,0.191,0.142
"P30","Muy mala",0.096,0.307,0.118
"P30","No sabe",0.026,0.031,0.076
"P31","Muy buena",0.213,0.066,0.103
"P31","Buena",0.175,0.193,0.164
"P31","Ni buena ni mala",0.309,0.155,0.348
"P31","Mala",0.144,0.167,0.202
"P31","Muy mala",0.134,0.371,0.139
"P31","No sabe",0.025,0.048,0.044
"P32","Muy buena",0.308,0.16,0.183
"P32","Buena",0.088,0.056,0.094
"P32","Ni buena ni mala",0.146,0.077,0.178
"P32","Mala",0.166,0.149,0.165
"P32","Muy mala",0.273,0.558,0.354
"P32","No sabe",0.019,0,0.026
"P33","Muy buena",0.134,0.168,0.159
"P33","Buena",0.133,0.176,0.153
"P33","Ni buena ni mala",0.161,0.241,0.169
"P33","Mala",0.229,0.177,0.178
"P33","Muy mala",0.318,0.235,0.316
"P33","No sabe",0.025,0.003,0.025
"P34","Muy buena",0.218,0.079,0.126
"P34","Buena",0.194,0.1,0.181
"P34","Ni buena ni mala",0.165,0.076,0.182
"P34","Mala",0.133,0.177,0.147
"P34","Muy mala",0.272,0.548,0.347
"P34","No sabe",0.018,0.02,0.017
"P35","Muy buena",0.26,0.487,0.313
"P35","Buena",0.134,0.129,0.106
"P35","Ni buena ni mala",0.1,0.038,0.165
"P35","Mala",0.187,0.088,0.078
"P35","Muy mala",0.313,0.256,0.317
"P35","No sabe",0.006,0.002,0.021
"P36","Muy buena",0.232,0.341,0.292
"P36","Buena",0.186,0.325,0.138
"P36","Ni buena ni mala",0.125,0.066,0.147
"P36","Mala",0.124,0.081,0.094
"P36","Muy mala",0.333,0.185,0.304
"P36","No sabe",0,0.002,0.025
"P37","Muy buena",0.153,0.288,0.195
"P37","Buena",0.165,0.234,0.131
"P37","Ni buena ni mala",0.21,0.227,0.275
"P37","Mala",0.161,0.075,0.11
"P37","Muy mala",0.297,0.163,0.251
"P37","No sabe",0.014,0.013,0.038
"P38","Muy buena",0.302,0.561,0.343
"P38","Buena",0.141,0.138,0.133
"P38","Ni buena ni mala",0.153,0.101,0.153
"P38","Mala",0.129,0.031,0.105
"P38","Muy mala",0.269,0.159,0.247
"P38","No sabe",0.006,0.01,0.019
"P39","Muy buena",0.171,0.142,0.147
"P39","Buena",0.197,0.188,0.162
"P39","Ni buena ni mala",0.345,0.359,0.375
"P39","Mala",0.135,0.14,0.111
"P39","Muy mala",0.128,0.165,0.132
"P39","No sabe",0.024,0.006,0.073
"P40","Muy buena",0.148,0.229,0.119
"P40","Buena",0.13,0.206,0.168
"P40","Ni buena ni mala",0.237,0.212,0.286
"P40","Mala",0.137,0.143,0.095
"P40","Muy mala",0.32,0.176,0.274
"P40","No sabe",0.028,0.034,0.058
"P41","Muy buena",0.142,0.185,0.112
"P41","Buena",0.119,0.272,0.128
"P41","Ni buena ni mala",0.322,0.229,0.373
"P41","Mala",0.14,0.106,0.103
"P41","Muy mala",0.227,0.17,0.151
"P41","No sabe",0.05,0.038,0.133
