"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Autoritaria",0.369,0.407,0.329,0.299,0.412,0.368,0.365,0.404,0.327,0.395,0.439,0.312,0.442,0.16,0.652,0.188,0.385,0.356
"Inexperta negociando",0.146,0.139,0.154,0.168,0.11,0.166,0.197,0.099,0.177,0.151,0.147,0.204,0.082,0.084,0.184,0.121,0.142,0.15
"Indecisa",0.069,0.061,0.076,0.057,0.068,0.079,0.077,0.126,0.056,0.027,0.082,0.07,0.08,0.025,0.064,0.071,0.094,0.046
"Prudente",0.13,0.117,0.144,0.126,0.124,0.134,0.154,0.095,0.135,0.16,0.11,0.169,0.14,0.047,0.055,0.185,0.12,0.139
"Hábil negociando",0.088,0.07,0.108,0.111,0.106,0.04,0.063,0.123,0.073,0.075,0.052,0.066,0.158,0.226,0.039,0.1,0.08,0.095
"Firme y decidido",0.198,0.206,0.189,0.239,0.18,0.213,0.144,0.153,0.232,0.192,0.17,0.179,0.098,0.458,0.006,0.335,0.179,0.214
