"var","categoria","Si, hay mucha información en los medios y comprendo las medidas preventivas","Si, hay mucha información, aunque muchas veces es contradictoria","Mas o menos. Es difícil creerle a los que informan","No, la información es escasa y difícil de entender","No, la información no es confiable y es imposible de entender","No sabe"
"P09","Toloza Paz",0.39,0.171,0.191,0.027,0.436,0.315
"P09","Diego Santilli",0.23,0.319,0.464,0.352,0.408,0.104
"P09","Facundo Manes",0.091,0.22,0.097,0.113,0.095,0.006
"P09","Florencio Randazzo",0.062,0.047,0,0.054,0,0.025
"P09","A la izquierda",0.015,0.032,0.048,0.038,0,0
"P09","Jose Luis Espert",0.09,0.071,0.124,0.4,0.061,0.459
"P09","Otros candidatos",0.08,0.072,0.015,0,0,0.049
"P09","Votaría en blanco o anularía",0.042,0.068,0.061,0.016,0,0.042
