"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.936,0.824,0.777,0.722,0.878,0.852,0.642,0.476
"Puede ser",0.029,0.124,0.122,0.188,0.052,0.086,0.194,0.255
"No",0.035,0.052,0.101,0.09,0.07,0.062,0.164,0.269
