"var","categoria","La Pfizer, fabricada en Estados Unidos","La Sputnik, fabricada en Rusia","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México","La vacuna de Oxford, fabricada por AstraZeneca en India","La vacuna China fabricada en China","Me resultan todas confiables","No sabe"
"P09","Toloza Paz",0.04,0.564,0.312,0.326,0.474,0.512,0.063
"P09","Diego Santilli",0.496,0.14,0.234,0.083,0,0.198,0.33
"P09","Facundo Manes",0.168,0.065,0.333,0.194,0.024,0.053,0.305
"P09","Florencio Randazzo",0.048,0.044,0.056,0,0.034,0.058,0
"P09","A la izquierda",0.008,0.04,0,0,0,0.046,0.065
"P09","Jose Luis Espert",0.182,0.046,0,0.225,0,0.009,0.153
"P09","Otros candidatos",0.052,0.067,0.028,0,0.038,0.101,0.009
"P09","Votaría en blanco o anularía",0.006,0.034,0.037,0.172,0.43,0.023,0.075
