"","Si","Puede ser","No"
"Toloza Paz",0.35,0.076,0.114
"Diego Santilli",0.265,0.27,0.158
"Facundo Manes",0.096,0.1,0.09
"Florencio Randazzo",0.041,0.087,0.041
"A la izquierda",0.034,0.028,0.026
"Jose Luis Espert",0.09,0.057,0.056
"Otros candidatos",0.07,0.174,0.169
"Votaría en blanco o anularía",0.054,0.208,0.346
