"var","categoria","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.436,0.374,0.359,0.386,0.395,0.267,0.29,0.359,0.201
"P07","Al candidato de Juntos por el Cambio",0.253,0.312,0.277,0.283,0.206,0.286,0.674,0.426,0.386
"P07","Al candidato de los liberales - libertarios",0.192,0.232,0.132,0.223,0.157,0.226,0,0.196,0.294
"P07","Al candidato de la Izquierda",0.015,0,0.059,0.067,0.101,0.113,0,0,0.016
"P07","A otro candidato",0.051,0.026,0.15,0,0.042,0.066,0,0,0.009
"P07","No sabe",0.053,0.056,0.023,0.041,0.099,0.042,0.036,0.019,0.094
"P08","A Malena Galmarini",0.57,0.693,0.608,0.413,0.466,0.609,0.46,0.594,0.5
"P08","A Julio Zamora",0.43,0.307,0.392,0.587,0.534,0.391,0.54,0.406,0.5
"P09","A Segundo Cernadas",0.545,0.641,0.667,0.233,0.757,0.831,0.604,0.658,0.51
"P09","A Nicolás Massot",0.455,0.359,0.333,0.767,0.243,0.169,0.396,0.342,0.49
"P10","A Malena Galmarini por el Frente de Todos",0.231,0.413,0.176,0.254,0.232,0.2,0.087,0.253,0.151
"P10","A Julio Zamora por el Frente de Todos",0.256,0.154,0.251,0.399,0.206,0.248,0.336,0.14,0.081
"P10","A Segundo Cernadas por Juntos por el Cambio",0.179,0.148,0.258,0.134,0.226,0.289,0.33,0.322,0.333
"P10","A Nicolás Massot por Juntos por el Cambio",0.108,0.092,0.061,0.097,0.063,0.061,0.247,0.088,0.205
"P10","Al candidato de los liberales libertarios",0.192,0.137,0.216,0.049,0.04,0.102,0,0.149,0.198
"P10","A Paula Akerfeld por el Frente de Izquierda",0.014,0.014,0.015,0,0.11,0.038,0,0,0.016
"P10","No sabe",0.02,0.042,0.023,0.067,0.123,0.062,0,0.048,0.016
"P12","A Julio Zamora por el Frente de Todos",0.412,0.381,0.338,0.346,0.352,0.192,0.409,0.299,0.186
"P12","A Segundo Cernadas por Juntos por el Cambio",0.259,0.243,0.226,0.198,0.26,0.369,0.554,0.416,0.416
"P12","Al candidato de los liberales libertarios",0.165,0.249,0.241,0.263,0.146,0.185,0.026,0.212,0.278
"P12","A Paula Akerfeld por el Frente de Izquierda",0.027,0.047,0,0,0.081,0.082,0,0,0.024
"P12","No sabe",0.137,0.08,0.195,0.193,0.161,0.172,0.011,0.073,0.096
"P14","A Malena Galmarini por el Frente de Todos",0.295,0.299,0.373,0.427,0.406,0.197,0.13,0.273,0.142
"P14","A Segundo Cernadas por Juntos por el Cambio",0.278,0.322,0.263,0.196,0.2,0.383,0.715,0.411,0.447
"P14","Al candidato de los liberales libertarios",0.253,0.19,0.275,0.248,0.171,0.217,0,0.218,0.288
"P14","A Paula Akerfeld por el Frente de Izquierda",0.046,0.036,0.007,0,0.057,0.088,0,0,0.016
"P14","No sabe",0.128,0.153,0.082,0.129,0.166,0.115,0.155,0.098,0.107
"P16","A Malena Galmarini por el Frente de Todos",0.228,0.301,0.377,0.269,0.339,0.175,0.099,0.321,0.203
