"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.76,0.647,0.086,0.107,0.083,0.152,0.355,0.287
"P07","Al candidato de Juntos por el Cambio",0.086,0.099,0.643,0.692,0.126,0.101,0.09,0.063
"P07","Al candidato de los liberales - libertarios",0.017,0.055,0.116,0.078,0.657,0.09,0.028,0.056
"P07","Al candidato de la Izquierda",0.024,0.005,0.035,0.012,0.008,0.573,0.086,0.06
"P07","A otro candidato",0.046,0.117,0.048,0.058,0.087,0.052,0.167,0.188
"P07","No sabe",0.067,0.077,0.072,0.053,0.039,0.032,0.274,0.346
"P08","A Malena Galmarini",0.651,0.306,0.414,0.305,0.589,0.172,0.6,0.161
"P08","A Julio Zamora",0.349,0.694,0.586,0.695,0.411,0.828,0.4,0.839
"P09","A Segundo Cernadas",0.302,0.57,0.471,0.677,0.811,0.167,0.729,0.868
"P09","A Nicolás Massot",0.698,0.43,0.529,0.323,0.189,0.833,0.271,0.132
"P10","A Malena Galmarini por el Frente de Todos",0.527,0.201,0.065,0.051,0.105,0.017,0.279,0.049
"P10","A Julio Zamora por el Frente de Todos",0.296,0.508,0.104,0.118,0.065,0.151,0.295,0.264
"P10","A Segundo Cernadas por Juntos por el Cambio",0.046,0.083,0.376,0.593,0.154,0.021,0.055,0.102
"P10","A Nicolás Massot por Juntos por el Cambio",0.037,0.071,0.272,0.082,0.033,0.157,0.007,0.019
"P10","Al candidato de los liberales libertarios",0.009,0.076,0.112,0.043,0.55,0.082,0.028,0.07
"P10","A Paula Akerfeld por el Frente de Izquierda",0.019,0.024,0.012,0.012,0.004,0.545,0.136,0.105
"P10","No sabe",0.066,0.037,0.059,0.101,0.089,0.027,0.2,0.391
"P12","A Julio Zamora por el Frente de Todos",0.643,0.656,0.116,0.143,0.081,0.184,0.4,0.29
"P12","A Segundo Cernadas por Juntos por el Cambio",0.117,0.146,0.585,0.62,0.164,0.021,0.064,0.115
"P12","Al candidato de los liberales libertarios",0.055,0.087,0.147,0.077,0.585,0.045,0.057,0.033
"P12","A Paula Akerfeld por el Frente de Izquierda",0.027,0.011,0.032,0.006,0.008,0.464,0.1,0.112
"P12","No sabe",0.158,0.1,0.12,0.154,0.162,0.286,0.379,0.45
"P14","A Malena Galmarini por el Frente de Todos",0.735,0.365,0.095,0.097,0.069,0.121,0.288,0.17
"P14","A Segundo Cernadas por Juntos por el Cambio",0.095,0.272,0.589,0.668,0.142,0.026,0.049,0.146
"P14","Al candidato de los liberales libertarios",0.038,0.078,0.164,0.057,0.68,0.171,0.072,0.041
"P14","A Paula Akerfeld por el Frente de Izquierda",0.014,0.06,0.028,0,0.023,0.489,0.022,0.105
"P14","No sabe",0.118,0.225,0.124,0.178,0.086,0.193,0.569,0.538
"P16","A Malena Galmarini por el Frente de Todos",0.613,0.269,0.094,0.125,0.1,0.139,0.306,0.087
"P16","A Segundo Cernadas por Juntos por el Cambio",0.098,0.176,0.454,0.61,0.131,0.012,0.059,0.088
"P16","A Nicolás Massot por Juntos por el Cambio",0.076,0.083,0.231,0.112,0.074,0.098,0.016,0.002
"P16","A Julio Zamora por un partido vecinal",0.129,0.376,0.063,0.058,0.061,0.185,0.264,0.224
"P16","Al candidato de los liberales libertarios",0.043,0.054,0.109,0.053,0.573,0.167,0.059,0.133
"P16","A Paula Akerfeld por el Frente de Izquierda",0.004,0.006,0.015,0,0.001,0.363,0.086,0.061
"P16","No sabe",0.037,0.036,0.034,0.042,0.06,0.036,0.21,0.405
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.875,0.283,0.013,0.045,0.017,0.054,0,0.034
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.021,0.177,0.769,0.063,0.016,0.099,0.01,0.005
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.01,0.058,0.146,0.701,0.016,0.01,0,0.044
"P19","Julio Zamora a intendente por un partido vecinal",0.066,0.399,0.047,0.132,0.245,0.042,0.09,0.131
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.025,0.009,0.04,0.704,0.252,0.053,0.03
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.003,0,0,0,0.517,0.223,0
"P19","En blanco",0.003,0.047,0.004,0.012,0.001,0.026,0.524,0.232
"P19","No sabe",0.01,0.008,0.012,0.007,0.001,0,0.1,0.524
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.846,0.331,0.052,0.138,0.007,0.058,0.136,0.063
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.023,0.155,0.575,0.708,0.025,0.094,0.073,0.086
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.068,0.126,0.212,0.064,0.726,0.087,0.036,0.038
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.083,0.017,0.049,0.036,0.597,0.046,0.054
"P20","En blanco",0.024,0.091,0.036,0.024,0.174,0.033,0.416,0.029
"P20","No sabe",0.026,0.214,0.108,0.017,0.032,0.131,0.293,0.73
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.817,0.332,0.033,0.056,0.028,0.107,0.073,0.092
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.047,0.044,0.562,0.789,0.016,0.045,0.077,0.039
"P21","Julio Zamora a intendente por un partido vecinal",0.098,0.34,0.103,0.047,0.129,0.089,0.076,0.122
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.014,0.083,0.142,0.05,0.755,0.321,0.014,0.124
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.064,0.015,0.018,0.048,0.367,0.116,0.021
"P21","En blanco",0.008,0.088,0.052,0.027,0.004,0,0.557,0.174
"P21","No sabe",0.012,0.049,0.093,0.013,0.02,0.071,0.087,0.428
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.884,0.398,0.03,0.07,0.024,0.122,0.09,0.094
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.015,0.052,0.847,0.609,0.051,0.054,0.084,0.048
