"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Julio Zamora","Positiva",0.343,0.366,0.321,0.388,0.319,0.35,0.345,0.36,0.355,0.304,0.526,0.195,0.297
"Julio Zamora","Neutra",0.22,0.165,0.273,0.191,0.204,0.208,0.315,0.157,0.236,0.257,0.2,0.255,0.309
"Julio Zamora","Negativa",0.412,0.451,0.375,0.421,0.465,0.398,0.281,0.446,0.392,0.413,0.257,0.521,0.374
"Julio Zamora","No sabe",0.025,0.018,0.031,0,0.012,0.044,0.059,0.037,0.017,0.026,0.017,0.029,0.02
"Patricia Bullrich","Positiva",0.441,0.439,0.445,0.349,0.401,0.467,0.626,0.471,0.406,0.469,0.217,0.684,0.188
"Patricia Bullrich","Neutra",0.117,0.138,0.096,0.216,0.102,0.087,0.088,0.151,0.099,0.11,0.095,0.09,0.454
"Patricia Bullrich","Negativa",0.433,0.409,0.455,0.435,0.484,0.431,0.286,0.357,0.49,0.418,0.685,0.223,0.358
"Patricia Bullrich","No sabe",0.009,0.014,0.004,0,0.013,0.015,0,0.021,0.005,0.003,0.003,0.003,0
"Javier Milei","Positiva",0.357,0.486,0.232,0.586,0.346,0.241,0.303,0.458,0.321,0.311,0.246,0.371,0.403
"Javier Milei","Neutra",0.178,0.147,0.208,0.156,0.185,0.172,0.192,0.145,0.18,0.21,0.111,0.249,0.223
"Javier Milei","Negativa",0.437,0.349,0.523,0.258,0.446,0.531,0.474,0.344,0.479,0.465,0.623,0.347,0.374
"Javier Milei","No sabe",0.028,0.018,0.037,0,0.023,0.056,0.031,0.053,0.02,0.014,0.02,0.033,0
"Mauricio Macri","Positiva",0.384,0.352,0.415,0.477,0.248,0.437,0.573,0.416,0.368,0.377,0.21,0.587,0.052
"Mauricio Macri","Neutra",0.123,0.145,0.101,0.097,0.131,0.13,0.118,0.163,0.087,0.139,0.073,0.145,0.282
"Mauricio Macri","Negativa",0.482,0.5,0.464,0.4,0.609,0.433,0.297,0.417,0.527,0.476,0.706,0.251,0.666
"Mauricio Macri","No sabe",0.011,0.003,0.02,0.026,0.012,0,0.012,0.004,0.018,0.008,0.011,0.017,0
"Malena Galmarini","Positiva",0.316,0.305,0.326,0.338,0.314,0.306,0.309,0.34,0.333,0.261,0.478,0.186,0.362
"Malena Galmarini","Neutra",0.174,0.153,0.195,0.213,0.166,0.14,0.205,0.17,0.177,0.174,0.183,0.125,0.427
"Malena Galmarini","Negativa",0.493,0.521,0.465,0.438,0.503,0.539,0.459,0.478,0.469,0.549,0.321,0.669,0.211
"Malena Galmarini","No sabe",0.017,0.021,0.014,0.011,0.017,0.015,0.027,0.012,0.021,0.016,0.018,0.02,0
"Horacio Rodriguez Larreta","Positiva",0.298,0.282,0.313,0.241,0.265,0.32,0.426,0.43,0.254,0.23,0.216,0.388,0.162
"Horacio Rodriguez Larreta","Neutra",0.194,0.162,0.225,0.167,0.187,0.223,0.199,0.182,0.158,0.266,0.151,0.245,0.135
"Horacio Rodriguez Larreta","Negativa",0.503,0.552,0.455,0.592,0.54,0.45,0.373,0.383,0.58,0.501,0.621,0.366,0.703
"Horacio Rodriguez Larreta","No sabe",0.005,0.004,0.007,0,0.008,0.007,0.002,0.005,0.008,0.003,0.012,0.001,0
"Wado de Pedro","Positiva",0.294,0.263,0.323,0.256,0.318,0.313,0.242,0.272,0.307,0.296,0.548,0.106,0.296
"Wado de Pedro","Neutra",0.136,0.144,0.129,0.146,0.136,0.139,0.121,0.151,0.125,0.139,0.112,0.143,0.414
"Wado de Pedro","Negativa",0.52,0.561,0.48,0.537,0.514,0.497,0.551,0.513,0.516,0.532,0.289,0.708,0.2
"Wado de Pedro","No sabe",0.05,0.032,0.068,0.061,0.032,0.051,0.086,0.064,0.052,0.033,0.051,0.043,0.09
"Axel Kicillof","Positiva",0.358,0.339,0.377,0.412,0.402,0.288,0.276,0.351,0.399,0.298,0.648,0.137,0.234
