"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P07","Al candidato del Frente de Todos",0.313,0.464,0.373,0.279,0.196,0.35
"P07","Al candidato de Juntos por el Cambio",0.346,0.315,0.276,0.26,0.321,0.333
"P07","Al candidato de los liberales - libertarios",0.213,0.134,0.217,0.258,0.302,0.128
"P07","Al candidato de la Izquierda",0.027,0.022,0.04,0.086,0.059,0
"P07","A otro candidato",0.043,0.038,0.033,0.088,0.003,0.072
"P07","No sabe",0.058,0.027,0.061,0.029,0.119,0.117
"P08","A Malena Galmarini",0.523,0.491,0.644,0.465,0.792,0.64
"P08","A Julio Zamora",0.477,0.509,0.356,0.535,0.208,0.36
"P09","A Segundo Cernadas",0.451,0.729,0.657,0.363,0.575,0.806
"P09","A Nicolás Massot",0.549,0.271,0.343,0.637,0.425,0.194
"P10","A Malena Galmarini por el Frente de Todos",0.161,0.249,0.215,0.218,0.19,0.348
"P10","A Julio Zamora por el Frente de Todos",0.199,0.288,0.131,0.326,0.081,0.144
"P10","A Segundo Cernadas por Juntos por el Cambio",0.242,0.243,0.242,0.159,0.3,0.246
"P10","A Nicolás Massot por Juntos por el Cambio",0.136,0.109,0.125,0.114,0.125,0.045
"P10","Al candidato de los liberales libertarios",0.238,0.069,0.176,0.087,0.214,0.123
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.002,0.04,0.04,0.067,0.04
"P10","No sabe",0.024,0.04,0.071,0.056,0.023,0.054
"P12","A Julio Zamora por el Frente de Todos",0.296,0.436,0.252,0.402,0.132,0.315
"P12","A Segundo Cernadas por Juntos por el Cambio",0.372,0.338,0.339,0.16,0.346,0.235
"P12","Al candidato de los liberales libertarios",0.208,0.111,0.17,0.284,0.307,0.234
"P12","A Paula Akerfeld por el Frente de Izquierda",0.025,0.04,0.028,0.022,0.068,0
"P12","No sabe",0.099,0.075,0.211,0.132,0.147,0.216
"P14","A Malena Galmarini por el Frente de Todos",0.154,0.348,0.329,0.308,0.217,0.271
"P14","A Segundo Cernadas por Juntos por el Cambio",0.384,0.379,0.262,0.26,0.348,0.272
"P14","Al candidato de los liberales libertarios",0.293,0.153,0.208,0.306,0.294,0.145
"P14","A Paula Akerfeld por el Frente de Izquierda",0.037,0.044,0.034,0.007,0.059,0.009
"P14","No sabe",0.132,0.076,0.167,0.119,0.082,0.303
"P16","A Malena Galmarini por el Frente de Todos",0.166,0.324,0.284,0.185,0.231,0.29
"P16","A Segundo Cernadas por Juntos por el Cambio",0.297,0.239,0.295,0.215,0.295,0.258
"P16","A Nicolás Massot por Juntos por el Cambio",0.135,0.122,0.108,0.099,0.127,0.059
"P16","A Julio Zamora por un partido vecinal",0.156,0.171,0.037,0.225,0.009,0.042
"P16","Al candidato de los liberales libertarios",0.212,0.115,0.168,0.23,0.206,0.208
"P16","A Paula Akerfeld por el Frente de Izquierda",0,0,0.047,0.004,0.09,0.009
"P16","No sabe",0.034,0.029,0.061,0.042,0.042,0.134
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.185,0.317,0.298,0.184,0.139,0.25
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.166,0.12,0.071,0.102,0.028,0.069
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.289,0.235,0.201,0.308,0.328,0.265
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.046,0.142,0.137,0.069,0.083,0.17
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.261,0.146,0.218,0.245,0.272,0.125
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.002,0.005,0.036,0.03,0
