"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P07","Al candidato del Frente de Todos",0.3,0.252,0.332,0.39,0.472
"P07","Al candidato de Juntos por el Cambio",0.378,0.382,0.295,0.222,0.188
"P07","Al candidato de los liberales - libertarios",0.203,0.204,0.256,0.272,0.136
"P07","Al candidato de la Izquierda",0.018,0.036,0.014,0.038,0.096
"P07","A otro candidato",0.04,0.085,0.047,0.041,0.019
"P07","No sabe",0.061,0.041,0.056,0.037,0.089
"P08","A Malena Galmarini",0.566,0.615,0.741,0.498,0.493
"P08","A Julio Zamora",0.434,0.385,0.259,0.502,0.507
"P09","A Segundo Cernadas",0.488,0.754,0.899,0.475,0.657
"P09","A Nicolás Massot",0.512,0.246,0.101,0.525,0.343
"P10","A Malena Galmarini por el Frente de Todos",0.215,0.227,0.193,0.217,0.246
"P10","A Julio Zamora por el Frente de Todos",0.165,0.186,0.144,0.315,0.282
"P10","A Segundo Cernadas por Juntos por el Cambio",0.28,0.258,0.29,0.126,0.201
"P10","A Nicolás Massot por Juntos por el Cambio",0.164,0.09,0.072,0.079,0.071
"P10","Al candidato de los liberales libertarios",0.144,0.174,0.205,0.229,0.067
"P10","A Paula Akerfeld por el Frente de Izquierda",0.007,0.036,0.02,0,0.078
"P10","No sabe",0.025,0.029,0.076,0.034,0.055
"P12","A Julio Zamora por el Frente de Todos",0.281,0.218,0.375,0.328,0.441
"P12","A Segundo Cernadas por Juntos por el Cambio",0.397,0.329,0.235,0.236,0.203
"P12","Al candidato de los liberales libertarios",0.199,0.179,0.317,0.272,0.137
"P12","A Paula Akerfeld por el Frente de Izquierda",0.005,0.108,0.037,0.041,0.04
"P12","No sabe",0.118,0.166,0.036,0.123,0.179
"P14","A Malena Galmarini por el Frente de Todos",0.213,0.282,0.35,0.324,0.341
"P14","A Segundo Cernadas por Juntos por el Cambio",0.405,0.369,0.217,0.205,0.298
"P14","Al candidato de los liberales libertarios",0.235,0.168,0.336,0.393,0.124
"P14","A Paula Akerfeld por el Frente de Izquierda",0.028,0.049,0.027,0.034,0.047
"P14","No sabe",0.119,0.132,0.07,0.044,0.19
"P16","A Malena Galmarini por el Frente de Todos",0.21,0.235,0.285,0.348,0.281
"P16","A Segundo Cernadas por Juntos por el Cambio",0.328,0.283,0.258,0.124,0.214
"P16","A Nicolás Massot por Juntos por el Cambio",0.149,0.05,0.169,0.079,0.079
"P16","A Julio Zamora por un partido vecinal",0.109,0.102,0.064,0.151,0.159
"P16","Al candidato de los liberales libertarios",0.164,0.165,0.161,0.284,0.159
"P16","A Paula Akerfeld por el Frente de Izquierda",0.01,0.074,0.012,0,0.032
"P16","No sabe",0.03,0.091,0.051,0.014,0.076
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.2,0.278,0.254,0.238,0.277
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.106,0.057,0.068,0.148,0.098
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.316,0.377,0.101,0.231,0.195
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.113,0.043,0.103,0.085,0.133
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.203,0.156,0.387,0.278,0.147
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.014,0.012,0.01,0.025
"P18","En blanco",0.005,0.018,0.039,0.006,0.028
"P18","No sabe",0.043,0.057,0.036,0.004,0.097
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.205,0.257,0.268,0.293,0.283
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.29,0.292,0.142,0.223,0.172
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.129,0.111,0.08,0.086,0.124
"P19","Julio Zamora a intendente por un partido vecinal",0.151,0.101,0.155,0.175,0.147
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.178,0.143,0.293,0.205,0.14
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.012,0.017,0.004,0.025
"P19","En blanco",0.022,0.003,0.022,0.01,0.023
"P19","No sabe",0.008,0.081,0.023,0.004,0.086
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.18,0.259,0.341,0.319,0.327
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.369,0.234,0.104,0.192,0.187
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.205,0.278,0.285,0.376,0.161
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.095,0.059,0.049,0.025,0.054
"P20","En blanco",0.075,0.106,0.161,0.052,0.08
"P20","No sabe",0.076,0.064,0.06,0.036,0.191
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.18,0.291,0.274,0.285,0.297
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.328,0.25,0.198,0.197,0.185
"P21","Julio Zamora a intendente por un partido vecinal",0.114,0.126,0.16,0.187,0.15
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.247,0.227,0.179,0.297,0.194
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.051,0.043,0.135,0,0.024
"P21","En blanco",0.037,0.052,0.025,0.013,0.054
"P21","No sabe",0.043,0.011,0.029,0.021,0.096
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.215,0.322,0.279,0.334,0.341
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.39,0.381,0.275,0.25,0.253
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.199,0.139,0.305,0.382,0.154
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.075,0.049,0.09,0.008,0.057
"P22","En blanco",0.036,0.025,0.032,0.026,0.028
"P22","No sabe",0.085,0.084,0.019,0,0.167
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.212,0.306,0.268,0.349,0.297
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.395,0.308,0.205,0.217,0.255
"P23","Julio Zamora a intendente por un partido vecinal",0.138,0.086,0.243,0.129,0.15
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.139,0.112,0.181,0.255,0.171
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.038,0.072,0.012,0.015,0.013
"P23","En blanco",0.037,0.092,0.085,0.02,0.046
"P23","No sabe",0.041,0.024,0.006,0.015,0.068
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.215,0.375,0.33,0.295,0.283
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.122,0.104,0.049,0.09,0.117
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.288,0.191,0.241,0.189,0.218
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.143,0.067,0.129,0.19,0.12
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.167,0.142,0.238,0.224,0.158
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.032,0.061,0,0,0.026
"P24","En blanco",0.011,0.024,0,0.005,0.016
"P24","No sabe",0.022,0.036,0.013,0.007,0.062
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.203,0.345,0.395,0.314,0.288
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.28,0.248,0.15,0.158,0.165
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.173,0.127,0.086,0.096,0.147
"P25","Julio Zamora a intendente por un partido vecinal",0.077,0.006,0.023,0.165,0.167
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.2,0.154,0.333,0.264,0.146
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.061,0,0,0.016
"P25","En blanco",0.013,0.024,0,0.003,0.02
"P25","No sabe",0.026,0.035,0.013,0,0.051
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.235,0.323,0.387,0.399,0.318
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.33,0.24,0.147,0.152,0.201
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.231,0.279,0.17,0.31,0.202
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.045,0.028,0.055,0.049,0.065
"P26","En blanco",0.044,0.074,0.217,0.051,0.078
"P26","No sabe",0.115,0.056,0.024,0.039,0.136
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.196,0.379,0.288,0.341,0.265
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.336,0.228,0.118,0.163,0.207
"P27","Julio Zamora a intendente por un partido vecinal",0.173,0.107,0.159,0.22,0.139
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.172,0.219,0.32,0.198,0.191
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.036,0.008,0.049,0.006,0.053
"P27","En blanco",0.052,0.055,0.018,0.043,0.061
"P27","No sabe",0.035,0.004,0.048,0.029,0.084
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.24,0.372,0.366,0.376,0.315
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.402,0.308,0.186,0.238,0.272
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.191,0.178,0.337,0.303,0.176
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.04,0.016,0.062,0.044,0.05
"P28","En blanco",0.049,0.049,0,0.039,0.05
"P28","No sabe",0.078,0.077,0.049,0,0.137
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.217,0.416,0.318,0.339,0.256
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.387,0.251,0.224,0.218,0.279
"P29","Julio Zamora a intendente por un partido vecinal",0.167,0.066,0.153,0.169,0.198
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.141,0.184,0.27,0.237,0.115
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.037,0.059,0,0.011,0.054
"P29","En blanco",0.026,0.024,0.014,0.026,0.052
"P29","No sabe",0.025,0,0.021,0,0.046
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.212,0.294,0.332,0.291,0.286
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.256,0.207,0.102,0.152,0.097
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.201,0.192,0.179,0.118,0.191
"P30","Julio Zamora a intendente por un partido vecinal",0.111,0.051,0.094,0.175,0.184
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.175,0.189,0.29,0.261,0.127
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.024,0.004,0,0,0
"P30","En blanco",0.011,0.033,0,0.003,0.027
"P30","No sabe",0.01,0.03,0.003,0,0.088
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.241,0.353,0.388,0.294,0.312
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.341,0.268,0.194,0.219,0.241
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.252,0.222,0.261,0.29,0.2
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.032,0.023,0.059,0.045,0.025
"P31","En blanco",0.073,0.056,0.088,0.109,0.053
"P31","No sabe",0.061,0.078,0.01,0.043,0.169
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.225,0.326,0.344,0.322,0.255
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.337,0.258,0.231,0.198,0.236
"P32","Julio Zamora a intendente por un partido vecinal",0.18,0.098,0.19,0.176,0.19
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.143,0.185,0.185,0.235,0.169
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.033,0.05,0.033,0.057,0.027
"P32","En blanco",0.045,0.059,0,0.003,0.07
"P32","No sabe",0.037,0.024,0.017,0.009,0.053
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.242,0.351,0.38,0.329,0.307
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.363,0.291,0.114,0.261,0.238
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.212,0.164,0.331,0.358,0.131
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.049,0.041,0.086,0.027,0.07
"P33","En blanco",0.051,0.088,0.022,0.025,0.044
"P33","No sabe",0.083,0.065,0.067,0,0.21
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.226,0.351,0.3,0.322,0.276
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.385,0.305,0.149,0.224,0.169
"P34","Julio Zamora a intendente por un partido vecinal",0.148,0.088,0.142,0.211,0.154
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.125,0.136,0.35,0.225,0.173
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.043,0.089,0.014,0.008,0.033
"P34","En blanco",0.041,0,0.017,0.003,0.103
"P34","No sabe",0.032,0.031,0.028,0.007,0.092
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.231,0.261,0.284,0.282,0.248
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.136,0.091,0.096,0.168,0.144
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.229,0.219,0.149,0.143,0.095
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.171,0.204,0.097,0.149,0.194
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.176,0.157,0.335,0.232,0.158
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.013,0.04,0.023,0,0.047
"P35","En blanco",0.033,0,0,0.023,0.024
"P35","No sabe",0.011,0.028,0.016,0.003,0.09
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.234,0.284,0.298,0.307,0.267
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.235,0.171,0.094,0.107,0.093
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.188,0.254,0.182,0.119,0.22
"P36","Julio Zamora a intendente por un partido vecinal",0.109,0.049,0.075,0.172,0.162
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.188,0.17,0.333,0.274,0.144
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.037,0,0,0.024
"P36","En blanco",0.015,0,0,0.003,0.027
