"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.829,0.601,0.079,0.184,0.022,0.084,0.249,0.212
"P07","Al candidato de Juntos por el Cambio",0.044,0.212,0.735,0.572,0.165,0.086,0,0.076
"P07","Al candidato de los liberales - libertarios",0.02,0.098,0.101,0.128,0.699,0.243,0.267,0.059
"P07","Al candidato de la Izquierda",0.047,0,0.016,0.002,0.019,0.521,0.13,0.236
"P07","A otro candidato",0.031,0.024,0.024,0.044,0.078,0.024,0.258,0.101
"P07","No sabe",0.029,0.065,0.045,0.07,0.017,0.042,0.096,0.316
"P08","A Malena Galmarini",0.686,0.249,0.454,0.62,0.256,0,0.395,0.275
"P08","A Julio Zamora",0.314,0.751,0.546,0.38,0.744,1,0.605,0.725
"P09","A Segundo Cernadas",0.293,0.569,0.435,0.703,0.757,0,0.263,0.65
"P09","A Nicolás Massot",0.707,0.431,0.565,0.297,0.243,0,0.737,0.35
"P10","A Malena Galmarini por el Frente de Todos",0.595,0.091,0.059,0.164,0.083,0,0.101,0.007
"P10","A Julio Zamora por el Frente de Todos",0.266,0.552,0.085,0.064,0.059,0.305,0.328,0.365
"P10","A Segundo Cernadas por Juntos por el Cambio",0.02,0.233,0.347,0.516,0.139,0.064,0,0.122
"P10","A Nicolás Massot por Juntos por el Cambio",0.067,0.062,0.388,0.157,0.036,0,0.029,0.027
"P10","Al candidato de los liberales libertarios",0.031,0.04,0.081,0.04,0.597,0.056,0.368,0
"P10","A Paula Akerfeld por el Frente de Izquierda",0.012,0.006,0,0.012,0.035,0.429,0.101,0.283
"P10","No sabe",0.009,0.016,0.04,0.047,0.051,0.146,0.073,0.196
"P12","A Julio Zamora por el Frente de Todos",0.708,0.543,0.101,0.174,0.019,0.43,0.249,0.364
"P12","A Segundo Cernadas por Juntos por el Cambio",0.061,0.313,0.695,0.616,0.102,0.064,0.033,0.122
"P12","Al candidato de los liberales libertarios",0.067,0.101,0.086,0.087,0.681,0,0.267,0.017
"P12","A Paula Akerfeld por el Frente de Izquierda",0.043,0.009,0.02,0.032,0.002,0.139,0.142,0.252
"P12","No sabe",0.121,0.034,0.098,0.091,0.196,0.367,0.309,0.245
"P14","A Malena Galmarini por el Frente de Todos",0.758,0.262,0.067,0.16,0.034,0.441,0.134,0.07
"P14","A Segundo Cernadas por Juntos por el Cambio",0.073,0.333,0.729,0.64,0.09,0.064,0,0.205
"P14","Al candidato de los liberales libertarios",0.081,0.146,0.081,0.075,0.797,0.029,0.285,0.017
"P14","A Paula Akerfeld por el Frente de Izquierda",0.035,0.043,0.041,0.002,0.005,0.167,0.13,0.263
"P14","No sabe",0.053,0.216,0.082,0.123,0.074,0.299,0.451,0.445
"P16","A Malena Galmarini por el Frente de Todos",0.641,0.18,0.062,0.217,0.107,0.383,0.101,0.017
"P16","A Segundo Cernadas por Juntos por el Cambio",0.053,0.251,0.477,0.57,0.099,0.064,0,0.139
"P16","A Nicolás Massot por Juntos por el Cambio",0.112,0.062,0.299,0.095,0.09,0,0.33,0.006
"P16","A Julio Zamora por un partido vecinal",0.122,0.307,0.054,0.028,0.055,0.076,0.125,0.302
"P16","Al candidato de los liberales libertarios",0.039,0.153,0.069,0.055,0.62,0.11,0.282,0.035
"P16","A Paula Akerfeld por el Frente de Izquierda",0.007,0.012,0,0,0.005,0.262,0.101,0.252
"P16","No sabe",0.026,0.035,0.039,0.035,0.024,0.105,0.061,0.249
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.744,0.251,0.017,0.161,0.003,0,0.248,0.089
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.105,0.367,0.043,0.078,0.005,0.032,0.357,0.056
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.041,0.22,0.758,0.316,0.09,0.187,0.029,0.198
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.007,0.066,0.086,0.308,0.046,0.086,0.101,0.038
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.022,0.064,0.074,0.104,0.816,0.057,0.083,0.011
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.006,0,0.002,0.035,0.491,0,0.011
"P18","En blanco",0.014,0.008,0.007,0.007,0.005,0.082,0.081,0.063
"P18","No sabe",0.058,0.018,0.015,0.024,0,0.065,0.101,0.534
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.788,0.183,0.055,0.174,0.002,0.02,0.101,0.07
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.075,0.177,0.742,0.266,0.05,0,0,0.156
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.003,0.131,0.099,0.337,0.042,0.273,0.297,0.016
"P19","Julio Zamora a intendente por un partido vecinal",0.046,0.42,0.047,0.113,0.217,0.068,0.226,0.228
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.027,0.05,0.039,0.084,0.683,0.104,0.044,0
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.006,0,0.002,0.002,0.387,0.165,0.084
"P19","En blanco",0.007,0.02,0.018,0.018,0.004,0.082,0.066,0.022
"P19","No sabe",0.046,0.013,0,0.006,0,0.066,0.101,0.424
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.798,0.272,0.036,0.164,0,0.172,0.101,0.038
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.059,0.218,0.582,0.542,0.06,0.029,0.029,0.056
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.014,0.228,0.176,0.173,0.721,0.148,0.323,0.043
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.048,0.071,0.037,0.043,0.051,0.474,0.179,0.033
"P20","En blanco",0.045,0.068,0.064,0.017,0.158,0.029,0.12,0.127
"P20","No sabe",0.036,0.143,0.105,0.061,0.01,0.148,0.248,0.703
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.782,0.189,0.055,0.154,0.029,0.277,0.101,0.061
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.041,0.21,0.518,0.547,0.031,0.086,0.31,0.108
"P21","Julio Zamora a intendente por un partido vecinal",0.097,0.332,0.036,0.078,0.177,0.271,0.125,0.141
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.031,0.114,0.199,0.142,0.714,0,0.011,0.027
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.06,0.036,0.019,0.043,0.301,0.012,0.056
"P21","En blanco",0.011,0.041,0.062,0.018,0.004,0.065,0.441,0.28
"P21","No sabe",0.018,0.054,0.094,0.042,0.002,0,0,0.327
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.832,0.286,0.055,0.12,0.029,0.306,0.101,0.092
