"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.809,0.103,0.183,0.596,0.079,0.167,0.075,0.299
"P07","Al candidato de Juntos por el Cambio",0.057,0.669,0.588,0.131,0.115,0.051,0.361,0.199
"P07","Al candidato de los liberales - libertarios",0.042,0.103,0.122,0.058,0.718,0.123,0,0.051
"P07","Al candidato de la Izquierda",0.036,0.037,0.017,0.069,0.012,0.332,0,0.123
"P07","A otro candidato",0.02,0.039,0.043,0.058,0.057,0.182,0.288,0.074
"P07","No sabe",0.036,0.049,0.047,0.088,0.019,0.145,0.276,0.254
"P08","A Malena Galmarini",0.65,0.385,0.438,0.141,0.306,0,0.527,0.582
"P08","A Julio Zamora",0.35,0.615,0.562,0.859,0.694,1,0.473,0.418
"P09","A Segundo Cernadas",0.302,0.501,0.675,0.392,0.918,0,0.486,0.668
"P09","A Nicolás Massot",0.698,0.499,0.325,0.608,0.082,1,0.514,0.332
"P10","A Malena Galmarini por el Frente de Todos",0.528,0.09,0.096,0.054,0.066,0.047,0.132,0.189
"P10","A Julio Zamora por el Frente de Todos",0.329,0.071,0.131,0.684,0.033,0.221,0.052,0.173
"P10","A Segundo Cernadas por Juntos por el Cambio",0.038,0.376,0.494,0.102,0.152,0.032,0.354,0.104
"P10","A Nicolás Massot por Juntos por el Cambio",0.027,0.321,0.12,0.111,0.03,0.068,0,0.08
"P10","Al candidato de los liberales libertarios",0.013,0.083,0.069,0.01,0.656,0.056,0.041,0.006
"P10","A Paula Akerfeld por el Frente de Izquierda",0.042,0.017,0.01,0.014,0.015,0.405,0.048,0.145
"P10","No sabe",0.023,0.042,0.08,0.025,0.048,0.171,0.373,0.303
"P12","A Julio Zamora por el Frente de Todos",0.705,0.104,0.194,0.671,0.052,0.074,0.075,0.208
"P12","A Segundo Cernadas por Juntos por el Cambio",0.064,0.624,0.561,0.124,0.129,0.01,0.173,0.219
"P12","Al candidato de los liberales libertarios",0.052,0.133,0.128,0.109,0.654,0.032,0.173,0.054
"P12","A Paula Akerfeld por el Frente de Izquierda",0.04,0.023,0.012,0.076,0.003,0.414,0.016,0.123
"P12","No sabe",0.139,0.116,0.105,0.02,0.162,0.47,0.563,0.396
"P14","A Malena Galmarini por el Frente de Todos",0.776,0.088,0.151,0.21,0.044,0.178,0.147,0.309
"P14","A Segundo Cernadas por Juntos por el Cambio",0.064,0.598,0.572,0.267,0.126,0.058,0.238,0.197
"P14","Al candidato de los liberales libertarios",0.051,0.135,0.154,0.124,0.75,0.032,0.036,0.073
"P14","A Paula Akerfeld por el Frente de Izquierda",0.029,0.035,0,0.097,0.017,0.402,0,0.123
"P14","No sabe",0.08,0.144,0.123,0.302,0.063,0.33,0.579,0.298
"P16","A Malena Galmarini por el Frente de Todos",0.621,0.079,0.165,0.18,0.089,0.042,0.116,0.266
"P16","A Segundo Cernadas por Juntos por el Cambio",0.078,0.466,0.54,0.161,0.108,0.02,0.346,0.13
"P16","A Nicolás Massot por Juntos por el Cambio",0.073,0.258,0.143,0.017,0.039,0.028,0.024,0.061
"P16","A Julio Zamora por un partido vecinal",0.135,0.055,0.062,0.541,0.037,0.044,0.036,0.142
"P16","Al candidato de los liberales libertarios",0.031,0.093,0.065,0.083,0.681,0.294,0.105,0.164
"P16","A Paula Akerfeld por el Frente de Izquierda",0.009,0.003,0,0.005,0.008,0.476,0.016,0.123
"P16","No sabe",0.053,0.046,0.025,0.013,0.038,0.096,0.357,0.114
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.709,0.033,0.202,0.206,0.003,0.138,0.015,0.21
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.135,0.031,0.05,0.409,0.012,0.052,0.016,0.059
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.027,0.799,0.234,0.104,0.017,0.112,0.173,0.036
