"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.771,0.088,0.401,0.099,0.237,0.155,0.207
"P07","Al candidato de Juntos por el Cambio",0.09,0.714,0.182,0.105,0.031,0.29,0.238
"P07","Al candidato de los liberales - libertarios",0.003,0.086,0.297,0.696,0.292,0.121,0.072
"P07","Al candidato de la Izquierda",0.042,0.027,0.016,0.03,0.198,0.109,0.042
"P07","A otro candidato",0.055,0.025,0.065,0.05,0.087,0.123,0.176
"P07","No sabe",0.039,0.06,0.039,0.02,0.155,0.202,0.265
"P08","A Malena Galmarini",0.686,0.263,0.099,0.49,0.089,0.173,0.185
"P08","A Julio Zamora",0.314,0.737,0.901,0.51,0.911,0.827,0.815
"P09","A Segundo Cernadas",0.255,0.563,0.67,0.864,0,0.516,0.649
"P09","A Nicolás Massot",0.745,0.437,0.33,0.136,1,0.484,0.351
"P10","A Malena Galmarini por el Frente de Todos",0.533,0.075,0.059,0.062,0.017,0.121,0.07
"P10","A Julio Zamora por el Frente de Todos",0.263,0.074,0.519,0.045,0.391,0.251,0.171
"P10","A Segundo Cernadas por Juntos por el Cambio",0.05,0.478,0.096,0.162,0.019,0.086,0.273
"P10","A Nicolás Massot por Juntos por el Cambio",0.046,0.252,0.048,0.057,0.142,0.052,0.081
"P10","Al candidato de los liberales libertarios",0.026,0.062,0.251,0.589,0.173,0.075,0.024
"P10","A Paula Akerfeld por el Frente de Izquierda",0.053,0.015,0.02,0.009,0.166,0.172,0.055
"P10","No sabe",0.029,0.044,0.007,0.076,0.092,0.243,0.326
"P12","A Julio Zamora por el Frente de Todos",0.623,0.099,0.441,0.072,0.402,0.249,0.245
"P12","A Segundo Cernadas por Juntos por el Cambio",0.117,0.675,0.159,0.123,0.01,0.142,0.278
"P12","Al candidato de los liberales libertarios",0.067,0.122,0.301,0.579,0.173,0.151,0.081
"P12","A Paula Akerfeld por el Frente de Izquierda",0.043,0.021,0.031,0.031,0.165,0.14,0.048
"P12","No sabe",0.15,0.083,0.068,0.195,0.25,0.318,0.348
"P14","A Malena Galmarini por el Frente de Todos",0.742,0.076,0.201,0.049,0.199,0.184,0.182
"P14","A Segundo Cernadas por Juntos por el Cambio",0.073,0.697,0.179,0.131,0.014,0.164,0.332
"P14","Al candidato de los liberales libertarios",0.053,0.118,0.37,0.694,0.188,0.157,0.042
"P14","A Paula Akerfeld por el Frente de Izquierda",0.045,0.009,0.056,0.037,0.235,0.15,0.059
"P14","No sabe",0.087,0.1,0.194,0.089,0.364,0.345,0.385
"P16","A Malena Galmarini por el Frente de Todos",0.651,0.054,0.169,0.086,0.145,0.07,0.101
"P16","A Segundo Cernadas por Juntos por el Cambio",0.095,0.545,0.121,0.108,0,0.118,0.351
"P16","A Nicolás Massot por Juntos por el Cambio",0.078,0.241,0.076,0.042,0.015,0.025,0.036
"P16","A Julio Zamora por un partido vecinal",0.102,0.058,0.34,0.061,0.279,0.203,0.099
"P16","Al candidato de los liberales libertarios",0.042,0.071,0.274,0.645,0.183,0.273,0.132
"P16","A Paula Akerfeld por el Frente de Izquierda",0.004,0.002,0.002,0.014,0.261,0.137,0.045
"P16","No sabe",0.028,0.029,0.018,0.044,0.117,0.174,0.236
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.777,0.028,0.14,0.004,0.019,0.115,0.037
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.1,0.018,0.236,0.024,0.148,0.099,0.139
