"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.79,0.087,0.427,0.104,0.182,0.152,0.243
"P07","Al candidato de Juntos por el Cambio",0.071,0.762,0.177,0.151,0.151,0.169,0.275
"P07","Al candidato de los liberales - libertarios",0.015,0.045,0.194,0.623,0.235,0.074,0.086
"P07","Al candidato de la Izquierda",0.026,0.007,0.015,0.027,0.304,0.199,0.024
"P07","A otro candidato",0.051,0.033,0.112,0.048,0.089,0.164,0.119
"P07","No sabe",0.047,0.066,0.075,0.047,0.039,0.242,0.253
"P08","A Malena Galmarini",0.667,0.27,0.148,0.342,0.322,0.18,0.262
"P08","A Julio Zamora",0.333,0.73,0.852,0.658,0.678,0.82,0.738
"P09","A Segundo Cernadas",0.466,0.578,0.455,0.732,0.56,0.54,0.451
"P09","A Nicolás Massot",0.534,0.422,0.545,0.268,0.44,0.46,0.549
"P10","A Malena Galmarini por el Frente de Todos",0.545,0.069,0.067,0.07,0.11,0.035,0.066
"P10","A Julio Zamora por el Frente de Todos",0.261,0.077,0.591,0.071,0.211,0.263,0.171
"P10","A Segundo Cernadas por Juntos por el Cambio",0.051,0.524,0.083,0.15,0.117,0.105,0.191
"P10","A Nicolás Massot por Juntos por el Cambio",0.047,0.213,0.029,0.079,0.048,0.058,0.225
"P10","Al candidato de los liberales libertarios",0.028,0.027,0.169,0.538,0.144,0.082,0.016
"P10","A Paula Akerfeld por el Frente de Izquierda",0.036,0.011,0.006,0.034,0.226,0.175,0.045
"P10","No sabe",0.032,0.079,0.055,0.058,0.144,0.282,0.286
"P12","A Julio Zamora por el Frente de Todos",0.663,0.087,0.512,0.09,0.281,0.246,0.197
"P12","A Segundo Cernadas por Juntos por el Cambio",0.098,0.705,0.151,0.164,0.135,0.158,0.288
"P12","Al candidato de los liberales libertarios",0.068,0.095,0.176,0.561,0.196,0.085,0.047
"P12","A Paula Akerfeld por el Frente de Izquierda",0.025,0.019,0.041,0.031,0.232,0.19,0.022
"P12","No sabe",0.146,0.094,0.12,0.154,0.156,0.321,0.446
"P14","A Malena Galmarini por el Frente de Todos",0.755,0.084,0.224,0.054,0.23,0.075,0.182
"P14","A Segundo Cernadas por Juntos por el Cambio",0.091,0.747,0.168,0.171,0.085,0.226,0.268
"P14","Al candidato de los liberales libertarios",0.018,0.069,0.266,0.671,0.204,0.086,0.074
"P14","A Paula Akerfeld por el Frente de Izquierda",0.035,0.011,0.064,0.027,0.317,0.129,0.024
"P14","No sabe",0.101,0.089,0.278,0.077,0.164,0.484,0.452
"P16","A Malena Galmarini por el Frente de Todos",0.659,0.058,0.166,0.079,0.222,0.03,0.096
"P16","A Segundo Cernadas por Juntos por el Cambio",0.1,0.601,0.083,0.143,0.067,0.187,0.261
"P16","A Nicolás Massot por Juntos por el Cambio",0.049,0.204,0.069,0.099,0.053,0.11,0.089
"P16","A Julio Zamora por un partido vecinal",0.115,0.054,0.422,0.067,0.138,0.249,0.109
"P16","Al candidato de los liberales libertarios",0.04,0.048,0.215,0.558,0.138,0.144,0.147
"P16","A Paula Akerfeld por el Frente de Izquierda",0.003,0.002,0.024,0.012,0.24,0.162,0.016
"P16","No sabe",0.034,0.033,0.021,0.042,0.142,0.118,0.282
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.771,0.053,0.196,0.014,0.028,0.041,0.046
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.116,0.019,0.252,0.032,0.16,0.178,0.067
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.027,0.541,0.174,0.125,0.084,0.239,0.295
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.02,0.346,0.036,0.02,0.048,0.056,0.019
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.017,0.243,0.735,0.307,0.021,0.07
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.006,0.02,0.037,0.28,0,0.03
"P18","En blanco",0.005,0.006,0.01,0.001,0.052,0.199,0.022
"P18","No sabe",0.025,0.012,0.069,0.036,0.041,0.266,0.451
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.839,0.034,0.179,0.013,0.028,0.024,0.062
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.031,0.501,0.132,0.133,0.071,0.251,0.252
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.01,0.374,0.083,0.041,0.073,0.125,0.045
"P19","Julio Zamora a intendente por un partido vecinal",0.069,0.053,0.394,0.224,0.107,0.125,0.05
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.023,0.014,0.163,0.566,0.469,0.018,0.058
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.009,0.012,0.02,0.106,0.052,0.044
