"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.287,0.255,0.318,0.313,0.3,0.273,0.228,0.316,0.288,0.25,0.532,0.094,0.223
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.271,0.215,0.325,0.094,0.234,0.391,0.492,0.228,0.247,0.371,0.082,0.552,0.084
"Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.229,0.33,0.133,0.34,0.248,0.16,0.097,0.28,0.209,0.203,0.162,0.229,0.22
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.067,0.082,0.052,0.131,0.053,0.046,0.032,0.067,0.075,0.051,0.053,0.046,0.059
"En blanco",0.036,0.034,0.037,0.032,0.039,0.037,0.031,0.017,0.047,0.038,0.043,0.015,0.114
"No sabe",0.11,0.084,0.135,0.09,0.126,0.093,0.12,0.092,0.134,0.087,0.128,0.064,0.3
