"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P22","No sabe",0.107,0.066,0.04,0.242,0.257
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.549,0.113,0.085,0.279,0.267
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.085,0.638,0.149,0.131,0.144
"P23","Julio Zamora a intendente por un partido vecinal",0.198,0.079,0.193,0.104,0.062
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.043,0.081,0.494,0.136,0.235
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.035,0.001,0.021,0.107,0.044
"P23","En blanco",0.041,0.026,0.035,0.172,0.106
"P23","No sabe",0.049,0.062,0.023,0.071,0.142
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.539,0.085,0.065,0.245,0.245
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.148,0.09,0.034,0.049,0.042
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.107,0.452,0.207,0.141,0.131
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.085,0.246,0.061,0.159,0.161
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.041,0.08,0.618,0.03,0.217
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.01,0.002,0.234,0.088
"P24","En blanco",0.018,0.012,0.007,0.04,0.039
"P24","No sabe",0.054,0.025,0.006,0.102,0.077
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.555,0.057,0.061,0.24,0.235
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.07,0.478,0.132,0.121,0.169
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.084,0.277,0.083,0.04,0.098
"P25","Julio Zamora a intendente por un partido vecinal",0.217,0.045,0.052,0.188,0.014
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.035,0.098,0.647,0.014,0.234
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.001,0.004,0.255,0.081
"P25","En blanco",0.003,0.008,0.01,0.005,0.046
"P25","No sabe",0.03,0.036,0.011,0.137,0.123
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.643,0.112,0.07,0.397,0.212
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.074,0.566,0.076,0.122,0.193
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.088,0.157,0.615,0.073,0.207
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.052,0.019,0.036,0.132,0.066
"P26","En blanco",0.038,0.063,0.14,0.024,0.174
"P26","No sabe",0.105,0.083,0.063,0.252,0.148
