"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.799,0.124,0.107,0.109,0.301,0.295
"P07","Al candidato de Juntos por el Cambio",0.054,0.72,0.167,0.175,0.177,0.128
"P07","Al candidato de los liberales - libertarios",0.024,0.072,0.633,0.583,0.205,0.105
"P07","Al candidato de la Izquierda",0.038,0.009,0.009,0.114,0.015,0.181
"P07","A otro candidato",0.039,0.029,0.062,0,0.171,0.079
"P07","No sabe",0.046,0.046,0.022,0.019,0.131,0.212
"P08","A Malena Galmarini",0.695,0.584,0.113,0.056,0.232,0.203
"P08","A Julio Zamora",0.305,0.416,0.887,0.944,0.768,0.797
"P09","A Segundo Cernadas",0.357,0.577,0.566,0.85,0.685,0.682
"P09","A Nicolás Massot",0.643,0.423,0.434,0.15,0.315,0.318
"P10","A Malena Galmarini por el Frente de Todos",0.583,0.095,0.103,0.102,0.031,0.013
"P10","A Julio Zamora por el Frente de Todos",0.282,0.055,0.208,0.119,0.251,0.393
"P10","A Segundo Cernadas por Juntos por el Cambio",0.032,0.498,0.129,0.164,0.145,0.238
"P10","A Nicolás Massot por Juntos por el Cambio",0.065,0.245,0.057,0.024,0.122,0.086
"P10","Al candidato de los liberales libertarios",0.004,0.067,0.443,0.381,0.338,0.007
"P10","A Paula Akerfeld por el Frente de Izquierda",0.015,0.003,0.008,0.051,0.042,0.212
"P10","No sabe",0.019,0.037,0.052,0.159,0.071,0.051
"P12","A Julio Zamora por el Frente de Todos",0.699,0.096,0.126,0.219,0.327,0.366
"P12","A Segundo Cernadas por Juntos por el Cambio",0.081,0.718,0.127,0.152,0.182,0.19
"P12","Al candidato de los liberales libertarios",0.056,0.091,0.588,0.401,0.305,0.075
"P12","A Paula Akerfeld por el Frente de Izquierda",0.057,0.012,0.014,0.044,0.006,0.145
"P12","No sabe",0.107,0.083,0.145,0.184,0.18,0.224
"P14","A Malena Galmarini por el Frente de Todos",0.738,0.097,0.056,0.135,0.062,0.08
"P14","A Segundo Cernadas por Juntos por el Cambio",0.111,0.723,0.132,0.146,0.292,0.256
"P14","Al candidato de los liberales libertarios",0.027,0.085,0.744,0.476,0.31,0.028
"P14","A Paula Akerfeld por el Frente de Izquierda",0.043,0.019,0.008,0.107,0.045,0.145
"P14","No sabe",0.081,0.076,0.06,0.136,0.291,0.491
"P16","A Malena Galmarini por el Frente de Todos",0.633,0.102,0.099,0.105,0.128,0.101
"P16","A Segundo Cernadas por Juntos por el Cambio",0.067,0.588,0.123,0.047,0.215,0.226
"P16","A Nicolás Massot por Juntos por el Cambio",0.067,0.207,0.096,0.11,0.036,0.025
"P16","A Julio Zamora por un partido vecinal",0.155,0.03,0.117,0.113,0.21,0.184
"P16","Al candidato de los liberales libertarios",0.011,0.062,0.508,0.422,0.326,0.226
"P16","A Paula Akerfeld por el Frente de Izquierda",0.01,0.004,0.031,0.044,0,0.131
"P16","No sabe",0.057,0.007,0.026,0.159,0.085,0.107
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.723,0.052,0.043,0,0.013,0.104
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.15,0.022,0.085,0.073,0.299,0.136
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.634,0.113,0.171,0.122,0.181
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.019,0.208,0.025,0.079,0.11,0.194
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.046,0.707,0.543,0.325,0.05
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.002,0.014,0.104,0.013,0.05
"P18","En blanco",0.011,0.006,0.006,0.02,0.099,0.02
"P18","No sabe",0.052,0.03,0.007,0.01,0.019,0.265
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.779,0.051,0.039,0.01,0.084,0.004
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.076,0.588,0.05,0.091,0.099,0.135
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.012,0.251,0.059,0,0.083,0.186
"P19","Julio Zamora a intendente por un partido vecinal",0.06,0.057,0.271,0.282,0.274,0.259
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.014,0.029,0.565,0.536,0.364,0.036
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0,0.012,0.064,0.01,0.1
"P19","En blanco",0.021,0.01,0.004,0.01,0.067,0.039
"P19","No sabe",0.033,0.014,0,0.007,0.019,0.241
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.792,0.069,0.047,0.01,0.021,0.05
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.061,0.642,0.033,0.089,0.092,0.25
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.049,0.155,0.694,0.32,0.318,0.065
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.029,0.033,0.086,0.319,0.062,0.07
"P20","En blanco",0.029,0.039,0.108,0.241,0.379,0.058
"P20","No sabe",0.04,0.062,0.032,0.021,0.128,0.507
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.79,0.048,0.02,0,0.093,0.057
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.037,0.658,0.042,0.052,0.106,0.249
"P21","Julio Zamora a intendente por un partido vecinal",0.095,0.041,0.222,0.236,0.19,0.253
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.131,0.675,0.377,0.352,0.099
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.037,0.025,0.015,0.309,0.101,0.018
"P21","En blanco",0.008,0.033,0.024,0.026,0.099,0.162
"P21","No sabe",0.016,0.064,0.002,0,0.059,0.162
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.856,0.051,0.026,0,0.114,0.104
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.037,0.834,0.069,0.105,0.099,0.276
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.038,0.75,0.561,0.192,0.063
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.021,0.109,0.281,0.243,0.009
"P22","En blanco",0.031,0.009,0.01,0.046,0.237,0.062
"P22","No sabe",0.052,0.047,0.036,0.007,0.115,0.486
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.814,0.052,0.051,0.01,0.105,0.057
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.029,0.82,0.057,0.105,0.137,0.207
"P23","Julio Zamora a intendente por un partido vecinal",0.06,0.027,0.267,0.328,0.227,0.278
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.034,0.55,0.347,0.29,0.055
