"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"A Julio Zamora por el Frente de Todos",0.295,0.294,0.295,0.268,0.308,0.321,0.269,0.292,0.311,0.266,0.494,0.159,0.399
"A Segundo Cernadas por Juntos por el Cambio",0.264,0.241,0.287,0.183,0.245,0.33,0.396,0.251,0.247,0.318,0.146,0.475,0.198
"Al candidato de los liberales libertarios",0.191,0.259,0.126,0.269,0.182,0.147,0.123,0.188,0.175,0.228,0.125,0.2,0.167
"A Paula Akerfeld por el Frente de Izquierda",0.047,0.03,0.063,0.06,0.047,0.037,0.037,0.037,0.05,0.055,0.046,0.022,0.029
"No sabe",0.203,0.176,0.229,0.22,0.218,0.165,0.175,0.232,0.217,0.133,0.189,0.144,0.207
