"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.819,0.122,0.126,0.356,0.207,0.263
"P07","Al candidato de Juntos por el Cambio",0.086,0.712,0.225,0.227,0.136,0.163
"P07","Al candidato de los liberales - libertarios",0.018,0.08,0.568,0.028,0.42,0.105
"P07","Al candidato de la Izquierda",0.013,0.002,0.035,0.265,0,0.157
"P07","A otro candidato",0.028,0.026,0.031,0.06,0.159,0.107
"P07","No sabe",0.036,0.058,0.015,0.064,0.078,0.205
"P08","A Malena Galmarini",0.645,0.474,0.385,0,0.086,0.253
"P08","A Julio Zamora",0.355,0.526,0.615,1,0.914,0.747
"P09","A Segundo Cernadas",0.568,0.577,0.686,0.796,0.341,0.216
"P09","A Nicolás Massot",0.432,0.423,0.314,0.204,0.659,0.784
"P10","A Malena Galmarini por el Frente de Todos",0.499,0.076,0.118,0,0.117,0.054
"P10","A Julio Zamora por el Frente de Todos",0.324,0.087,0.14,0.564,0.161,0.381
"P10","A Segundo Cernadas por Juntos por el Cambio",0.061,0.523,0.161,0.153,0.116,0.17
"P10","A Nicolás Massot por Juntos por el Cambio",0.063,0.229,0.07,0.106,0.128,0.078
"P10","Al candidato de los liberales libertarios",0.014,0.036,0.473,0.009,0.342,0.038
"P10","A Paula Akerfeld por el Frente de Izquierda",0.017,0.006,0.001,0.104,0.064,0.198
"P10","No sabe",0.022,0.043,0.037,0.064,0.072,0.081
"P12","A Julio Zamora por el Frente de Todos",0.671,0.093,0.141,0.455,0.251,0.379
"P12","A Segundo Cernadas por Juntos por el Cambio",0.098,0.754,0.223,0.173,0.068,0.186
"P12","Al candidato de los liberales libertarios",0.06,0.091,0.514,0.054,0.362,0.069
"P12","A Paula Akerfeld por el Frente de Izquierda",0.032,0.015,0.003,0.22,0.017,0.158
"P12","No sabe",0.139,0.047,0.119,0.098,0.302,0.208
"P14","A Malena Galmarini por el Frente de Todos",0.735,0.092,0.121,0.056,0.037,0.171
"P14","A Segundo Cernadas por Juntos por el Cambio",0.114,0.766,0.211,0.215,0.134,0.239
"P14","Al candidato de los liberales libertarios",0.039,0.056,0.6,0.141,0.537,0.066
"P14","A Paula Akerfeld por el Frente de Izquierda",0.026,0.017,0.007,0.215,0.058,0.139
"P14","No sabe",0.086,0.069,0.061,0.373,0.234,0.385
"P16","A Malena Galmarini por el Frente de Todos",0.598,0.067,0.179,0.097,0.09,0.117
"P16","A Segundo Cernadas por Juntos por el Cambio",0.086,0.592,0.18,0.163,0.116,0.186
"P16","A Nicolás Massot por Juntos por el Cambio",0.068,0.212,0.106,0,0.119,0.063
"P16","A Julio Zamora por un partido vecinal",0.138,0.055,0.057,0.464,0.175,0.239
"P16","Al candidato de los liberales libertarios",0.029,0.045,0.459,0.063,0.456,0.172
"P16","A Paula Akerfeld por el Frente de Izquierda",0.021,0.002,0.002,0.149,0.008,0.119
"P16","No sabe",0.06,0.027,0.017,0.064,0.036,0.104
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.662,0.028,0.12,0.2,0.058,0.142
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.14,0.045,0.031,0.2,0.169,0.187
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.068,0.561,0.213,0.042,0.121,0.203
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.029,0.254,0.065,0.095,0.049,0.042
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.069,0.556,0.141,0.514,0.089
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.003,0.004,0.196,0.044,0.062
"P18","En blanco",0.016,0.004,0.009,0,0.034,0.061
"P18","No sabe",0.07,0.036,0.002,0.126,0.011,0.214
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.727,0.019,0.121,0.174,0.05,0.081
