"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.238,0.223,0.251,0.252,0.254,0.217,0.186,0.256,0.232,0.223,0.445,0.081,0.194
"Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.089,0.095,0.083,0.09,0.083,0.111,0.072,0.094,0.107,0.045,0.153,0.05,0.053
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.192,0.176,0.206,0.116,0.142,0.315,0.312,0.16,0.179,0.263,0.068,0.404,0.068
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.091,0.063,0.117,0.027,0.103,0.093,0.185,0.07,0.095,0.113,0.038,0.152,0.237
"Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.243,0.342,0.151,0.357,0.259,0.14,0.115,0.285,0.217,0.235,0.151,0.254,0.216
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.031,0.016,0.046,0.053,0.025,0.021,0.023,0.021,0.043,0.022,0.01,0.012,0.027
"En blanco",0.021,0.011,0.031,0.027,0.016,0.025,0.02,0.008,0.03,0.023,0.023,0.01,0.027
"No sabe",0.095,0.074,0.115,0.078,0.118,0.078,0.087,0.106,0.097,0.076,0.112,0.037,0.178
