"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.826,0.1,0.448,0.084,0.053,0.142,0.195
"P07","Al candidato de Juntos por el Cambio",0.061,0.678,0.165,0.142,0.134,0.233,0.286
"P07","Al candidato de los liberales - libertarios",0.024,0.109,0.269,0.7,0.231,0.041,0.089
"P07","Al candidato de la Izquierda",0.01,0.039,0.024,0.015,0.34,0.213,0.118
"P07","A otro candidato",0.043,0.019,0.013,0.044,0.198,0.246,0.127
"P07","No sabe",0.036,0.055,0.081,0.015,0.044,0.125,0.185
"P08","A Malena Galmarini",0.639,0.298,0.195,0.616,0.184,0.299,0.326
"P08","A Julio Zamora",0.361,0.702,0.805,0.384,0.816,0.701,0.674
"P09","A Segundo Cernadas",0.447,0.524,0.595,0.95,0.608,0.734,0.786
"P09","A Nicolás Massot",0.553,0.476,0.405,0.05,0.392,0.266,0.214
"P10","A Malena Galmarini por el Frente de Todos",0.519,0.054,0.123,0.069,0.014,0.168,0.126
"P10","A Julio Zamora por el Frente de Todos",0.302,0.101,0.507,0.041,0.079,0.277,0.178
"P10","A Segundo Cernadas por Juntos por el Cambio",0.068,0.438,0.18,0.12,0.094,0.205,0.286
"P10","A Nicolás Massot por Juntos por el Cambio",0.054,0.262,0.018,0.064,0.093,0.072,0.011
"P10","Al candidato de los liberales libertarios",0.01,0.057,0.146,0.658,0.398,0.017,0.018
"P10","A Paula Akerfeld por el Frente de Izquierda",0.027,0.031,0.019,0.006,0.244,0.2,0.13
"P10","No sabe",0.02,0.057,0.007,0.042,0.078,0.061,0.251
"P12","A Julio Zamora por el Frente de Todos",0.679,0.135,0.445,0.072,0.167,0.241,0.255
"P12","A Segundo Cernadas por Juntos por el Cambio",0.115,0.639,0.175,0.164,0.086,0.144,0.297
"P12","Al candidato de los liberales libertarios",0.043,0.101,0.285,0.615,0.397,0.136,0.051
"P12","A Paula Akerfeld por el Frente de Izquierda",0.055,0.011,0.025,0.004,0.094,0.238,0.118
"P12","No sabe",0.108,0.114,0.07,0.145,0.256,0.241,0.279
"P14","A Malena Galmarini por el Frente de Todos",0.707,0.101,0.196,0.027,0.217,0.181,0.142
"P14","A Segundo Cernadas por Juntos por el Cambio",0.123,0.634,0.21,0.166,0.067,0.208,0.427
"P14","Al candidato de los liberales libertarios",0.022,0.15,0.34,0.7,0.39,0.034,0.051
"P14","A Paula Akerfeld por el Frente de Izquierda",0.056,0.007,0.046,0.015,0.115,0.2,0.112
"P14","No sabe",0.092,0.108,0.208,0.092,0.211,0.377,0.268
"P16","A Malena Galmarini por el Frente de Todos",0.602,0.08,0.186,0.084,0.208,0.157,0.148
"P16","A Segundo Cernadas por Juntos por el Cambio",0.109,0.479,0.138,0.179,0.051,0.334,0.284
"P16","A Nicolás Massot por Juntos por el Cambio",0.044,0.27,0.086,0.049,0.037,0,0.019
