"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.839,0.089,0.465,0.083,0.056,0.091,0.205
"P07","Al candidato de Juntos por el Cambio",0.056,0.731,0.195,0.169,0.061,0.121,0.296
"P07","Al candidato de los liberales - libertarios",0.007,0.109,0.211,0.685,0.401,0.11,0.032
"P07","Al candidato de la Izquierda",0.031,0.005,0.018,0.017,0.194,0.193,0.24
"P07","A otro candidato",0.032,0.018,0.069,0.015,0.205,0.239,0.017
"P07","No sabe",0.035,0.048,0.042,0.031,0.083,0.246,0.21
"P08","A Malena Galmarini",0.691,0.586,0.129,0.368,0.329,0.633,0.282
"P08","A Julio Zamora",0.309,0.414,0.871,0.632,0.671,0.367,0.718
"P09","A Segundo Cernadas",0.442,0.615,0.492,0.791,0.214,0.407,0.039
"P09","A Nicolás Massot",0.558,0.385,0.508,0.209,0.786,0.593,0.961
"P10","A Malena Galmarini por el Frente de Todos",0.579,0.077,0.08,0.073,0.049,0.078,0.057
"P10","A Julio Zamora por el Frente de Todos",0.255,0.05,0.601,0.069,0.092,0.212,0.109
"P10","A Segundo Cernadas por Juntos por el Cambio",0.063,0.544,0.074,0.155,0.035,0.211,0.186
"P10","A Nicolás Massot por Juntos por el Cambio",0.055,0.223,0.088,0.087,0.047,0.087,0.207
"P10","Al candidato de los liberales libertarios",0.013,0.059,0.135,0.556,0.522,0.054,0
"P10","A Paula Akerfeld por el Frente de Izquierda",0.017,0.003,0.008,0.035,0.104,0.266,0.277
"P10","No sabe",0.018,0.044,0.014,0.025,0.151,0.092,0.164
"P12","A Julio Zamora por el Frente de Todos",0.705,0.062,0.534,0.091,0.046,0.299,0.141
"P12","A Segundo Cernadas por Juntos por el Cambio",0.106,0.76,0.129,0.175,0.07,0.198,0.311
"P12","Al candidato de los liberales libertarios",0.052,0.11,0.215,0.588,0.436,0,0.061
"P12","A Paula Akerfeld por el Frente de Izquierda",0.03,0.015,0.026,0.002,0.088,0.179,0.229
"P12","No sabe",0.107,0.053,0.096,0.144,0.36,0.324,0.258
"P14","A Malena Galmarini por el Frente de Todos",0.75,0.094,0.242,0.036,0.1,0.151,0.122
"P14","A Segundo Cernadas por Juntos por el Cambio",0.113,0.734,0.192,0.192,0.049,0.293,0.29
"P14","Al candidato de los liberales libertarios",0.048,0.075,0.319,0.696,0.505,0.026,0.029
"P14","A Paula Akerfeld por el Frente de Izquierda",0.024,0.025,0.046,0.02,0.083,0.068,0.229
