"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"A Malena Galmarini por el Frente de Todos",0.187,0.203,0.172,0.208,0.208,0.162,0.118,0.207,0.175,0.183,0.305,0.091,0.147
"A Julio Zamora por el Frente de Todos",0.185,0.179,0.191,0.123,0.194,0.239,0.204,0.185,0.192,0.172,0.291,0.117,0.301
"A Segundo Cernadas por Juntos por el Cambio",0.191,0.164,0.216,0.115,0.165,0.258,0.331,0.176,0.178,0.238,0.08,0.375,0.152
"A Nicolás Massot por Juntos por el Cambio",0.085,0.084,0.086,0.068,0.07,0.111,0.129,0.059,0.08,0.132,0.042,0.149,0.072
"Al candidato de los liberales libertarios",0.16,0.219,0.103,0.244,0.164,0.104,0.053,0.129,0.171,0.182,0.111,0.172,0.107
"A Paula Akerfeld por el Frente de Izquierda",0.04,0.026,0.054,0.05,0.034,0.036,0.044,0.048,0.04,0.028,0.03,0.018,0.069
"No sabe",0.152,0.125,0.178,0.192,0.165,0.09,0.121,0.196,0.164,0.065,0.141,0.078,0.152
