"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.264,0.243,0.285,0.28,0.283,0.246,0.213,0.29,0.264,0.234,0.482,0.087,0.211
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.22,0.167,0.27,0.086,0.174,0.295,0.446,0.174,0.214,0.286,0.064,0.444,0.166
"Julio Zamora a intendente por un partido vecinal",0.125,0.134,0.116,0.139,0.133,0.121,0.085,0.152,0.118,0.104,0.168,0.107,0.11
"Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.241,0.334,0.153,0.39,0.248,0.159,0.119,0.271,0.22,0.245,0.145,0.238,0.201
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.037,0.04,0.034,0.015,0.048,0.045,0.025,0.02,0.05,0.034,0.025,0.026,0.108
"En blanco",0.046,0.039,0.053,0.06,0.044,0.043,0.035,0.043,0.057,0.029,0.061,0.027,0.043
"No sabe",0.067,0.043,0.089,0.03,0.07,0.091,0.077,0.05,0.077,0.068,0.055,0.071,0.161
