"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.572,0.32,0.395,0.055,0.101,0.237,0.138
"P07","Al candidato de Juntos por el Cambio",0.288,0.51,0.175,0.152,0.04,0.208,0.268
"P07","Al candidato de los liberales - libertarios",0.035,0.082,0.266,0.747,0.398,0.007,0.116
"P07","Al candidato de la Izquierda",0.026,0.002,0.03,0.013,0.234,0.302,0.077
"P07","A otro candidato",0.033,0.034,0.093,0.024,0.181,0.102,0
"P07","No sabe",0.046,0.052,0.041,0.009,0.046,0.144,0.401
"P08","A Malena Galmarini",0.799,0.522,0.135,0.25,0,0.047,0.533
"P08","A Julio Zamora",0.201,0.478,0.865,0.75,1,0.953,0.467
"P09","A Segundo Cernadas",0.583,0.551,0.581,0.991,0.565,0.303,0.309
"P09","A Nicolás Massot",0.417,0.449,0.419,0.009,0.435,0.697,0.691
"P10","A Malena Galmarini por el Frente de Todos",0.434,0.233,0.067,0.104,0.128,0.015,0.022
"P10","A Julio Zamora por el Frente de Todos",0.177,0.128,0.516,0.02,0.219,0.438,0.153
"P10","A Segundo Cernadas por Juntos por el Cambio",0.217,0.347,0.122,0.165,0,0.165,0.318
"P10","A Nicolás Massot por Juntos por el Cambio",0.139,0.199,0.062,0.051,0,0,0.186
"P10","Al candidato de los liberales libertarios",0.016,0.047,0.185,0.594,0.406,0.007,0.009
"P10","A Paula Akerfeld por el Frente de Izquierda",0.006,0.003,0.007,0.002,0.102,0.326,0.151
"P10","No sabe",0.011,0.043,0.041,0.064,0.145,0.049,0.161
"P12","A Julio Zamora por el Frente de Todos",0.522,0.234,0.462,0.047,0.163,0.394,0.176
"P12","A Segundo Cernadas por Juntos por el Cambio",0.308,0.528,0.126,0.157,0.036,0.179,0.248
"P12","Al candidato de los liberales libertarios",0.065,0.08,0.248,0.676,0.505,0.007,0.126
"P12","A Paula Akerfeld por el Frente de Izquierda",0.026,0.026,0.041,0,0.066,0.231,0.077
"P12","No sabe",0.079,0.132,0.123,0.12,0.23,0.189,0.373
"P14","A Malena Galmarini por el Frente de Todos",0.525,0.3,0.135,0.043,0.122,0.138,0.061
"P14","A Segundo Cernadas por Juntos por el Cambio",0.334,0.513,0.237,0.155,0,0.259,0.281
"P14","Al candidato de los liberales libertarios",0.038,0.089,0.39,0.756,0.518,0.007,0.016
"P14","A Paula Akerfeld por el Frente de Izquierda",0.039,0.003,0.047,0.013,0.136,0.208,0.077
"P14","No sabe",0.064,0.095,0.191,0.033,0.224,0.388,0.565
"P16","A Malena Galmarini por el Frente de Todos",0.484,0.229,0.143,0.076,0.261,0.108,0.1
"P16","A Segundo Cernadas por Juntos por el Cambio",0.229,0.424,0.16,0.138,0,0.157,0.419
"P16","A Nicolás Massot por Juntos por el Cambio",0.154,0.168,0.051,0.056,0.125,0.022,0
"P16","A Julio Zamora por un partido vecinal",0.066,0.063,0.378,0.022,0.142,0.184,0.076
"P16","Al candidato de los liberales libertarios",0.024,0.06,0.246,0.647,0.314,0.271,0.055
"P16","A Paula Akerfeld por el Frente de Izquierda",0.008,0.019,0.008,0.004,0.05,0.224,0.076
"P16","No sabe",0.035,0.037,0.014,0.057,0.108,0.034,0.274
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.532,0.228,0.111,0.004,0,0.195,0
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.082,0.072,0.281,0.009,0.09,0.105,0.138
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.209,0.498,0.133,0.083,0.05,0.087,0.345
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.08,0.131,0.105,0.052,0.118,0.064,0.233
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.034,0.029,0.296,0.843,0.522,0.066,0.016
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.002,0.011,0.005,0.171,0.12,0
"P18","En blanco",0.011,0.008,0.011,0.004,0.049,0.126,0
