"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.254,0.224,0.284,0.265,0.288,0.227,0.173,0.278,0.241,0.248,0.471,0.084,0.258
"Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.088,0.097,0.079,0.06,0.084,0.12,0.096,0.09,0.093,0.075,0.116,0.08,0.155
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.231,0.197,0.263,0.154,0.163,0.348,0.384,0.182,0.232,0.289,0.102,0.428,0.052
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.139,0.124,0.154,0.124,0.151,0.105,0.185,0.141,0.143,0.131,0.111,0.174,0.168
"Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.201,0.302,0.105,0.331,0.21,0.114,0.093,0.244,0.19,0.17,0.117,0.182,0.252
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.021,0.034,0.042,0.029,0.015,0.02,0.014,0.03,0.041,0.026,0.013,0.01
"En blanco",0.018,0.009,0.026,0.014,0.018,0.023,0.014,0.015,0.024,0.01,0.017,0.015,0.01
"No sabe",0.041,0.026,0.055,0.01,0.057,0.048,0.035,0.036,0.047,0.036,0.04,0.024,0.095
