"var","categoria","A Segundo Cernadas","A Nicolás Massot"
"P10","A Malena Galmarini por el Frente de Todos",0.094,0.044
"P10","A Julio Zamora por el Frente de Todos",0.029,0.159
"P10","A Segundo Cernadas por Juntos por el Cambio",0.797,0.223
"P10","A Nicolás Massot por Juntos por el Cambio",0.027,0.434
"P10","Al candidato de los liberales libertarios",0.03,0.004
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.012
"P10","No sabe",0.023,0.124
"P12","A Julio Zamora por el Frente de Todos",0.064,0.14
"P12","A Segundo Cernadas por Juntos por el Cambio",0.776,0.588
"P12","Al candidato de los liberales libertarios",0.096,0.076
"P12","A Paula Akerfeld por el Frente de Izquierda",0.011,0.022
"P12","No sabe",0.053,0.174
"P14","A Malena Galmarini por el Frente de Todos",0.11,0.137
"P14","A Segundo Cernadas por Juntos por el Cambio",0.78,0.625
"P14","Al candidato de los liberales libertarios",0.074,0.084
"P14","A Paula Akerfeld por el Frente de Izquierda",0.001,0.01
"P14","No sabe",0.035,0.144
"P16","A Malena Galmarini por el Frente de Todos",0.115,0.064
"P16","A Segundo Cernadas por Juntos por el Cambio",0.723,0.399
"P16","A Nicolás Massot por Juntos por el Cambio",0.071,0.372
"P16","A Julio Zamora por un partido vecinal",0.03,0.063
"P16","Al candidato de los liberales libertarios",0.041,0.042
"P16","A Paula Akerfeld por el Frente de Izquierda",0.001,0.001
"P16","No sabe",0.019,0.059
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.039,0.117
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.031,0.03
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.395,0.583
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.296,0.185
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.188,0.058
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.015
"P18","En blanco",0.008,0.004
"P18","No sabe",0.041,0.008
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.033,0.127
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.364,0.525
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.339,0.227
