"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.787,0.091,0.151,0.357,0.236,0.232
"P07","Al candidato de Juntos por el Cambio",0.084,0.764,0.225,0.147,0.062,0.203
"P07","Al candidato de los liberales - libertarios",0.017,0.069,0.545,0.316,0.38,0.128
"P07","Al candidato de la Izquierda",0.039,0.01,0.018,0.131,0.008,0.185
"P07","A otro candidato",0.031,0.015,0.037,0.025,0.237,0.062
"P07","No sabe",0.042,0.051,0.024,0.024,0.077,0.19
"P08","A Malena Galmarini",0.677,0.557,0.384,0.257,0.17,0.159
"P08","A Julio Zamora",0.323,0.443,0.616,0.743,0.83,0.841
"P09","A Segundo Cernadas",0.323,0.625,0.679,0.941,0.272,0.222
"P09","A Nicolás Massot",0.677,0.375,0.321,0.059,0.728,0.778
"P10","A Malena Galmarini por el Frente de Todos",0.543,0.082,0.126,0.107,0.049,0.056
"P10","A Julio Zamora por el Frente de Todos",0.292,0.074,0.139,0.42,0.18,0.374
"P10","A Segundo Cernadas por Juntos por el Cambio",0.05,0.558,0.203,0.123,0.03,0.126
"P10","A Nicolás Massot por Juntos por el Cambio",0.06,0.247,0.082,0.008,0.163,0.08
"P10","Al candidato de los liberales libertarios",0.016,0.016,0.427,0.223,0.35,0.06
"P10","A Paula Akerfeld por el Frente de Izquierda",0.014,0.004,0.007,0.049,0.026,0.222
"P10","No sabe",0.025,0.019,0.016,0.07,0.202,0.082
"P12","A Julio Zamora por el Frente de Todos",0.684,0.099,0.119,0.336,0.294,0.275
"P12","A Segundo Cernadas por Juntos por el Cambio",0.092,0.78,0.224,0.193,0.069,0.228
"P12","Al candidato de los liberales libertarios",0.058,0.061,0.548,0.288,0.264,0.041
"P12","A Paula Akerfeld por el Frente de Izquierda",0.056,0.01,0.009,0.05,0.037,0.143
"P12","No sabe",0.11,0.05,0.1,0.133,0.336,0.313
"P14","A Malena Galmarini por el Frente de Todos",0.711,0.07,0.123,0.043,0.073,0.181
"P14","A Segundo Cernadas por Juntos por el Cambio",0.126,0.807,0.188,0.228,0.137,0.255
"P14","Al candidato de los liberales libertarios",0.032,0.04,0.642,0.353,0.409,0.041
"P14","A Paula Akerfeld por el Frente de Izquierda",0.037,0.025,0.005,0.11,0.042,0.148
"P14","No sabe",0.094,0.058,0.042,0.266,0.339,0.375
"P16","A Malena Galmarini por el Frente de Todos",0.612,0.075,0.141,0.143,0.12,0.117
"P16","A Segundo Cernadas por Juntos por el Cambio",0.068,0.617,0.203,0.05,0.13,0.194
"P16","A Nicolás Massot por Juntos por el Cambio",0.082,0.228,0.093,0.201,0.062,0.053
"P16","A Julio Zamora por un partido vecinal",0.148,0.044,0.07,0.267,0.169,0.157
"P16","Al candidato de los liberales libertarios",0.03,0.018,0.467,0.206,0.379,0.216
"P16","A Paula Akerfeld por el Frente de Izquierda",0.007,0.003,0.007,0.07,0.008,0.185
"P16","No sabe",0.053,0.015,0.019,0.063,0.132,0.078
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.707,0.018,0.092,0.021,0.054,0.163
