"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","A Nicolás Massot por Juntos por el Cambio","A Julio Zamora por un partido vecinal","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.67,0.163,0.129,0.625,0.074,0.156,0.103
"P07","Al candidato de Juntos por el Cambio",0.096,0.65,0.506,0.096,0.057,0.012,0.109
"P07","Al candidato de los liberales - libertarios",0.094,0.064,0.197,0.038,0.679,0.076,0.106
"P07","Al candidato de la Izquierda",0.027,0.011,0.069,0.036,0.019,0.669,0.056
"P07","A otro candidato",0.054,0.046,0.062,0.056,0.102,0.08,0.265
"P07","No sabe",0.059,0.066,0.037,0.149,0.069,0.007,0.361
"P08","A Malena Galmarini",0.721,0.664,0.627,0.14,0.321,0.159,0.339
"P08","A Julio Zamora",0.279,0.336,0.373,0.86,0.679,0.841,0.661
"P09","A Segundo Cernadas",0.701,0.702,0.198,0.383,0.56,0.569,0.294
"P09","A Nicolás Massot",0.299,0.298,0.802,0.617,0.44,0.431,0.706
"P10","A Malena Galmarini por el Frente de Todos",0.549,0.126,0.153,0.057,0.062,0.06,0.046
"P10","A Julio Zamora por el Frente de Todos",0.206,0.052,0.095,0.79,0.078,0.103,0.088
"P10","A Segundo Cernadas por Juntos por el Cambio",0.093,0.594,0.171,0.013,0.051,0.035,0.035
"P10","A Nicolás Massot por Juntos por el Cambio",0.034,0.097,0.361,0.068,0.031,0.01,0.036
"P10","Al candidato de los liberales libertarios",0.06,0.035,0.117,0.026,0.648,0.07,0.092
"P10","A Paula Akerfeld por el Frente de Izquierda",0.023,0.016,0.048,0.02,0.021,0.715,0.043
"P10","No sabe",0.035,0.08,0.055,0.026,0.109,0.007,0.66
"P12","A Julio Zamora por el Frente de Todos",0.572,0.124,0.204,0.799,0.042,0.051,0.1
"P12","A Segundo Cernadas por Juntos por el Cambio",0.143,0.732,0.422,0.065,0.04,0.016,0.045
"P12","Al candidato de los liberales libertarios",0.106,0.066,0.219,0.035,0.66,0.027,0.048
"P12","A Paula Akerfeld por el Frente de Izquierda",0.032,0.013,0.025,0.065,0.006,0.84,0.037
"P12","No sabe",0.147,0.065,0.13,0.036,0.252,0.066,0.77
"P14","A Malena Galmarini por el Frente de Todos",0.714,0.162,0.189,0.258,0.003,0.118,0.122
"P14","A Segundo Cernadas por Juntos por el Cambio",0.142,0.746,0.426,0.213,0.012,0.007,0.034
"P14","Al candidato de los liberales libertarios",0.086,0.031,0.288,0.101,0.757,0.015,0.019
"P14","A Paula Akerfeld por el Frente de Izquierda",0.016,0.01,0.032,0.098,0.018,0.755,0.026
"P14","No sabe",0.042,0.051,0.065,0.33,0.21,0.105,0.799
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.601,0.104,0.178,0.238,0.051,0.038,0.109
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.099,0.07,0.073,0.26,0.024,0.021,0.04
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.074,0.39,0.436,0.093,0.105,0.12,0.08
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.047,0.248,0.101,0.041,0.024,0,0.047
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.1,0.142,0.177,0.115,0.7,0.014,0.18
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.002,0.03,0.045,0.026,0.483,0.014
"P18","En blanco",0.027,0.006,0.003,0.043,0.006,0.077,0.055
"P18","No sabe",0.034,0.038,0.002,0.165,0.064,0.247,0.475
