"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.846,0.1,0.123,0.58,0.029,0.034,0.024,0.231
"P07","Al candidato de Juntos por el Cambio",0.059,0.648,0.719,0.216,0.07,0.107,0.012,0.172
"P07","Al candidato de los liberales - libertarios",0.009,0.118,0.057,0.098,0.752,0.195,0.394,0.063
"P07","Al candidato de la Izquierda",0.035,0.032,0,0.036,0.01,0.637,0.269,0.185
"P07","A otro candidato",0.024,0.014,0.031,0.017,0.128,0.027,0.185,0.093
"P07","No sabe",0.027,0.088,0.07,0.053,0.011,0,0.116,0.256
"P08","A Malena Galmarini",0.695,0.666,0.505,0.108,0.193,0,0.5,0.253
"P08","A Julio Zamora",0.305,0.334,0.495,0.892,0.807,1,0.5,0.747
"P09","A Segundo Cernadas",0.315,0.429,0.685,0.474,0.951,0.18,1,0.423
"P09","A Nicolás Massot",0.685,0.571,0.315,0.526,0.049,0.82,0,0.577
"P10","A Malena Galmarini por el Frente de Todos",0.603,0.106,0.083,0.047,0.084,0,0.012,0.028
"P10","A Julio Zamora por el Frente de Todos",0.249,0.076,0.07,0.812,0.018,0.242,0.198,0.112
"P10","A Segundo Cernadas por Juntos por el Cambio",0.028,0.357,0.564,0.113,0.117,0.02,0.038,0.325
"P10","A Nicolás Massot por Juntos por el Cambio",0.085,0.34,0.201,0.009,0.053,0.074,0.033,0.079
"P10","Al candidato de los liberales libertarios",0.018,0.09,0.008,0.007,0.653,0.013,0.357,0.088
"P10","A Paula Akerfeld por el Frente de Izquierda",0.012,0.014,0.004,0,0.006,0.505,0.282,0.239
"P10","No sabe",0.005,0.017,0.07,0.012,0.069,0.146,0.08,0.129
"P12","A Julio Zamora por el Frente de Todos",0.731,0.095,0.063,0.667,0.069,0.424,0.024,0.062
"P12","A Segundo Cernadas por Juntos por el Cambio",0.095,0.685,0.739,0.122,0.065,0.057,0.049,0.418
"P12","Al candidato de los liberales libertarios",0.044,0.098,0.068,0.147,0.673,0.05,0.357,0.059
"P12","A Paula Akerfeld por el Frente de Izquierda",0.032,0.022,0.033,0.032,0.005,0.129,0.281,0.185
"P12","No sabe",0.098,0.1,0.097,0.032,0.188,0.34,0.289,0.276
"P14","A Malena Galmarini por el Frente de Todos",0.78,0.107,0.069,0.169,0.04,0.585,0.012,0.074
"P14","A Segundo Cernadas por Juntos por el Cambio",0.086,0.624,0.789,0.252,0.086,0.057,0.037,0.371
"P14","Al candidato de los liberales libertarios",0.071,0.087,0.025,0.202,0.786,0.034,0.357,0.015
