"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy buena",0.087,0.104,0.069,0.073,0.09,0.084,0.096,0.116,0.077,0.071,0.086,0.067,0.063,0.075,0.102,0.096,0.105,0.133,0.125,0.071
"Buena",0.175,0.163,0.188,0.198,0.149,0.179,0.204,0.135,0.193,0.191,0.251,0.148,0.206,0.182,0.177,0.14,0.183,0.177,0.078,0.21
"Ni buena ni mala",0.414,0.397,0.432,0.429,0.379,0.422,0.471,0.386,0.425,0.429,0.4,0.419,0.43,0.422,0.396,0.494,0.398,0.438,0.366,0.376
"Mala",0.207,0.204,0.209,0.184,0.234,0.212,0.16,0.212,0.202,0.207,0.197,0.229,0.203,0.206,0.18,0.164,0.22,0.163,0.23,0.195
"Muy mala",0.117,0.132,0.102,0.116,0.148,0.103,0.069,0.151,0.103,0.102,0.066,0.137,0.098,0.115,0.145,0.106,0.094,0.089,0.201,0.148
