"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Colectivo",0.583,0.539,0.627,0.654,0.592,0.564,0.501,0.611,0.625,0.497,0.531,0.554,0.608,0.609,0.663,0.627,0.532,0.578,0.653,0.587
"Subte",0.077,0.081,0.072,0.064,0.083,0.082,0.073,0.071,0.064,0.101,0.219,0.058,0.072,0.069,0.06,0.04,0.059,0.06,0.043,0.075
"Tren",0.071,0.076,0.066,0.067,0.066,0.076,0.079,0.074,0.07,0.068,0.075,0.025,0.138,0.136,0.105,0.033,0.063,0.06,0.027,0.027
"Premetro",0.028,0.029,0.027,0.017,0.027,0.028,0.044,0.036,0.024,0.025,0.025,0.034,0.03,0.021,0.018,0.026,0.029,0.022,0.039,0.023
"Taxi",0.112,0.125,0.099,0.097,0.096,0.112,0.169,0.102,0.097,0.142,0.07,0.179,0.042,0.038,0.033,0.148,0.161,0.125,0.128,0.141
"Aplicaciones como Uber, Cabify, Didi o similares",0.129,0.15,0.109,0.101,0.136,0.138,0.134,0.106,0.12,0.167,0.08,0.15,0.11,0.127,0.121,0.126,0.156,0.155,0.11,0.147
