"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"WiFi gratuito en estaciones y vehículos",0.273,0.288,0.258,0.279,0.296,0.264,0.225,0.33,0.255,0.24,0.263,0.245,0.214,0.257,0.35,0.197,0.289,0.348,0.401,0.31
"Cargadores USB en los vehículos",0.086,0.081,0.09,0.109,0.078,0.073,0.095,0.073,0.098,0.082,0.08,0.088,0.072,0.065,0.053,0.181,0.091,0.079,0.101,0.04
"Pantallas de información en tiempo real en estaciones y vehículos",0.215,0.217,0.214,0.241,0.193,0.236,0.212,0.182,0.224,0.237,0.28,0.233,0.274,0.233,0.224,0.205,0.172,0.152,0.102,0.203
"Buenas instalaciones de espera y descanso en las estaciones",0.426,0.414,0.438,0.371,0.433,0.427,0.468,0.415,0.423,0.441,0.377,0.434,0.44,0.445,0.373,0.417,0.448,0.421,0.396,0.447
