"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.179,0.163,0.42,0.115
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.393,0.174,0.099,0.055
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.327,0.449,0.091,0.24
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.058,0.136,0.199,0.268
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.01,0.02,0.051,0.044
"P05","En blanco",0.005,0.007,0.044,0.015
"P05","No sabe",0.028,0.051,0.096,0.263
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.077,0.056,0.425,0.099
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.444,0.147,0.028,0.055
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.331,0.513,0.089,0.187
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.121,0.21,0.227,0.312
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.003,0.014,0.063,0.045
"P06","En blanco",0.012,0.01,0.055,0.022
"P06","No sabe",0.012,0.05,0.113,0.28
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.065,0.06,0.46,0.106
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.364,0.135,0.016,0.055
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.419,0.521,0.107,0.196
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.1,0.195,0.23,0.304
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.004,0.021,0.048,0.042
"P07","En blanco",0.021,0.008,0.05,0.041
"P07","No sabe",0.027,0.06,0.089,0.256
"P08","Los votaría",0.481,0.397,0.133,0.167
"P08","Puede que los vote",0.27,0.307,0.097,0.156
"P08","Nunca los votaría",0.193,0.216,0.717,0.178
"P08","No sabe",0.056,0.08,0.053,0.499
"P09","Los votaría",0.611,0.228,0.038,0.066
"P09","Puede que los vote",0.238,0.563,0.039,0.111
"P09","Nunca los votaría",0.13,0.13,0.888,0.19
"P09","No sabe",0.021,0.079,0.035,0.633
"P10","Los votaría",0.494,0.343,0.075,0.136
"P10","Puede que los vote",0.281,0.388,0.088,0.087
"P10","Nunca los votaría",0.16,0.179,0.794,0.158
"P10","No sabe",0.065,0.09,0.043,0.619
"P11","Los votaría",0.153,0.07,0.251,0.052
"P11","Puede que los vote",0.069,0.134,0.19,0.114
"P11","Nunca los votaría",0.739,0.767,0.507,0.424
"P11","No sabe",0.039,0.029,0.052,0.41
"P12","Los votaría",0.564,0.36,0.113,0.146
"P12","Puede que los vote",0.218,0.333,0.09,0.151
"P12","Nunca los votaría",0.174,0.266,0.782,0.15
"P12","No sabe",0.044,0.041,0.015,0.553
