"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.21,0.132,0.439,0.132
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.11,0.28,0.134,0.156
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.597,0.217,0.053,0.048
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.053,0.296,0.145,0.357
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.006,0.014,0.06,0.035
"P05","En blanco",0.008,0.011,0.051,0.015
"P05","No sabe",0.016,0.05,0.118,0.257
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.131,0.046,0.454,0.04
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.1,0.295,0.069,0.13
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.614,0.245,0.054,0.034
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.111,0.353,0.167,0.478
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.006,0.005,0.066,0.046
"P06","En blanco",0.007,0.019,0.059,0.02
"P06","No sabe",0.031,0.037,0.131,0.252
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.136,0.022,0.494,0.036
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.085,0.26,0.052,0.103
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.638,0.299,0.07,0.063
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.112,0.339,0.168,0.474
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.004,0.006,0.057,0.029
"P07","En blanco",0.004,0.031,0.059,0.023
"P07","No sabe",0.021,0.043,0.1,0.272
"P09","Los votaría",0.419,0.198,0.053,0.109
"P09","Puede que los vote",0.263,0.432,0.075,0.144
"P09","Nunca los votaría",0.264,0.305,0.844,0.221
"P09","No sabe",0.054,0.065,0.028,0.526
"P10","Los votaría",0.647,0.121,0.045,0.037
"P10","Puede que los vote",0.176,0.595,0.037,0.188
"P10","Nunca los votaría",0.143,0.137,0.896,0.18
"P10","No sabe",0.034,0.147,0.022,0.595
"P11","Los votaría",0.179,0.036,0.268,0.042
"P11","Puede que los vote",0.074,0.098,0.221,0.129
"P11","Nunca los votaría",0.733,0.813,0.454,0.508
"P11","No sabe",0.014,0.053,0.057,0.321
"P12","Los votaría",0.664,0.239,0.056,0.102
"P12","Puede que los vote",0.152,0.461,0.055,0.245
"P12","Nunca los votaría",0.161,0.247,0.871,0.229
"P12","No sabe",0.023,0.053,0.018,0.424
"P13","Los votaría",0.309,0.248,0.065,0.104
"P13","Puede que los vote",0.362,0.4,0.103,0.209
"P13","Nunca los votaría",0.287,0.296,0.809,0.329
"P13","No sabe",0.042,0.056,0.023,0.358
"P14","Los votaría",0.488,0.111,0.034,0.034
