"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.165,0.107,0.444,0.096
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.138,0.237,0.133,0.234
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.572,0.308,0.069,0.099
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.098,0.272,0.145,0.251
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.005,0.012,0.053,0.067
"P05","En blanco",0.001,0.006,0.051,0.038
"P05","No sabe",0.021,0.058,0.105,0.215
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.119,0.038,0.418,0.034
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.094,0.233,0.092,0.212
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.599,0.323,0.076,0.064
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.152,0.334,0.171,0.359
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.002,0.016,0.063,0.066
"P06","En blanco",0.003,0.013,0.062,0.043
"P06","No sabe",0.031,0.043,0.118,0.222
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.118,0.033,0.458,0.029
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.081,0.206,0.065,0.184
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.655,0.372,0.085,0.071
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.126,0.308,0.177,0.337
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.002,0.018,0.052,0.06
"P07","En blanco",0.001,0.022,0.053,0.044
"P07","No sabe",0.017,0.041,0.11,0.275
"P08","Los votaría",0.648,0.216,0.102,0.141
"P08","Puede que los vote",0.157,0.533,0.078,0.157
"P08","Nunca los votaría",0.166,0.149,0.773,0.199
"P08","No sabe",0.029,0.102,0.047,0.503
"P09","Los votaría",0.3,0.25,0.093,0.167
"P09","Puede que los vote",0.333,0.374,0.104,0.144
"P09","Nunca los votaría",0.319,0.295,0.771,0.203
"P09","No sabe",0.048,0.081,0.032,0.486
"P10","Los votaría",0.588,0.159,0.065,0.094
