"var","categoria","Ricardo López Murphy","Rodolfo Suárez","Rodrigo de Loredo","Maximiliano Abad","Luis Naidenoff","Martín Tetaz","José Luis Espert","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.16,0.243,0.264,0.291,0.194,0.152,0.139,0.475
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.133,0.174,0.147,0.219,0.246,0.254,0.128,0.155
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.474,0.397,0.282,0.149,0.401,0.396,0.35,0.031
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.178,0.103,0.183,0.228,0.074,0.093,0.313,0.098
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.013,0.021,0.029,0.075,0.005,0.008,0.025,0.056
"P05","En blanco",0.009,0.006,0.021,0.024,0.06,0.029,0.015,0.047
"P05","No sabe",0.033,0.056,0.074,0.014,0.02,0.068,0.03,0.138
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.045,0.043,0.267,0.21,0.051,0.113,0.093,0.488
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.126,0.176,0.093,0.188,0.308,0.253,0.121,0.09
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.497,0.448,0.264,0.113,0.468,0.413,0.374,0.034
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.278,0.243,0.217,0.296,0.08,0.108,0.351,0.114
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.014,0.032,0.026,0.075,0.005,0.011,0.021,0.069
"P06","En blanco",0.008,0,0.031,0.024,0.063,0.034,0.019,0.061
"P06","No sabe",0.032,0.058,0.102,0.094,0.025,0.068,0.021,0.144
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.043,0.041,0.262,0.19,0.075,0.119,0.091,0.537
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.087,0.179,0.061,0.173,0.22,0.222,0.116,0.076
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.605,0.469,0.295,0.125,0.535,0.455,0.37,0.031
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.219,0.213,0.226,0.319,0.08,0.129,0.343,0.117
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.013,0.032,0.03,0.075,0.007,0.005,0.021,0.052
"P07","En blanco",0.005,0.005,0.03,0.009,0.05,0.026,0.03,0.053
"P07","No sabe",0.028,0.061,0.096,0.109,0.033,0.044,0.029,0.134
"P08","Los votaría",0.438,0.27,0.368,0.167,0.389,0.373,0.389,0.073
"P08","Puede que los vote",0.306,0.524,0.131,0.135,0.274,0.302,0.235,0.064
"P08","Nunca los votaría",0.164,0.149,0.437,0.361,0.255,0.278,0.311,0.806
"P08","No sabe",0.092,0.057,0.064,0.337,0.082,0.047,0.065,0.057
"P09","Los votaría",0.275,0.232,0.156,0.266,0.416,0.301,0.205,0.075
"P09","Puede que los vote",0.322,0.452,0.191,0.107,0.305,0.355,0.335,0.078
"P09","Nunca los votaría",0.311,0.255,0.608,0.354,0.232,0.304,0.402,0.795
"P09","No sabe",0.092,0.061,0.045,0.273,0.047,0.04,0.058,0.052
"P10","Los votaría",0.421,0.275,0.228,0.176,0.504,0.318,0.322,0.033
"P10","Puede que los vote",0.331,0.467,0.166,0.104,0.306,0.347,0.286,0.058
"P10","Nunca los votaría",0.145,0.136,0.548,0.407,0.166,0.274,0.275,0.854
"P10","No sabe",0.103,0.122,0.058,0.313,0.024,0.061,0.117,0.055
"P11","Los votaría",0.11,0.023,0.148,0.096,0.182,0.098,0.066,0.288
"P11","Puede que los vote",0.071,0.221,0.136,0.095,0.037,0.095,0.073,0.249
"P11","Nunca los votaría",0.798,0.68,0.691,0.508,0.761,0.782,0.809,0.377
"P11","No sabe",0.021,0.076,0.025,0.301,0.02,0.025,0.052,0.086
"P12","Los votaría",0.61,0.298,0.243,0.076,0.509,0.334,0.302,0.039
"P12","Puede que los vote",0.22,0.359,0.183,0.192,0.185,0.259,0.324,0.077
"P12","Nunca los votaría",0.142,0.255,0.542,0.454,0.306,0.377,0.322,0.828
"P12","No sabe",0.028,0.088,0.032,0.278,0,0.03,0.052,0.056
"P13","Los votaría",0.268,0.239,0.134,0.188,0.285,0.302,0.256,0.058
"P13","Puede que los vote",0.384,0.53,0.194,0.132,0.409,0.396,0.327,0.102
"P13","Nunca los votaría",0.306,0.138,0.624,0.4,0.246,0.264,0.379,0.795
"P13","No sabe",0.042,0.093,0.048,0.28,0.06,0.038,0.038,0.045
"P14","Los votaría",0.34,0.301,0.167,0.096,0.342,0.238,0.273,0.024
"P14","Puede que los vote",0.386,0.411,0.204,0.125,0.323,0.347,0.323,0.061
"P14","Nunca los votaría",0.19,0.146,0.581,0.448,0.264,0.301,0.296,0.866
"P14","No sabe",0.084,0.142,0.048,0.331,0.071,0.114,0.108,0.049
"P15","Los votaría",0.086,0.125,0.135,0.072,0.071,0.088,0.09,0.297
