"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.827,0.486,0.109,0.215
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.076,0.194,0.18,0.124
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.048,0.054,0.34,0.076
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.009,0.051,0.235,0.184
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.018,0.063,0.031,0.06
"P05","En blanco",0.005,0.019,0.038,0.035
"P05","No sabe",0.017,0.133,0.067,0.306
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.818,0.493,0.052,0.125
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.019,0.12,0.16,0.069
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.09,0.081,0.343,0.044
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.042,0.068,0.294,0.211
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.019,0.074,0.037,0.079
"P06","En blanco",0.006,0.021,0.042,0.088
"P06","No sabe",0.006,0.143,0.072,0.384
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.812,0.571,0.061,0.179
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.021,0.105,0.13,0.07
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.093,0.088,0.377,0.062
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.049,0.065,0.284,0.208
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.008,0.062,0.028,0.081
"P07","En blanco",0.003,0.015,0.045,0.065
"P07","No sabe",0.014,0.094,0.075,0.335
"P08","Los votaría",0.166,0.101,0.334,0.126
"P08","Puede que los vote",0.041,0.113,0.25,0.069
"P08","Nunca los votaría",0.772,0.748,0.333,0.415
"P08","No sabe",0.021,0.038,0.083,0.39
"P09","Los votaría",0.098,0.115,0.229,0.097
"P09","Puede que los vote",0.075,0.147,0.26,0.103
"P09","Nunca los votaría",0.813,0.713,0.438,0.389
"P09","No sabe",0.014,0.025,0.073,0.411
"P10","Los votaría",0.142,0.075,0.282,0.075
"P10","Puede que los vote",0.032,0.139,0.262,0.084
"P10","Nunca los votaría",0.82,0.764,0.36,0.41
"P10","No sabe",0.006,0.022,0.096,0.431
"P11","Los votaría",0.675,0.145,0.054,0.071
"P11","Puede que los vote",0.12,0.535,0.066,0.155
"P11","Nunca los votaría",0.18,0.233,0.859,0.228
"P11","No sabe",0.025,0.087,0.021,0.546
"P12","Los votaría",0.19,0.081,0.325,0.063
"P12","Puede que los vote",0.044,0.146,0.231,0.062
"P12","Nunca los votaría",0.755,0.731,0.409,0.434
"P12","No sabe",0.011,0.042,0.035,0.441
"P13","Los votaría",0.116,0.113,0.201,0.064
"P13","Puede que los vote",0.088,0.175,0.308,0.09
"P13","Nunca los votaría",0.777,0.69,0.449,0.414
"P13","No sabe",0.019,0.022,0.042,0.432
"P14","Los votaría",0.145,0.026,0.217,0.042
"P14","Puede que los vote",0.029,0.193,0.279,0.05
"P14","Nunca los votaría",0.822,0.764,0.411,0.418
"P14","No sabe",0.004,0.017,0.093,0.49
"P16","Los votaría",0.199,0.02,0.231,0.018
"P16","Puede que los vote",0.033,0.247,0.25,0.085
"P16","Nunca los votaría",0.743,0.701,0.453,0.395
"P16","No sabe",0.025,0.032,0.066,0.502
"P17","Los votaría",0.107,0.041,0.149,0.048
"P17","Puede que los vote",0.051,0.208,0.287,0.103
"P17","Nunca los votaría",0.814,0.696,0.484,0.481
"P17","No sabe",0.028,0.055,0.08,0.368
"P18","Los votaría",0.131,0.077,0.3,0.11
"P18","Puede que los vote",0.028,0.127,0.251,0.094
"P18","Nunca los votaría",0.818,0.785,0.391,0.464
"P18","No sabe",0.023,0.011,0.058,0.332
"P19","Los votaría",0.785,0.325,0.061,0.174
"P19","Puede que los vote",0.049,0.437,0.051,0.229
"P19","Nunca los votaría",0.142,0.196,0.874,0.179
"P19","No sabe",0.024,0.042,0.014,0.418
"P20","Los votaría",0.199,0.101,0.323,0.051
"P20","Puede que los vote",0.04,0.144,0.233,0.128
"P20","Nunca los votaría",0.76,0.727,0.409,0.444
"P20","No sabe",0.001,0.028,0.035,0.377
"P21","Ricardo López Murphy",0.096,0.095,0.255,0.081
"P21","Rodolfo Suárez",0.033,0.04,0.049,0.066
"P21","Rodrigo de Loredo",0.112,0.1,0.168,0.091
"P21","Maximiliano Abad",0.013,0.03,0.024,0.145
"P21","Luis Naidenoff",0.011,0.019,0.033,0.014
"P21","Martín Tetaz",0.035,0.034,0.091,0.025
"P21","José Luis Espert",0.063,0.062,0.161,0.056
"P21","No sabe",0.637,0.62,0.219,0.522
"P22","Gustavo Valdés",0.03,0.035,0.057,0.003
"P22","Gerardo Morales",0.058,0.09,0.148,0.131
"P22","María Eugenia Vidal",0.108,0.071,0.203,0.082
"P22","Cristian Ritondo",0.018,0.011,0.042,0.074
"P22","Emilio Monzó",0.023,0.016,0.04,0.045
"P22","Martín Lousteau",0.071,0.106,0.129,0.057
"P22","Juan Schiaretti",0.021,0.027,0.052,0.03
"P22","Soledad Acuña",0.269,0.256,0.113,0.214
"P22","No sabe",0.402,0.388,0.216,0.364
"P23","Wado De Pedro",0.457,0.388,0.077,0.299
"P23","Victoria Tolosa Paz",0.168,0.174,0.069,0.11
"P23","Sergio Uñac",0.05,0.054,0.068,0.029
"P23","Fernanda Raverta",0.034,0.033,0.016,0.082
