"var","categoria","Wado De Pedro","Victoria Tolosa Paz","Sergio Uñac","Fernanda Raverta","Anabel Fernández Sagasti","Gustavo Bordet","Juan Manzur","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.635,0.407,0.318,0.427,0.507,0.301,0.468,0.112
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.113,0.181,0.153,0.106,0.1,0.298,0.181,0.173
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.044,0.162,0.195,0.212,0.11,0.109,0.19,0.373
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.038,0.124,0.205,0.119,0.115,0.155,0.089,0.21
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.032,0.05,0.03,0.087,0.037,0.048,0.016,0.026
"P05","En blanco",0.027,0.012,0.017,0.01,0.075,0,0.014,0.027
"P05","No sabe",0.111,0.064,0.082,0.039,0.056,0.089,0.042,0.079
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.67,0.397,0.221,0.347,0.409,0.176,0.422,0.043
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.029,0.112,0.112,0.113,0.075,0.291,0.126,0.165
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.036,0.153,0.255,0.212,0.125,0.142,0.199,0.39
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.068,0.188,0.267,0.149,0.117,0.199,0.151,0.259
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.053,0.051,0.031,0.101,0.155,0.069,0.012,0.022
"P06","En blanco",0.047,0.005,0.018,0.016,0.052,0.032,0.017,0.037
"P06","No sabe",0.097,0.094,0.096,0.062,0.067,0.091,0.073,0.084
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.755,0.37,0.239,0.374,0.419,0.135,0.456,0.044
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.02,0.107,0.102,0.098,0.08,0.196,0.075,0.132
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.039,0.206,0.268,0.25,0.134,0.174,0.205,0.432
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.064,0.157,0.254,0.14,0.132,0.199,0.144,0.251
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.03,0.049,0.029,0.104,0.158,0.069,0.012,0.02
"P07","En blanco",0.034,0.012,0.018,0,0.03,0.087,0.01,0.034
"P07","No sabe",0.058,0.099,0.09,0.034,0.047,0.14,0.098,0.087
"P08","Los votaría",0.091,0.196,0.246,0.21,0.141,0.21,0.253,0.371
"P08","Puede que los vote",0.06,0.151,0.203,0.133,0.184,0.274,0.137,0.25
