"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Los votaría",0.224,0.201,0.246,0.182,0.138,0.287,0.356,0.255,0.214,0.212,0.223,0.252,0.266,0.211,0.065,0.416,0.26
"Puede que los vote",0.183,0.177,0.189,0.137,0.181,0.187,0.221,0.183,0.164,0.206,0.182,0.214,0.159,0.179,0.053,0.306,0.272
"Nunca los votaría",0.531,0.564,0.499,0.608,0.614,0.485,0.352,0.5,0.548,0.535,0.532,0.46,0.463,0.561,0.85,0.211,0.375
"No sabe",0.062,0.058,0.066,0.073,0.067,0.041,0.071,0.062,0.074,0.047,0.063,0.074,0.112,0.049,0.032,0.067,0.093
