"var","categoria","Gustavo Valdés","Gerardo Morales","María Eugenia Vidal","Cristian Ritondo","Emilio Monzó","Martín Lousteau","Juan Schiaretti","Soledad Acuña","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.301,0.155,0.195,0.228,0.26,0.159,0.217,0.439,0.414
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.181,0.346,0.172,0.073,0.143,0.245,0.094,0.148,0.067
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.369,0.353,0.369,0.45,0.39,0.304,0.331,0.08,0.144
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.095,0.101,0.194,0.164,0.119,0.135,0.232,0.153,0.161
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.016,0.006,0.004,0.061,0.012,0.025,0.05,0.042,0.053
"P05","En blanco",0.018,0.005,0.012,0,0.046,0.026,0.019,0.037,0.043
"P05","No sabe",0.02,0.034,0.054,0.024,0.03,0.106,0.057,0.101,0.118
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.055,0.103,0.109,0.133,0.124,0.143,0.171,0.463,0.398
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.213,0.275,0.182,0.075,0.128,0.295,0.097,0.036,0.013
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.392,0.39,0.38,0.503,0.519,0.273,0.292,0.08,0.15
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.27,0.149,0.258,0.198,0.131,0.157,0.316,0.177,0.192
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.026,0.013,0.01,0.055,0.016,0.022,0.036,0.064,0.058
"P06","En blanco",0.003,0.015,0.02,0.006,0.05,0.023,0.006,0.063,0.053
"P06","No sabe",0.041,0.055,0.041,0.03,0.032,0.087,0.082,0.117,0.136
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.05,0.092,0.108,0.109,0.143,0.146,0.187,0.526,0.427
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.197,0.211,0.181,0.077,0.102,0.181,0.092,0.031,0.011
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.48,0.424,0.404,0.521,0.555,0.345,0.333,0.078,0.175
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.214,0.14,0.256,0.218,0.111,0.156,0.248,0.179,0.183
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.042,0.02,0.005,0.062,0.012,0.016,0.036,0.039,0.052
"P07","En blanco",0.003,0.012,0.013,0,0.042,0.04,0.026,0.055,0.042
"P07","No sabe",0.014,0.101,0.033,0.013,0.035,0.116,0.078,0.092,0.11
"P08","Los votaría",0.35,0.347,0.398,0.471,0.375,0.304,0.295,0.115,0.184
"P08","Puede que los vote",0.358,0.326,0.262,0.167,0.239,0.242,0.219,0.054,0.111
"P08","Nunca los votaría",0.191,0.241,0.282,0.18,0.323,0.367,0.402,0.788,0.638
"P08","No sabe",0.101,0.086,0.058,0.182,0.063,0.087,0.084,0.043,0.067
"P09","Los votaría",0.307,0.465,0.232,0.145,0.279,0.262,0.184,0.064,0.035
"P09","Puede que los vote",0.408,0.338,0.35,0.344,0.374,0.367,0.19,0.058,0.069
"P09","Nunca los votaría",0.245,0.136,0.367,0.378,0.3,0.281,0.51,0.844,0.824
"P09","No sabe",0.04,0.061,0.051,0.133,0.047,0.09,0.116,0.034,0.072
"P10","Los votaría",0.4,0.316,0.344,0.438,0.38,0.257,0.22,0.08,0.103
"P10","Puede que los vote",0.348,0.346,0.283,0.196,0.281,0.221,0.31,0.057,0.125
"P10","Nunca los votaría",0.215,0.208,0.311,0.179,0.293,0.378,0.355,0.836,0.7
"P10","No sabe",0.037,0.13,0.062,0.187,0.046,0.144,0.115,0.027,0.072
"P11","Los votaría",0.165,0.095,0.11,0.161,0.178,0.089,0.131,0.263,0.227
"P11","Puede que los vote",0.114,0.106,0.084,0.049,0.105,0.136,0.102,0.223,0.227
"P11","Nunca los votaría",0.668,0.719,0.784,0.681,0.705,0.736,0.674,0.445,0.478
"P11","No sabe",0.053,0.08,0.022,0.109,0.012,0.039,0.093,0.069,0.068
"P12","Los votaría",0.438,0.376,0.374,0.449,0.502,0.283,0.196,0.087,0.163
"P12","Puede que los vote",0.253,0.281,0.254,0.14,0.155,0.214,0.259,0.089,0.131
"P12","Nunca los votaría",0.253,0.276,0.349,0.258,0.328,0.424,0.481,0.813,0.653
"P12","No sabe",0.056,0.067,0.023,0.153,0.015,0.079,0.064,0.011,0.053
"P13","Los votaría",0.322,0.296,0.252,0.173,0.297,0.318,0.151,0.051,0.038
"P13","Puede que los vote",0.469,0.479,0.356,0.344,0.32,0.413,0.27,0.058,0.082
"P13","Nunca los votaría",0.185,0.147,0.351,0.353,0.343,0.228,0.494,0.875,0.817
"P13","No sabe",0.024,0.078,0.041,0.13,0.04,0.041,0.085,0.016,0.063
"P14","Los votaría",0.287,0.282,0.285,0.35,0.26,0.163,0.235,0.061,0.083
"P14","Puede que los vote",0.442,0.358,0.313,0.215,0.31,0.305,0.21,0.059,0.129
"P14","Nunca los votaría",0.221,0.247,0.336,0.239,0.335,0.401,0.446,0.863,0.714
"P14","No sabe",0.05,0.113,0.066,0.196,0.095,0.131,0.109,0.017,0.074
"P15","Los votaría",0.108,0.08,0.114,0.087,0.117,0.106,0.085,0.271,0.239
