"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.132,0.146,0.45,0.1
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.12,0.24,0.137,0.168
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.686,0.358,0.036,0.215
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.045,0.215,0.168,0.265
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.009,0.007,0.052,0.044
"P05","En blanco",0.001,0.005,0.049,0.006
"P05","No sabe",0.007,0.029,0.108,0.202
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.038,0.029,0.46,0.036
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.129,0.221,0.068,0.193
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.735,0.401,0.031,0.178
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.091,0.292,0.195,0.346
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.003,0.01,0.066,0.034
"P06","En blanco",0.002,0.009,0.058,0.022
"P06","No sabe",0.002,0.038,0.122,0.191
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.031,0.02,0.499,0.028
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.125,0.185,0.056,0.135
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.754,0.454,0.046,0.224
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.079,0.281,0.198,0.312
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.001,0.012,0.05,0.036
"P07","En blanco",0.002,0.02,0.052,0.017
"P07","No sabe",0.008,0.028,0.099,0.248
"P08","Los votaría",0.759,0.323,0.086,0.182
"P08","Puede que los vote",0.123,0.484,0.067,0.27
"P08","Nunca los votaría",0.101,0.123,0.806,0.059
"P08","No sabe",0.017,0.07,0.041,0.489
"P09","Los votaría",0.396,0.269,0.067,0.224
"P09","Puede que los vote",0.356,0.433,0.07,0.151
"P09","Nunca los votaría",0.19,0.235,0.838,0.181
"P09","No sabe",0.058,0.063,0.025,0.444
"P10","Los votaría",0.777,0.25,0.036,0.138
"P10","Puede que los vote",0.162,0.588,0.052,0.175
"P10","Nunca los votaría",0.043,0.087,0.886,0.062
"P10","No sabe",0.018,0.075,0.026,0.625
"P11","Los votaría",0.098,0.075,0.277,0.018
"P11","Puede que los vote",0.04,0.096,0.22,0.061
"P11","Nunca los votaría",0.846,0.8,0.446,0.627
"P11","No sabe",0.016,0.029,0.057,0.294
"P12","Los votaría",0.761,0.35,0.06,0.185
"P12","Puede que los vote",0.106,0.453,0.073,0.248
"P12","Nunca los votaría",0.125,0.164,0.853,0.088
"P12","No sabe",0.008,0.033,0.014,0.479
"P13","Los votaría",0.425,0.247,0.049,0.173
"P13","Puede que los vote",0.384,0.517,0.078,0.214
