"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.773,0.349,0.111,0.16
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.083,0.168,0.18,0.231
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.059,0.062,0.353,0.113
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.012,0.055,0.242,0.157
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.017,0.101,0.024,0.078
"P05","En blanco",0.009,0.053,0.034,0.027
"P05","No sabe",0.047,0.212,0.056,0.234
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.771,0.32,0.061,0.043
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.021,0.105,0.161,0.172
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.093,0.059,0.36,0.115
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.022,0.098,0.296,0.227
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.022,0.125,0.026,0.08
"P06","En blanco",0.028,0.066,0.035,0.048
"P06","No sabe",0.043,0.227,0.061,0.315
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.824,0.387,0.059,0.046
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.019,0.094,0.129,0.159
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.103,0.07,0.396,0.121
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.016,0.09,0.285,0.232
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.004,0.106,0.026,0.087
"P07","En blanco",0.02,0.036,0.041,0.021
"P07","No sabe",0.014,0.217,0.064,0.334
"P08","Los votaría",0.117,0.135,0.352,0.112
"P08","Puede que los vote",0.045,0.089,0.255,0.193
"P08","Nunca los votaría",0.825,0.725,0.313,0.275
"P08","No sabe",0.013,0.051,0.08,0.42
"P09","Los votaría",0.064,0.102,0.243,0.088
"P09","Puede que los vote",0.081,0.159,0.265,0.224
"P09","Nunca los votaría",0.834,0.702,0.424,0.239
"P09","No sabe",0.021,0.037,0.068,0.449
"P10","Los votaría",0.089,0.079,0.3,0.103
"P10","Puede que los vote",0.041,0.124,0.27,0.163
"P10","Nunca los votaría",0.854,0.762,0.338,0.261
"P10","No sabe",0.016,0.035,0.092,0.473
"P11","Los votaría",0.532,0.098,0.061,0.053
"P11","Puede que los vote",0.231,0.534,0.053,0.048
"P11","Nunca los votaría",0.189,0.243,0.866,0.337
"P11","No sabe",0.048,0.125,0.02,0.562
"P12","Los votaría",0.122,0.057,0.357,0.066
"P12","Puede que los vote",0.033,0.182,0.236,0.122
"P12","Nunca los votaría",0.828,0.712,0.369,0.308
"P12","No sabe",0.017,0.049,0.038,0.504
"P13","Los votaría",0.069,0.131,0.211,0.118
"P13","Puede que los vote",0.101,0.152,0.316,0.195
"P13","Nunca los votaría",0.805,0.67,0.432,0.243
"P13","No sabe",0.025,0.047,0.041,0.444
"P14","Los votaría",0.08,0.053,0.235,0.089
"P14","Puede que los vote",0.052,0.143,0.296,0.181
"P14","Nunca los votaría",0.856,0.758,0.379,0.28
"P14","No sabe",0.012,0.046,0.09,0.45
"P15","Los votaría",0.585,0.071,0.041,0.092
"P15","Puede que los vote",0.211,0.55,0.05,0.14
"P15","Nunca los votaría",0.158,0.26,0.89,0.189
"P15","No sabe",0.046,0.119,0.019,0.579
"P16","Los votaría",0.124,0.032,0.242,0.048
"P16","Puede que los vote",0.053,0.207,0.268,0.132
"P16","Nunca los votaría",0.804,0.73,0.424,0.174
"P16","No sabe",0.019,0.031,0.066,0.646
"P17","Los votaría",0.091,0.04,0.154,0.031
"P17","Puede que los vote",0.068,0.217,0.291,0.145
"P17","Nunca los votaría",0.82,0.706,0.476,0.242
"P17","No sabe",0.021,0.037,0.079,0.582
"P18","Los votaría",0.139,0.046,0.308,0.076
"P18","Puede que los vote",0.012,0.217,0.251,0.132
"P18","Nunca los votaría",0.838,0.724,0.39,0.247
"P18","No sabe",0.011,0.013,0.051,0.545
"P20","Los votaría",0.232,0.056,0.308,0.11
"P20","Puede que los vote",0.026,0.212,0.233,0.181
"P20","Nunca los votaría",0.735,0.676,0.429,0.195
"P20","No sabe",0.007,0.056,0.03,0.514
"P21","Ricardo López Murphy",0.095,0.064,0.265,0.074
"P21","Rodolfo Suárez",0.014,0.086,0.047,0.078
"P21","Rodrigo de Loredo",0.094,0.076,0.185,0.022
"P21","Maximiliano Abad",0.012,0.034,0.024,0.211
"P21","Luis Naidenoff",0.012,0.011,0.034,0.025
"P21","Martín Tetaz",0.036,0.043,0.091,0.015
"P21","José Luis Espert",0.059,0.083,0.157,0.101
"P21","No sabe",0.678,0.603,0.197,0.474
"P22","Gustavo Valdés",0.033,0.019,0.056,0.054
"P22","Gerardo Morales",0.056,0.097,0.156,0.086
"P22","María Eugenia Vidal",0.065,0.081,0.214,0.128
"P22","Cristian Ritondo",0.034,0.011,0.037,0.086
"P22","Emilio Monzó",0.02,0.016,0.044,0.014
"P22","Martín Lousteau",0.047,0.128,0.134,0.095
"P22","Juan Schiaretti",0.035,0.04,0.042,0.071
"P22","Soledad Acuña",0.3,0.241,0.104,0.13
"P22","No sabe",0.41,0.367,0.213,0.336
"P23","Wado De Pedro",0.565,0.325,0.051,0
"P23","Victoria Tolosa Paz",0.125,0.19,0.08,0.095
"P23","Sergio Uñac",0.053,0.056,0.068,0.012
"P23","Fernanda Raverta",0.034,0.02,0.017,0.129
"P23","Anabel Fernández Sagasti",0.039,0.044,0.019,0.027
"P23","Gustavo Bordet",0.012,0.025,0.023,0.044
"P23","Juan Manzur",0.071,0.065,0.032,0.057
"P23","No sabe",0.101,0.275,0.71,0.636
"P24","Si",0.536,0.514,0.515,0.439
"P24","No",0.464,0.486,0.485,0.561
