"fecha","t1 A Tolosa Paz por el Frente de todos","t1 A Santilli y Manes por Juntos","t1 A Del Caño por el Frente de Izquierda","t1 A Espert por Avanza libertad","t1 A Randazo por “Vamos con vos""","t1 A Hotton por “+Valores”","t1 Votaría en blanco o anularía","s1 A Tolosa Paz por el Frente de todos","s1 A Santilli y Manes por Juntos","s1 A Del Caño por el Frente de Izquierda","s1 A Espert por Avanza libertad","s1 A Randazo por “Vamos con vos""","s1 A Hotton por “+Valores”","s1 Votaría en blanco o anularía","s2 A Tolosa Paz por el Frente de todos","s2 A Santilli y Manes por Juntos","s2 A Del Caño por el Frente de Izquierda","s2 A Espert por Avanza libertad","s2 A Randazo por “Vamos con vos""","s2 A Hotton por “+Valores”","s2 Votaría en blanco o anularía","e1 A Tolosa Paz por el Frente de todos","e1 A Santilli y Manes por Juntos","e1 A Del Caño por el Frente de Izquierda","e1 A Espert por Avanza libertad","e1 A Randazo por “Vamos con vos""","e1 A Hotton por “+Valores”","e1 Votaría en blanco o anularía","e2 A Tolosa Paz por el Frente de todos","e2 A Santilli y Manes por Juntos","e2 A Del Caño por el Frente de Izquierda","e2 A Espert por Avanza libertad","e2 A Randazo por “Vamos con vos""","e2 A Hotton por “+Valores”","e2 Votaría en blanco o anularía","e3 A Tolosa Paz por el Frente de todos","e3 A Santilli y Manes por Juntos","e3 A Del Caño por el Frente de Izquierda","e3 A Espert por Avanza libertad","e3 A Randazo por “Vamos con vos""","e3 A Hotton por “+Valores”","e3 Votaría en blanco o anularía","e4 A Tolosa Paz por el Frente de todos","e4 A Santilli y Manes por Juntos","e4 A Del Caño por el Frente de Izquierda","e4 A Espert por Avanza libertad","e4 A Randazo por “Vamos con vos""","e4 A Hotton por “+Valores”","e4 Votaría en blanco o anularía","ed1 A Tolosa Paz por el Frente de todos","ed1 A Santilli y Manes por Juntos","ed1 A Del Caño por el Frente de Izquierda","ed1 A Espert por Avanza libertad","ed1 A Randazo por “Vamos con vos""","ed1 A Hotton por “+Valores”","ed1 Votaría en blanco o anularía","ed2 A Tolosa Paz por el Frente de todos","ed2 A Santilli y Manes por Juntos","ed2 A Del Caño por el Frente de Izquierda","ed2 A Espert por Avanza libertad","ed2 A Randazo por “Vamos con vos""","ed2 A Hotton por “+Valores”","ed2 Votaría en blanco o anularía","ed3 A Tolosa Paz por el Frente de todos","ed3 A Santilli y Manes por Juntos","ed3 A Del Caño por el Frente de Izquierda","ed3 A Espert por Avanza libertad","ed3 A Randazo por “Vamos con vos""","ed3 A Hotton por “+Valores”","ed3 Votaría en blanco o anularía","v1 A Tolosa Paz por el Frente de todos","v1 A Santilli y Manes por Juntos","v1 A Del Caño por el Frente de Izquierda","v1 A Espert por Avanza libertad","v1 A Randazo por “Vamos con vos""","v1 A Hotton por “+Valores”","v1 Votaría en blanco o anularía","v2 A Tolosa Paz por el Frente de todos","v2 A Santilli y Manes por Juntos","v2 A Del Caño por el Frente de Izquierda","v2 A Espert por Avanza libertad","v2 A Randazo por “Vamos con vos""","v2 A Hotton por “+Valores”","v2 Votaría en blanco o anularía","v3 A Tolosa Paz por el Frente de todos","v3 A Santilli y Manes por Juntos","v3 A Del Caño por el Frente de Izquierda","v3 A Espert por Avanza libertad","v3 A Randazo por “Vamos con vos""","v3 A Hotton por “+Valores”","v3 Votaría en blanco o anularía","p1 A Tolosa Paz por el Frente de todos","p1 A Santilli y Manes por Juntos","p1 A Del Caño por el Frente de Izquierda","p1 A Espert por Avanza libertad","p1 A Randazo por “Vamos con vos""","p1 A Hotton por “+Valores”","p1 Votaría en blanco o anularía","p2 A Tolosa Paz por el Frente de todos","p2 A Santilli y Manes por Juntos","p2 A Del Caño por el Frente de Izquierda","p2 A Espert por Avanza libertad","p2 A Randazo por “Vamos con vos""","p2 A Hotton por “+Valores”","p2 Votaría en blanco o anularía","p3 A Tolosa Paz por el Frente de todos","p3 A Santilli y Manes por Juntos","p3 A Del Caño por el Frente de Izquierda","p3 A Espert por Avanza libertad","p3 A Randazo por “Vamos con vos""","p3 A Hotton por “+Valores”","p3 Votaría en blanco o anularía","p4 A Tolosa Paz por el Frente de todos","p4 A Santilli y Manes por Juntos","p4 A Del Caño por el Frente de Izquierda","p4 A Espert por Avanza libertad","p4 A Randazo por “Vamos con vos""","p4 A Hotton por “+Valores”","p4 Votaría en blanco o anularía","p5 A Tolosa Paz por el Frente de todos","p5 A Santilli y Manes por Juntos","p5 A Del Caño por el Frente de Izquierda","p5 A Espert por Avanza libertad","p5 A Randazo por “Vamos con vos""","p5 A Hotton por “+Valores”","p5 Votaría en blanco o anularía","p6 A Tolosa Paz por el Frente de todos","p6 A Santilli y Manes por Juntos","p6 A Del Caño por el Frente de Izquierda","p6 A Espert por Avanza libertad","p6 A Randazo por “Vamos con vos""","p6 A Hotton por “+Valores”","p6 Votaría en blanco o anularía","p7 A Tolosa Paz por el Frente de todos","p7 A Santilli y Manes por Juntos","p7 A Del Caño por el Frente de Izquierda","p7 A Espert por Avanza libertad","p7 A Randazo por “Vamos con vos""","p7 A Hotton por “+Valores”","p7 Votaría en blanco o anularía"
2021-09-22,0.345,0.386,0.051,0.061,0.025,NA,0.132,0.335,0.362,0.072,0.073,0.028,NA,0.13,0.354,0.408,0.031,0.049,0.023,NA,0.135,0.332,0.313,0.092,0.1,0.014,NA,0.149,0.376,0.333,0.042,0.049,0.035,NA,0.165,0.359,0.446,0.033,0.035,0.029,NA,0.098,0.271,0.566,0.027,0.054,0.014,NA,0.068,0.32,0.407,0.053,0.041,0.021,NA,0.158,0.393,0.316,0.048,0.07,0.031,NA,0.142,0.291,0.488,0.053,0.074,0.02,NA,0.074,0.596,0.169,0.05,0.027,0.026,NA,0.132,0.047,0.821,0.02,0.061,0.007,NA,0.044,0.113,0.446,0.055,0.129,0.123,NA,0.134,0.097,0.805,0.006,0.026,0.012,NA,0.054,0.795,0.121,0.019,0.007,0.004,NA,0.054,0.178,0.095,0.419,0.168,0.026,NA,0.114,0.057,0.184,0.113,0.595,0,NA,0.051,0.097,0.131,0.089,0.104,0.208,NA,0.371,0.181,0.223,0.019,0,0.041,NA,0.536,0.218,0.189,0.075,0.045,0.02,NA,0.453
2021-09-23,0.338,0.404,0.058,0.06,0.025,NA,0.115,0.317,0.42,0.077,0.072,0.03,NA,0.084,0.357,0.389,0.041,0.048,0.021,NA,0.144,0.314,0.361,0.085,0.099,0,NA,0.141,0.37,0.362,0.055,0.05,0.042,NA,0.121,0.354,0.461,0.032,0.022,0.037,NA,0.094,0.281,0.509,0.055,0.061,0.015,NA,0.079,0.383,0.396,0.035,0.04,0.029,NA,0.117,0.33,0.362,0.073,0.074,0.028,NA,0.133,0.28,0.496,0.069,0.063,0.014,NA,0.078,0.612,0.179,0.048,0.02,0.029,NA,0.112,0.06,0.811,0.032,0.063,0.006,NA,0.028,0.012,0.635,0.057,0.062,0.159,NA,0.075,0.109,0.82,0.011,0.012,0.016,NA,0.032,0.779,0.13,0.019,0.012,0.013,NA,0.047,0.141,0.074,0.586,0.146,0.015,NA,0.038,0.07,0.227,0.014,0.615,0.011,NA,0.063,0.102,0.178,0.057,0.116,0.161,NA,0.386,0.142,0.265,0.076,0.017,0.044,NA,0.456,0.165,0.213,0.055,0.051,0.02,NA,0.496
2021-09-24,0.351,0.408,0.06,0.06,0.026,NA,0.095,0.309,0.424,0.076,0.082,0.031,NA,0.078,0.39,0.392,0.045,0.04,0.021,NA,0.112,0.353,0.33,0.089,0.096,0.012,NA,0.12,0.369,0.385,0.052,0.05,0.034,NA,0.11,0.332,0.481,0.051,0.045,0.03,NA,0.061,0.334,0.504,0.04,0.038,0.023,NA,0.061,0.415,0.386,0.047,0.035,0.03,NA,0.087,0.338,0.375,0.066,0.078,0.026,NA,0.117,0.276,0.504,0.069,0.066,0.017,NA,0.068,0.616,0.185,0.052,0.019,0.03,NA,0.098,0.085,0.803,0.025,0.066,0.003,NA,0.018,0.127,0.488,0.089,0.097,0.14,NA,0.059,0.119,0.816,0.014,0.02,0.009,NA,0.022,0.777,0.145,0.015,0.018,0.011,NA,0.034,0.152,0.045,0.626,0.124,0.006,NA,0.047,0.093,0.223,0.038,0.532,0.036,NA,0.078,0.128,0.215,0.048,0.113,0.172,NA,0.324,0.14,0.261,0.105,0.021,0.116,NA,0.357,0.267,0.189,0.033,0.067,0,NA,0.444
2021-09-25,0.342,0.393,0.063,0.063,0.03,NA,0.109,0.303,0.409,0.073,0.087,0.032,NA,0.096,0.378,0.379,0.053,0.042,0.028,NA,0.12,0.312,0.3,0.103,0.103,0.022,NA,0.16,0.369,0.373,0.055,0.056,0.035,NA,0.112,0.332,0.46,0.047,0.049,0.027,NA,0.085,0.344,0.514,0.03,0.032,0.037,NA,0.043,0.434,0.344,0.049,0.036,0.038,NA,0.099,0.313,0.369,0.07,0.081,0.031,NA,0.136,0.256,0.514,0.068,0.072,0.017,NA,0.073,0.598,0.179,0.05,0.033,0.039,NA,0.101,0.086,0.793,0.023,0.064,0.006,NA,0.028,0.194,0.452,0.099,0.056,0.112,NA,0.087,0.127,0.808,0.013,0.022,0.014,NA,0.016,0.765,0.138,0.018,0.02,0.014,NA,0.045,0.065,0.047,0.662,0.049,0.088,NA,0.089,0.062,0.175,0.056,0.554,0.031,NA,0.122,0.156,0.222,0.057,0.168,0.122,NA,0.275,0.134,0.148,0.082,0.039,0.089,NA,0.508,0.285,0.145,0.039,0.069,0.014,NA,0.448
2021-09-26,0.357,0.373,0.052,0.073,0.033,NA,0.112,0.319,0.376,0.059,0.097,0.028,NA,0.121,0.393,0.37,0.044,0.05,0.039,NA,0.104,0.342,0.255,0.077,0.128,0.045,NA,0.153,0.376,0.338,0.052,0.069,0.033,NA,0.132,0.331,0.476,0.038,0.045,0.017,NA,0.093,0.373,0.516,0.026,0.026,0.038,NA,0.021,0.443,0.311,0.042,0.045,0.037,NA,0.122,0.337,0.351,0.052,0.09,0.04,NA,0.13,0.266,0.507,0.064,0.082,0.016,NA,0.065,0.609,0.151,0.04,0.038,0.045,NA,0.117,0.102,0.773,0.011,0.076,0.007,NA,0.031,0.171,0.468,0.082,0.104,0.069,NA,0.106,0.134,0.786,0.014,0.044,0.013,NA,0.009,0.784,0.121,0.014,0.02,0.011,NA,0.05,0.098,0.044,0.56,0.064,0.1,NA,0.134,0.064,0.128,0.061,0.627,0.024,NA,0.096,0.204,0.212,0.054,0.148,0.129,NA,0.253,0.09,0.086,0.04,0.03,0.139,NA,0.615,0.369,0.113,0.025,0.054,0.019,NA,0.42
2021-09-27,0.326,0.384,0.048,0.075,0.033,NA,0.134,0.3,0.377,0.055,0.092,0.03,NA,0.146,0.351,0.391,0.042,0.058,0.036,NA,0.122,0.303,0.26,0.073,0.133,0.043,NA,0.188,0.339,0.351,0.057,0.078,0.039,NA,0.136,0.343,0.475,0.02,0.033,0.012,NA,0.117,0.31,0.553,0.021,0.028,0.032,NA,0.056,0.393,0.333,0.028,0.055,0.038,NA,0.153,0.291,0.365,0.061,0.091,0.041,NA,0.151,0.292,0.496,0.054,0.075,0.012,NA,0.071,0.563,0.178,0.051,0.039,0.041,NA,0.128,0.086,0.777,0.006,0.073,0.016,NA,0.042,0.198,0.393,0.053,0.142,0.07,NA,0.144,0.101,0.795,0.015,0.059,0.021,NA,0.009,0.738,0.143,0.025,0.012,0.014,NA,0.068,0.164,0.07,0.423,0.059,0.111,NA,0.173,0.058,0.148,0.032,0.667,0.004,NA,0.091,0.146,0.2,0.076,0.105,0.106,NA,0.367,0.091,0.057,0,0.03,0.084,NA,0.738,0.27,0.189,0.041,0.067,0.03,NA,0.403
2021-09-28,0.333,0.4,0.048,0.069,0.027,NA,0.123,0.299,0.41,0.054,0.088,0.019,NA,0.13,0.365,0.391,0.043,0.049,0.035,NA,0.117,0.361,0.237,0.068,0.131,0.054,NA,0.149,0.333,0.406,0.053,0.063,0.02,NA,0.125,0.331,0.504,0.014,0.024,0.005,NA,0.122,0.28,0.544,0.045,0.03,0.027,NA,0.074,0.398,0.358,0.032,0.05,0.029,NA,0.133,0.284,0.391,0.056,0.085,0.033,NA,0.151,0.319,0.486,0.059,0.066,0.015,NA,0.055,0.59,0.181,0.055,0.02,0.026,NA,0.128,0.088,0.77,0.012,0.075,0.026,NA,0.029,0.177,0.495,0,0.176,0.027,NA,0.125,0.096,0.8,0.017,0.065,0.016,NA,0.006,0.725,0.163,0.025,0.002,0.024,NA,0.061,0.266,0.103,0.453,0,0,NA,0.178,0.034,0.158,0.035,0.709,0.005,NA,0.059,0.163,0.232,0.046,0.057,0.096,NA,0.406,0.188,0.038,0,0,0.101,NA,0.673,0.288,0.259,0.038,0.067,0.012,NA,0.336
2021-09-29,0.335,0.409,0.053,0.063,0.034,NA,0.106,0.289,0.422,0.057,0.102,0.033,NA,0.097,0.379,0.396,0.05,0.026,0.035,NA,0.114,0.429,0.195,0.105,0.105,0.04,NA,0.126,0.33,0.464,0.038,0.057,0.019,NA,0.092,0.303,0.471,0.019,0.056,0.047,NA,0.104,0.22,0.573,0.044,0.012,0.043,NA,0.108,0.383,0.371,0.033,0.043,0.056,NA,0.114,0.311,0.399,0.071,0.078,0.02,NA,0.121,0.302,0.488,0.052,0.067,0.027,NA,0.064,0.647,0.168,0.048,0.017,0.028,NA,0.092,0.055,0.808,0.015,0.06,0.037,NA,0.025,0.167,0.272,0.208,0.171,0.069,NA,0.113,0.083,0.823,0.02,0.046,0.023,NA,0.005,0.767,0.129,0.026,0,0.027,NA,0.051,0.271,0.129,0.439,0,0.038,NA,0.123,0.028,0.256,0.051,0.629,0.014,NA,0.022,0.145,0.199,0.102,0.07,0.119,NA,0.365,0.206,0.13,0,0.091,0.015,NA,0.558,0.213,0.233,0.044,0.071,0.082,NA,0.357
2021-09-30,0.338,0.391,0.076,0.069,0.044,NA,0.082,0.268,0.407,0.102,0.111,0.05,NA,0.062,0.404,0.376,0.051,0.031,0.038,NA,0.1,0.43,0.172,0.146,0.122,0.071,NA,0.059,0.351,0.433,0.05,0.061,0.022,NA,0.083,0.262,0.48,0.042,0.054,0.054,NA,0.108,0.239,0.578,0.051,0.013,0.031,NA,0.088,0.362,0.342,0.07,0.049,0.067,NA,0.11,0.339,0.402,0.086,0.072,0.031,NA,0.07,0.296,0.451,0.066,0.1,0.029,NA,0.058,0.676,0.136,0.046,0.019,0.055,NA,0.068,0.051,0.772,0.045,0.089,0.028,NA,0.015,0.054,0.441,0.246,0.104,0.088,NA,0.067,0.07,0.832,0.033,0.04,0.012,NA,0.013,0.806,0.079,0.027,0.004,0.037,NA,0.047,0.231,0.059,0.537,0.033,0.06,NA,0.08,0.003,0.172,0.046,0.764,0.006,NA,0.009,0.249,0.183,0.166,0.072,0.121,NA,0.209,0.228,0.168,0.083,0.069,0.016,NA,0.436,0.104,0.245,0.055,0.079,0.227,NA,0.29
2021-10-01,0.342,0.392,0.062,0.064,0.037,NA,0.103,0.287,0.394,0.086,0.102,0.045,NA,0.086,0.392,0.389,0.04,0.031,0.029,NA,0.119,0.422,0.212,0.123,0.106,0.059,NA,0.078,0.359,0.392,0.039,0.056,0.029,NA,0.125,0.264,0.486,0.042,0.061,0.04,NA,0.107,0.272,0.562,0.044,0.021,0.014,NA,0.087,0.342,0.336,0.071,0.037,0.053,NA,0.161,0.374,0.387,0.063,0.066,0.028,NA,0.082,0.284,0.484,0.045,0.103,0.028,NA,0.056,0.644,0.131,0.053,0.024,0.053,NA,0.095,0.076,0.797,0.024,0.067,0.015,NA,0.021,0.098,0.386,0.182,0.178,0.089,NA,0.067,0.09,0.815,0.029,0.027,0.01,NA,0.029,0.808,0.081,0.024,0.008,0.019,NA,0.06,0.229,0.148,0.464,0.05,0.032,NA,0.077,0.012,0.244,0.004,0.702,0.029,NA,0.009,0.209,0.134,0.123,0.095,0.191,NA,0.248,0.115,0.12,0.079,0.054,0.015,NA,0.617,0.174,0.239,0.057,0.064,0.163,NA,0.303
