"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"A Juntos por el Cambio",0.302,0.292,0.312,0.294,0.248,0.354,0.377,0.264,0.308,0.333,0.3,0.305,0.122,0.441,0.196,0.23,0.581,0.597,0.22,0.024
"Al Frente de Todos",0.142,0.146,0.138,0.14,0.132,0.152,0.154,0.14,0.147,0.137,0.126,0.155,0.328,0.081,0.1,0.155,0.091,0.062,0.087,0.276
"A Hacemos por Córdoba",0.229,0.228,0.23,0.219,0.261,0.203,0.202,0.24,0.23,0.217,0.22,0.235,0.318,0.197,0.33,0.338,0.165,0.086,0.127,0.131
"A los liberales libertarios de Milei",0.128,0.167,0.092,0.18,0.14,0.085,0.076,0.144,0.131,0.107,0.131,0.125,0.05,0.143,0.115,0.111,0.085,0.159,0.216,0.089
"A Encuentro Vecinal Córdoba",0.028,0.022,0.033,0.019,0.03,0.034,0.026,0.019,0.028,0.036,0.037,0.02,0.015,0.025,0.03,0.024,0.014,0.01,0.219,0.007
"Al Frente de Izquierda",0.045,0.042,0.048,0.063,0.044,0.036,0.035,0.04,0.048,0.048,0.055,0.038,0.057,0.023,0.046,0.023,0.008,0.006,0.049,0.361
"No sabe",0.126,0.103,0.147,0.085,0.145,0.136,0.13,0.153,0.108,0.122,0.131,0.122,0.11,0.09,0.183,0.119,0.056,0.08,0.082,0.112
