"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.362,0.352,0.372,0.315,0.321,0.404,0.471,0.352,0.367,0.368,0.342,0.378,0.107,0.52,0.287,0.252,0.666,0.645,0.409,0.124
"Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.272,0.268,0.275,0.288,0.293,0.255,0.221,0.302,0.26,0.257,0.274,0.27,0.4,0.215,0.371,0.449,0.112,0.104,0.03,0.16
"A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.099,0.096,0.102,0.087,0.089,0.122,0.11,0.074,0.107,0.115,0.086,0.109,0.288,0.035,0.022,0.089,0.054,0.034,0.053,0.252
"A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.097,0.129,0.066,0.172,0.102,0.055,0.032,0.108,0.092,0.091,0.112,0.084,0.032,0.111,0.093,0.08,0.091,0.094,0.15,0.072
"A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.024,0.022,0.027,0.009,0.027,0.031,0.029,0.012,0.027,0.033,0.038,0.014,0.01,0.023,0.05,0.017,0.011,0.016,0.23,0.025
"A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.03,0.036,0.023,0.032,0.037,0.024,0.016,0.033,0.025,0.031,0.031,0.029,0.051,0.01,0.016,0.012,0.011,0.021,0.031,0.269
"Votaría en blanco",0.031,0.031,0.032,0.032,0.033,0.032,0.027,0.033,0.031,0.029,0.03,0.033,0.037,0.019,0.021,0.022,0.008,0.002,0.041,0.036
"No sabe",0.085,0.066,0.103,0.065,0.098,0.077,0.094,0.086,0.091,0.076,0.087,0.083,0.075,0.067,0.14,0.079,0.047,0.084,0.056,0.062
