"var","categoria","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.046,0.439,0.848,0.035,0.083,0.239,0.158,0.121
"P07","De Cambiemos",0.67,0.245,0.043,0.119,0.279,0.081,0.243,0.235
"P07","De los Liberales libertarios",0.182,0.093,0.007,0.728,0.19,0,0.143,0.082
"P07","De la Izquierda",0.011,0.013,0.027,0.018,0.109,0.395,0.013,0.006
"P07","Otros",0.034,0.101,0.037,0.034,0.305,0.185,0.093,0.111
"P07","No sabe",0.057,0.109,0.038,0.066,0.034,0.1,0.35,0.445
"P08","A Alberto Fernández",0.123,0.187,0.089,0.322,0.501,0.266,0.224,0.288
"P08","A Sergio Massa",0.255,0.205,0.15,0.06,0.283,0.133,0.116,0.194
"P08","A algún candidato del peronismo",0.566,0.358,0.124,0.385,0.094,0.039,0.17,0.192
"P08","A algún candidato del kirchnerismo",0.056,0.25,0.637,0.233,0.122,0.562,0.49,0.326
"P09","A Alberto Fernández",0.2,0.122,0.048,0.322,0.417,0.029,0.071,0.174
"P09","A Sergio Massa",0.107,0.167,0.094,0.06,0.273,0,0,0.234
"P09","A algún candidato del peronismo",0.552,0.299,0.079,0.385,0.094,0.256,0.26,0.213
"P09","A Cristina Fernández de Kirchner",0.141,0.412,0.779,0.233,0.216,0.715,0.669,0.379
"P10","A Horacio Rodriguez Larreta",0.197,0.337,0.047,0.071,0.201,0.928,0.223,0.158
"P10","A Mauricio Macri",0.315,0.289,0.472,0.57,0.143,0.036,0.401,0.376
"P10","A Patricia Bullrich",0.415,0.269,0.023,0.344,0.317,0,0.312,0.3
"P10","A Facundo Manes",0.041,0.083,0.144,0,0.082,0,0.046,0.117
"P10","A Gerardo Morales",0.032,0.022,0.314,0.015,0.257,0.036,0.018,0.049
"P11","A Juntos por el Cambio",0.667,0.132,0.034,0.069,0.146,0.064,0.202,0.12
"P11","Al Frente de Todos",0.054,0.145,0.739,0.017,0.055,0.107,0.08,0.049
"P11","A Hacemos por Córdoba",0.108,0.573,0.07,0.182,0.121,0.066,0.106,0.163
"P11","A los liberales libertarios de Milei",0.076,0.036,0.064,0.675,0.099,0.047,0.046,0.06
"P11","A Encuentro Vecinal Córdoba",0.016,0.017,0.001,0.019,0.457,0.083,0.024,0.032
"P11","Al Frente de Izquierda",0.005,0.023,0.037,0.016,0.066,0.522,0.09,0.132
"P11","No sabe",0.074,0.074,0.055,0.022,0.056,0.111,0.452,0.444
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.66,0.519,0.652,0.884,0.613,0.62,0.681,0.627
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.308,0.092,0.166,0.072,0.292,0.311,0.091,0.12
"P12","No sabe",0.032,0.389,0.182,0.044,0.095,0.069,0.228,0.253
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.748,0.072,0.022,0.169,0.19,0.061,0.252,0.185
"P13","A Martín Llaryora por Hacemos por Córdoba",0.075,0.815,0.128,0.055,0.127,0.127,0.184,0.188
"P13","Al candidato del Frente de Todos",0.013,0.053,0.811,0.009,0.026,0.055,0.009,0.025
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.045,0.008,0.002,0.724,0.01,0,0,0.02
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.017,0.003,0.004,0.016,0.502,0.032,0.019,0.025
"P13","Al candidato del Frente de Izquierda",0.006,0.003,0.006,0.001,0.075,0.682,0.027,0.006
"P13","Votaría en blanco",0.03,0.013,0.004,0.01,0.047,0.011,0.411,0.043
"P13","No sabe",0.066,0.033,0.023,0.016,0.023,0.032,0.098,0.508
"P15","A Luis Juez por Juntos por el Cambio",0.764,0.13,0.024,0.095,0.055,0.057,0.163,0.079
"P15","A Martín Llaryora por Hacemos por Córdoba",0.15,0.777,0.123,0.069,0.135,0.079,0.213,0.236
"P15","Al candidato del Frente de Todos",0.008,0.041,0.821,0.008,0.049,0.064,0.007,0.011
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.025,0.009,0.005,0.78,0.015,0.019,0.007,0.011
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.016,0.003,0,0.016,0.602,0,0.038,0.039
"P15","Al candidato del Frente de Izquierda",0.003,0.005,0.007,0.012,0.106,0.738,0.011,0.012
"P15","Votaría en blanco",0.01,0.006,0.003,0.002,0.006,0.016,0.417,0.027
"P15","No sabe",0.024,0.029,0.017,0.018,0.032,0.027,0.144,0.585
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.884,0.112,0.032,0.07,0.097,0.08,0.058,0.08
