"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P08","A Alberto Fernández",0.7,0.13,0.069,0.11
"P08","A Sergio Massa",0.139,0.762,0.074,0.101
"P08","A algún candidato del peronismo",0.07,0.086,0.84,0.125
"P08","A algún candidato del kirchnerismo",0.091,0.022,0.017,0.664
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.09,0.057,0.128,0.031
"P13","A Martín Llaryora por Hacemos por Córdoba",0.587,0.629,0.624,0.371
"P13","Al candidato del Frente de Todos",0.171,0.285,0.098,0.502
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.037,0,0.035,0.002
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0,0.004,0.006,0.002
"P13","Al candidato del Frente de Izquierda",0.017,0.005,0.03,0.032
"P13","Votaría en blanco",0.024,0,0.026,0.023
"P13","No sabe",0.074,0.02,0.053,0.037
"P15","A Luis Juez por Juntos por el Cambio",0.124,0.189,0.255,0.009
"P15","A Martín Llaryora por Hacemos por Córdoba",0.541,0.504,0.556,0.412
"P15","Al candidato del Frente de Todos",0.203,0.284,0.071,0.479
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.028,0,0.034,0.006
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0,0,0.007,0.004
"P15","Al candidato del Frente de Izquierda",0.01,0.008,0.035,0.035
"P15","Votaría en blanco",0.013,0,0.013,0.028
"P15","No sabe",0.081,0.015,0.029,0.027
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.166,0.1,0.215,0.035
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.544,0.501,0.549,0.338
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.127,0.285,0.109,0.516
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.029,0.003,0.021,0.004
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.013,0.005,0.011,0.005
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.014,0,0.037,0.046
"P17","Votaría en blanco",0.027,0.068,0.016,0.019
"P17","No sabe",0.08,0.038,0.042,0.037
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.075,0.077,0.141,0.028
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.586,0.541,0.614,0.353
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.157,0.341,0.116,0.51
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.043,0.003,0.028,0.004
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.014,0.007,0.008,0.005
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.015,0,0.037,0.038
"P18","Votaría en blanco",0.028,0.003,0.011,0.019
"P18","No sabe",0.082,0.028,0.045,0.043
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.128,0.055,0.158,0.018
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.566,0.624,0.621,0.391
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.148,0.234,0.108,0.491
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.047,0.007,0.025,0.007
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.032,0.017,0.003,0.003
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.007,0,0.029,0.036
"P19","Votaría en blanco",0.014,0,0.024,0.028
"P19","No sabe",0.058,0.063,0.032,0.026
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.095,0.082,0.141,0.042
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.644,0.67,0.646,0.405
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.146,0.195,0.106,0.463
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.033,0,0.049,0.009
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0,0.013,0.011,0.001
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.007,0,0.004,0.035
"P20","Votaría en blanco",0.019,0.007,0.022,0.021
"P20","No sabe",0.056,0.033,0.021,0.024
"P21","Lo votaría",0.125,0.085,0.155,0.069
"P21","Puede que lo vote",0.421,0.163,0.179,0.065
"P21","Nunca lo votaría",0.454,0.745,0.663,0.858
"P21","No sabe",0,0.007,0.003,0.008
"P22","Lo votaría",0.574,0.65,0.582,0.295
"P22","Puede que lo vote",0.175,0.227,0.151,0.298
"P22","Nunca lo votaría",0.251,0.116,0.264,0.4
"P22","No sabe",0,0.007,0.003,0.007
"P23","Lo votaría",0.188,0.272,0.175,0.046
"P23","Puede que lo vote",0.238,0.051,0.149,0.08
"P23","Nunca lo votaría",0.563,0.677,0.673,0.851
"P23","No sabe",0.011,0,0.003,0.023
"P24","Lo votaría",0.185,0.153,0.035,0.335
"P24","Puede que lo vote",0.242,0.34,0.289,0.296
"P24","Nunca lo votaría",0.573,0.507,0.676,0.369
"P24","No sabe",0,0,0,0
