"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.366,0.353,0.377,0.303,0.321,0.411,0.495,0.342,0.366,0.388,0.342,0.384,0.08,0.537,0.273,0.243,0.676,0.673,0.407,0.132
"Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.273,0.269,0.277,0.276,0.304,0.261,0.213,0.309,0.269,0.243,0.28,0.268,0.452,0.186,0.4,0.471,0.087,0.085,0.042,0.188
"A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.094,0.093,0.095,0.078,0.09,0.104,0.111,0.082,0.093,0.107,0.078,0.106,0.274,0.029,0.041,0.081,0.052,0.012,0.058,0.275
"A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.107,0.143,0.074,0.204,0.112,0.06,0.028,0.112,0.104,0.106,0.119,0.098,0.03,0.128,0.101,0.084,0.102,0.106,0.136,0.076
"A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.024,0.021,0.027,0.013,0.025,0.029,0.032,0.017,0.028,0.027,0.039,0.013,0.02,0.02,0.044,0.015,0.01,0.019,0.26,0.003
"A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.027,0.034,0.02,0.028,0.03,0.024,0.019,0.037,0.019,0.025,0.025,0.028,0.042,0.011,0.006,0.012,0.009,0.009,0.025,0.234
"Votaría en blanco",0.036,0.038,0.034,0.034,0.041,0.044,0.016,0.036,0.036,0.036,0.03,0.041,0.041,0.027,0.04,0.028,0.021,0.016,0.026,0.02
"No sabe",0.073,0.049,0.096,0.064,0.077,0.067,0.086,0.065,0.085,0.068,0.087,0.062,0.061,0.062,0.095,0.066,0.043,0.08,0.046,0.072
