"var","categoria","A Rodrigo De Loredo por Juntos por el Cambio","A Martín Llaryora por Hacemos por Córdoba","Al candidato del Frente de Todos","Al candidato de los liberales libertarios con el apoyo de Javier Milei","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba","Al candidato del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.047,0.372,0.804,0.032,0.031,0.23,0.136,0.099
"P07","De Cambiemos",0.675,0.276,0.051,0.111,0.228,0.083,0.294,0.198
"P07","De los Liberales libertarios",0.201,0.1,0.017,0.686,0.192,0.039,0.066,0.069
"P07","De la Izquierda",0.01,0.021,0.041,0.028,0.091,0.446,0.043,0.02
"P07","Otros",0.025,0.097,0.051,0.064,0.302,0.156,0.125,0.102
"P07","No sabe",0.042,0.134,0.036,0.079,0.156,0.046,0.336,0.512
"P08","A Alberto Fernández",0.357,0.153,0.079,0.291,0.111,0.331,0.18,0.257
"P08","A Sergio Massa",0.136,0.226,0.16,0.044,0.296,0.082,0.107,0.071
"P08","A algún candidato del peronismo",0.49,0.374,0.143,0.639,0.447,0.049,0.239,0.267
"P08","A algún candidato del kirchnerismo",0.017,0.247,0.618,0.026,0.146,0.538,0.474,0.405
"P09","A Alberto Fernández",0.143,0.122,0.05,0.279,0,0.067,0.114,0.176
"P09","A Sergio Massa",0.112,0.163,0.106,0,0.185,0.022,0,0.061
"P09","A algún candidato del peronismo",0.493,0.315,0.071,0.639,0.447,0.278,0.302,0.308
"P09","A Cristina Fernández de Kirchner",0.252,0.4,0.773,0.082,0.368,0.633,0.584,0.455
"P10","A Horacio Rodriguez Larreta",0.181,0.319,0.056,0.164,0.168,0.349,0.454,0.208
"P10","A Mauricio Macri",0.35,0.293,0.33,0.473,0.128,0,0.308,0.288
"P10","A Patricia Bullrich",0.38,0.279,0.387,0.318,0.479,0.035,0.181,0.409
"P10","A Facundo Manes",0.041,0.073,0.136,0.034,0.194,0.082,0.019,0.043
"P10","A Gerardo Morales",0.048,0.036,0.091,0.011,0.031,0.534,0.038,0.052
"P11","A Juntos por el Cambio",0.668,0.134,0.058,0.074,0.133,0.024,0.284,0.167
"P11","Al Frente de Todos",0.061,0.143,0.713,0.026,0.024,0.054,0.082,0.026
"P11","A Hacemos por Córdoba",0.118,0.552,0.076,0.134,0.075,0.045,0.033,0.091
"P11","A los liberales libertarios de Milei",0.074,0.051,0.065,0.72,0.148,0.098,0.033,0.053
"P11","A Encuentro Vecinal Córdoba",0.009,0.024,0.007,0.008,0.453,0.1,0.008,0.023
"P11","Al Frente de Izquierda",0.004,0.015,0.037,0.012,0.034,0.621,0.098,0.096
"P11","No sabe",0.066,0.081,0.044,0.026,0.133,0.058,0.462,0.544
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.737,0.504,0.221,0.503,0.376,0.303,0.133,0.128
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.227,0.205,0.616,0.439,0.514,0.697,0.67,0.453
"P12","No sabe",0.036,0.291,0.163,0.058,0.11,0,0.197,0.419
"P15","A Luis Juez por Juntos por el Cambio",0.683,0.141,0.057,0.155,0.164,0.042,0.315,0.236
"P15","A Martín Llaryora por Hacemos por Córdoba",0.178,0.805,0.058,0.035,0.039,0.046,0.044,0.087
"P15","Al candidato del Frente de Todos",0.01,0.019,0.849,0,0.003,0.023,0.012,0.01
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.049,0.007,0.011,0.778,0.038,0,0.02,0.018
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.025,0.001,0.001,0.006,0.689,0,0.003,0.006
"P15","Al candidato del Frente de Izquierda",0.004,0.001,0.005,0.008,0.031,0.877,0.029,0.004
"P15","Votaría en blanco",0.014,0.007,0.007,0.011,0.008,0,0.447,0.032
"P15","No sabe",0.037,0.019,0.012,0.007,0.028,0.012,0.13,0.607
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.79,0.135,0.071,0.164,0.213,0.084,0.255,0.276
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.094,0.733,0.044,0.023,0.022,0.012,0.106,0.099
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.003,0.037,0.805,0.002,0.009,0.008,0.04,0.036
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.043,0.01,0.01,0.751,0.049,0,0.09,0.023
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.012,0.006,0.002,0.011,0.579,0.077,0.01,0.003
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.005,0.007,0.031,0.008,0.031,0.776,0.033,0.003
"P17","Votaría en blanco",0.014,0.021,0.019,0.003,0.035,0.022,0.339,0.045
"P17","No sabe",0.039,0.051,0.018,0.038,0.062,0.021,0.127,0.515
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.826,0.102,0.067,0.133,0.182,0.07,0.116,0.2
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.068,0.769,0.068,0.029,0.006,0.015,0.096,0.08
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.004,0.037,0.807,0.006,0.004,0.022,0.044,0.028
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.033,0.016,0.009,0.794,0.071,0.005,0.043,0.034
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.013,0.01,0.003,0.014,0.594,0.076,0.025,0.012
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.007,0.015,0.001,0.031,0.766,0.055,0.023
"P18","Votaría en blanco",0.017,0.012,0.006,0.007,0.026,0.046,0.481,0.072
"P18","No sabe",0.035,0.047,0.025,0.016,0.086,0,0.14,0.551
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.799,0.093,0.048,0.169,0.251,0.081,0.312,0.305
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.057,0.755,0.143,0.022,0.03,0.038,0.101,0.116
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.006,0.041,0.757,0.001,0.016,0.021,0.011,0.027
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.053,0.02,0.01,0.791,0.069,0.005,0.029,0.021
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.013,0.01,0.007,0.002,0.497,0.073,0.033,0.007
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.005,0.011,0.014,0,0.034,0.723,0.008,0.011
"P19","Votaría en blanco",0.027,0.023,0.003,0,0.028,0.04,0.418,0.044
"P19","No sabe",0.04,0.047,0.018,0.015,0.075,0.019,0.088,0.469
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.831,0.091,0.068,0.116,0.109,0.074,0.114,0.207
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.048,0.78,0.152,0.036,0.029,0.049,0.145,0.12
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.006,0.037,0.715,0.003,0.011,0.015,0.006,0.027
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.053,0.018,0.01,0.826,0.058,0.006,0.069,0.012
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.007,0.003,0.01,0.001,0.604,0.108,0.012,0.006
