"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P07","A Gustavo Menendez por el Frente de Todos",0.239,0.225,0.542,0.287,0.234,0.499,0.419,0.506,0.321
"P07","A David Zencich por Juntos por el Cambio",0.303,0.147,0.143,0.585,0.272,0.282,0.036,0.037,0.23
"P07","A Pablo Cocuzza por Juntos por el Cambio",0.174,0.101,0.045,0,0.077,0.036,0,0.249,0.058
"P07","Al candidato de Javier Milei",0.14,0.181,0.077,0.055,0.031,0.109,0.222,0,0.276
"P07","A Cristian Franco por el Frente de Izquierda",0.034,0.186,0.066,0,0.125,0.025,0.323,0.035,0.033
"P07","A otro candidato",0.11,0.16,0.127,0.073,0.261,0.049,0,0.173,0.082
"P09","A Gustavo Menendez por el Frente de Todos",0.286,0.211,0.498,0.221,0.308,0.504,0.393,0.758,0.35
"P09","A David Zencich por Juntos por el Cambio",0.316,0.271,0.2,0.517,0.092,0.225,0.062,0.037,0.26
"P09","Al candidato de Javier Milei",0.233,0.182,0.145,0.114,0.114,0.204,0.222,0.127,0.243
"P09","A Cristian Franco por el Frente de Izquierda",0.048,0.186,0.055,0.033,0.044,0.025,0,0.035,0.076
"P09","A otro candidato",0.117,0.15,0.102,0.115,0.442,0.042,0.323,0.043,0.071
"P11","A Gustavo Menendez por el Frente de Todos",0.294,0.158,0.518,0.272,0.292,0.214,0.419,0.543,0.467
"P11","A Pablo Cocuzza por Juntos por el Cambio",0.29,0.351,0.149,0.504,0.116,0.32,0.036,0.122,0.123
"P11","Al candidato de Javier Milei",0.225,0.147,0.093,0.17,0.092,0.368,0.317,0.127,0.29
"P11","A Cristian Franco por el Frente de Izquierda",0.045,0.186,0.086,0.033,0.125,0,0.228,0.078,0.056
"P11","A otro candidato",0.146,0.158,0.154,0.021,0.375,0.098,0,0.13,0.064
"P13","Muy buena",0.152,0.159,0.248,0.121,0.123,0.189,0.117,0.302,0.157
"P13","Buena",0.173,0.122,0.293,0.145,0.229,0.138,0.312,0.063,0.211
"P13","Ni buena ni mala",0.168,0.152,0.168,0.17,0.205,0.122,0.45,0.34,0.065
"P13","Mala",0.178,0.417,0.115,0.06,0.124,0.2,0,0,0.072
"P13","Muy mala",0.319,0.15,0.14,0.504,0.298,0.328,0.121,0.165,0.46
"P13","No sabe",0.01,0,0.036,0,0.021,0.023,0,0.13,0.035
"P14","Muy buena",0.164,0.095,0.136,0.076,0.003,0.199,0,0,0.296
"P14","Buena",0.127,0.083,0.13,0.606,0.068,0.141,0,0.158,0.179
"P14","Ni buena ni mala",0.32,0.456,0.41,0.102,0.36,0.31,0.508,0.128,0.143
"P14","Mala",0.129,0.282,0.11,0.165,0.202,0.014,0.397,0,0.125
"P14","Muy mala",0.11,0.036,0.061,0.03,0.248,0.222,0.095,0.116,0.191
"P14","No sabe",0.15,0.048,0.153,0.021,0.119,0.114,0,0.598,0.066
"P15","Muy buena",0.17,0.111,0.114,0.053,0.169,0.107,0.032,0.179,0.187
"P15","Buena",0.1,0.041,0.238,0.035,0.108,0.083,0.09,0.327,0.229
"P15","Ni buena ni mala",0.251,0.435,0.267,0.366,0.206,0.185,0.333,0,0.086
"P15","Mala",0.166,0.239,0.091,0,0.066,0.208,0.196,0.158,0.207
"P15","Muy mala",0.293,0.14,0.137,0.504,0.379,0.314,0.349,0.078,0.259
"P15","No sabe",0.02,0.034,0.153,0.042,0.072,0.103,0,0.258,0.032
"P16","Muy buena",0.105,0.085,0.076,0,0.007,0.006,0,0,0.14
"P16","Buena",0.084,0.085,0.112,0.035,0.03,0.326,0,0,0.023
"P16","Ni buena ni mala",0.397,0.454,0.311,0.231,0.395,0.274,0.184,0.063,0.331
"P16","Mala",0.146,0.225,0.167,0.066,0.08,0.007,0.307,0.122,0.142
"P16","Muy mala",0.082,0.137,0.148,0.668,0.294,0.208,0.323,0.116,0.125
"P16","No sabe",0.186,0.014,0.186,0,0.194,0.179,0.186,0.699,0.239
"P17","Muy buena",0.139,0.1,0.057,0,0.074,0.205,0,0.035,0.006
"P17","Buena",0.128,0.197,0.13,0.021,0.217,0.078,0.09,0,0.019
"P17","Ni buena ni mala",0.242,0.309,0.276,0.034,0.214,0.214,0.058,0.221,0.288
"P17","Mala",0.182,0.12,0.197,0.61,0.208,0.234,0.281,0.141,0.203
"P17","Muy mala",0.253,0.274,0.265,0.293,0.238,0.182,0.385,0.345,0.297
"P17","No sabe",0.056,0,0.075,0.042,0.049,0.087,0.186,0.258,0.187
"P18","Muy buena",0.175,0.027,0.079,0.047,0.055,0.3,0.121,0,0.147
"P18","Buena",0.068,0.033,0.114,0,0.05,0.049,0.032,0.063,0.001
