"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.028,0.027,0.029,0.054,0.007,0.047,0.016,0.035,0.018,0.04,0.02,0.025,0,0.04,0.083,0.031,0.012,0.029,0,6
"Buena",0.034,0.042,0.026,0.04,0.036,0.014,0.051,0.051,0.026,0.023,0.009,0.031,0.086,0,0.016,0.055,0.033,0.05,0,6
"Ni buena ni mala",0.432,0.427,0.437,0.356,0.508,0.408,0.378,0.299,0.534,0.446,0.461,0.39,0.451,0.557,0.408,0.413,0.498,0.408,0.756,6
"Mala",0.076,0.095,0.056,0.123,0.066,0.054,0.065,0.075,0.094,0.031,0.072,0.086,0.005,0.128,0.068,0.102,0.066,0.084,0,6
"Muy mala",0.069,0.046,0.092,0.123,0.053,0.053,0.057,0.095,0.032,0.108,0.085,0.06,0.07,0.081,0.032,0.094,0.061,0.037,0,6
"No sabe",0.361,0.363,0.36,0.304,0.33,0.424,0.433,0.445,0.296,0.352,0.353,0.408,0.388,0.194,0.393,0.305,0.33,0.392,0.244,6
"Positiva",0.062,0.069,0.055,0.094,0.043,0.061,0.067,0.086,0.044,0.063,0.029,0.056,0.086,0.04,0.099,0.086,0.045,0.079,0,4
"Neutra",0.432,0.427,0.437,0.356,0.508,0.408,0.378,0.299,0.534,0.446,0.461,0.39,0.451,0.557,0.408,0.413,0.498,0.408,0.756,4
"Negativa",0.145,0.141,0.148,0.246,0.119,0.107,0.122,0.17,0.126,0.139,0.157,0.146,0.075,0.209,0.1,0.196,0.127,0.121,0,4
"No sabe",0.361,0.363,0.36,0.304,0.33,0.424,0.433,0.445,0.296,0.352,0.353,0.408,0.388,0.194,0.393,0.305,0.33,0.392,0.244,4
