"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Gustavo Menendez por el Frente de Todos",0.316,0.33,0.302,0.233,0.345,0.341,0.331,0.32,0.345,0.231,0.29,0.345,0.337,0.245,0.378,0.257,0.499,0.12,0.11
"A David Zencich por Juntos por el Cambio",0.234,0.249,0.219,0.238,0.178,0.255,0.35,0.283,0.204,0.209,0.304,0.217,0.262,0.32,0.179,0.144,0.142,0.395,0.322
"A Pablo Cocuzza por Juntos por el Cambio",0.122,0.102,0.143,0.172,0.12,0.093,0.096,0.08,0.156,0.126,0.129,0.12,0.072,0.106,0.179,0.142,0.076,0.205,0.259
"Al candidato de Javier Milei",0.127,0.161,0.093,0.153,0.138,0.116,0.073,0.148,0.119,0.104,0.148,0.157,0.056,0,0.124,0.183,0.052,0.169,0.215
"A Cristian Franco por el Frente de Izquierda",0.063,0.072,0.053,0.036,0.086,0.053,0.057,0.064,0.048,0.099,0.033,0.047,0.144,0.059,0.04,0.079,0.054,0.06,0
"A otro candidato",0.138,0.086,0.19,0.168,0.133,0.142,0.093,0.105,0.128,0.231,0.096,0.114,0.129,0.27,0.1,0.195,0.177,0.051,0.094
