"var","categoria","A Gustavo Menendez por el Frente de Todos","A David Zencich por Juntos por el Cambio","Al candidato de Javier Milei","A Cristian Franco por el Frente de Izquierda","A otro candidato"
"P07","A Gustavo Menendez por el Frente de Todos",0.782,0.069,0.087,0.091,0.123
"P07","A David Zencich por Juntos por el Cambio",0.103,0.627,0.121,0.088,0.089
"P07","A Pablo Cocuzza por Juntos por el Cambio",0.086,0.167,0.197,0.03,0.038
"P07","Al candidato de Javier Milei",0,0.024,0.538,0.277,0.028
"P07","A Cristian Franco por el Frente de Izquierda",0.002,0.012,0.029,0.414,0.192
"P07","A otro candidato",0.027,0.101,0.028,0.1,0.53
"P11","A Gustavo Menendez por el Frente de Todos",0.805,0.205,0.096,0.076,0.076
"P11","A Pablo Cocuzza por Juntos por el Cambio",0.154,0.62,0.06,0.008,0.036
"P11","Al candidato de Javier Milei",0.028,0.075,0.784,0.101,0.025
"P11","A Cristian Franco por el Frente de Izquierda",0.006,0.002,0.02,0.798,0.103
"P11","A otro candidato",0.007,0.098,0.04,0.017,0.76
"P13","Muy buena",0.37,0.181,0.061,0.113,0
"P13","Buena",0.4,0.071,0.059,0.107,0.062
"P13","Ni buena ni mala",0.139,0.144,0.244,0.189,0.261
"P13","Mala",0.021,0.191,0.192,0.298,0.244
"P13","Muy mala",0.06,0.392,0.417,0.293,0.34
"P13","No sabe",0.01,0.021,0.027,0,0.093
"P14","Muy buena",0.113,0.357,0.084,0.005,0.013
"P14","Buena",0.083,0.285,0.103,0.026,0.045
"P14","Ni buena ni mala",0.356,0.271,0.394,0.521,0.255
"P14","Mala",0.132,0.035,0.147,0.106,0.223
"P14","Muy mala",0.109,0.031,0.127,0.241,0.233
"P14","No sabe",0.207,0.021,0.145,0.101,0.231
"P15","Muy buena",0.317,0.192,0.036,0,0
"P15","Buena",0.304,0.048,0.065,0.013,0.028
"P15","Ni buena ni mala",0.234,0.171,0.212,0.443,0.294
"P15","Mala",0.016,0.198,0.222,0.22,0.126
"P15","Muy mala",0.064,0.36,0.392,0.272,0.386
"P15","No sabe",0.065,0.031,0.073,0.052,0.166
"P16","Muy buena",0.061,0.187,0.087,0,0
"P16","Buena",0.051,0.156,0.079,0.006,0.044
"P16","Ni buena ni mala",0.402,0.339,0.354,0.382,0.326
"P16","Mala",0.133,0.058,0.163,0.116,0.106
"P16","Muy mala",0.104,0.116,0.151,0.359,0.311
"P16","No sabe",0.249,0.144,0.166,0.137,0.213
"P17","Muy buena",0.138,0.112,0.057,0.03,0.032
"P17","Buena",0.096,0.163,0.082,0.084,0.128
"P17","Ni buena ni mala",0.28,0.217,0.173,0.263,0.255
"P17","Mala",0.197,0.162,0.296,0.158,0.146
"P17","Muy mala",0.199,0.262,0.322,0.423,0.34
"P17","No sabe",0.09,0.084,0.07,0.042,0.099
"P18","Muy buena",0.071,0.293,0.091,0.006,0.077
"P18","Buena",0.068,0.13,0.048,0.052,0.019
"P18","Ni buena ni mala",0.381,0.314,0.356,0.37,0.394
"P18","Mala",0.122,0.116,0.118,0.045,0.074
"P18","Muy mala",0.1,0.051,0.118,0.113,0.18
"P18","No sabe",0.258,0.096,0.269,0.414,0.256
"P19","Muy buena",0.054,0.15,0.091,0.021,0.063
"P19","Buena",0.073,0.079,0.002,0.119,0.01
"P19","Ni buena ni mala",0.429,0.396,0.415,0.33,0.418
"P19","Mala",0.103,0.051,0.061,0.072,0.063
"P19","Muy mala",0.095,0.036,0.107,0.017,0.158
"P19","No sabe",0.246,0.288,0.324,0.441,0.288
"P20","Muy buena",0.037,0.01,0.05,0,0.018
"P20","Buena",0.008,0.114,0.002,0.032,0.009
"P20","Ni buena ni mala",0.484,0.397,0.384,0.429,0.429
"P20","Mala",0.09,0.057,0.098,0.075,0.044
"P20","Muy mala",0.057,0.049,0.068,0.01,0.154
"P20","No sabe",0.324,0.373,0.398,0.454,0.346
"P21","La seguridad",0.057,0.031,0.12,0.041,0.009
"P21","El tránsito",0.033,0.104,0.059,0,0.019
"P21","El arreglo de las calles",0.265,0.161,0.152,0.2,0.056
"P21","Los parques y espacios públicos",0.307,0.128,0.133,0.174,0.229
"P21","El sistema de salud",0.059,0.017,0.027,0.015,0.075
"P21","La limpieza de las calles",0.094,0.097,0.069,0.163,0.142
"P21","El deporte y la cultura",0.053,0.014,0.079,0.158,0.059
"P21","La luminaria",0.014,0.048,0.028,0,0.048
"P21","No sabe",0.118,0.4,0.333,0.249,0.363
"P22","La seguridad",0.38,0.582,0.554,0.413,0.369
"P22","El tránsito",0.022,0.04,0.035,0.129,0.038
"P22","El arreglo de las calles",0.256,0.142,0.133,0.183,0.125
"P22","Los parques y espacios públicos",0.015,0.048,0.014,0.015,0.019
"P22","El sistema de salud",0.104,0.043,0.069,0.096,0.354
"P22","La limpieza de las calles",0.074,0.046,0.054,0.024,0.014
"P22","El deporte y la cultura",0.016,0.004,0.017,0,0.032
"P22","La luminaria",0.044,0.003,0.013,0.013,0.006
"P22","No sabe",0.089,0.092,0.111,0.127,0.043
"P23","Agua corriente y cloacas",0.527,0.508,0.53,0.454,0.691
"P23","Energía eléctrica",0.038,0.197,0.101,0.035,0.054
"P23","Red de gas natural",0.197,0.096,0.095,0.077,0.064
"P23","Recolección de residuos",0.083,0.064,0.16,0.218,0.062
"P23","Ninguno",0.155,0.135,0.114,0.216,0.129
"P24","Los robos",0.57,0.433,0.463,0.495,0.485
"P24","El narcotráfico",0.088,0.253,0.148,0.093,0.128
"P24","La ausencia de patrulleros y personal policial",0.211,0.199,0.271,0.321,0.307
"P24","Otro",0.069,0.067,0.109,0.091,0.077
"P24","Ninguno",0.062,0.048,0.009,0,0.003
"P25","Muy buena",0.277,0.08,0.095,0.029,0.04
