"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Gustavo Menendez por el Frente de Todos",0.333,0.314,0.353,0.331,0.327,0.35,0.33,0.303,0.373,0.293,0.33,0.359,0.321,0.257,0.412,0.281,0.518,0.172,0.089
"A David Zencich por Juntos por el Cambio",0.258,0.244,0.273,0.227,0.233,0.282,0.339,0.283,0.25,0.226,0.303,0.205,0.279,0.392,0.243,0.238,0.177,0.417,0.553
"Al candidato de Javier Milei",0.192,0.215,0.168,0.263,0.195,0.162,0.116,0.22,0.186,0.149,0.168,0.231,0.063,0.152,0.207,0.26,0.078,0.288,0.324
"A Cristian Franco por el Frente de Izquierda",0.062,0.085,0.038,0.033,0.085,0.065,0.039,0.057,0.054,0.091,0.085,0.057,0.084,0.04,0.028,0.063,0.064,0.021,0
"A otro candidato",0.155,0.142,0.168,0.146,0.16,0.141,0.176,0.137,0.137,0.241,0.114,0.148,0.253,0.159,0.11,0.158,0.163,0.102,0.034
