"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.193,0.137,0.249,0.254,0.173,0.166,0.197,0.227,0.192,0.123,0.204,0.247,0.109,0.133,0.234,0.145,0.277,0.117,0.271,6
"Buena",0.184,0.201,0.168,0.113,0.188,0.19,0.274,0.184,0.197,0.155,0.164,0.198,0.221,0.149,0.107,0.214,0.268,0.129,0.026,6
"Ni buena ni mala",0.181,0.197,0.166,0.136,0.195,0.206,0.173,0.123,0.234,0.173,0.211,0.167,0.179,0.28,0.216,0.085,0.189,0.162,0.145,6
"Mala",0.147,0.138,0.156,0.109,0.158,0.169,0.137,0.14,0.161,0.124,0.15,0.101,0.201,0.299,0.088,0.123,0.108,0.185,0.143,6
"Muy mala",0.267,0.303,0.23,0.388,0.247,0.246,0.17,0.266,0.209,0.413,0.261,0.269,0.231,0.082,0.298,0.433,0.142,0.399,0.415,6
"No sabe",0.028,0.024,0.031,0,0.039,0.023,0.049,0.06,0.007,0.012,0.01,0.018,0.059,0.057,0.057,0,0.016,0.008,0,6
"Positiva",0.377,0.338,0.417,0.367,0.361,0.356,0.471,0.411,0.389,0.278,0.368,0.445,0.33,0.282,0.341,0.359,0.545,0.246,0.297,4
"Neutra",0.181,0.197,0.166,0.136,0.195,0.206,0.173,0.123,0.234,0.173,0.211,0.167,0.179,0.28,0.216,0.085,0.189,0.162,0.145,4
"Negativa",0.414,0.441,0.386,0.497,0.405,0.415,0.307,0.406,0.37,0.537,0.411,0.37,0.432,0.381,0.386,0.556,0.25,0.584,0.558,4
"No sabe",0.028,0.024,0.031,0,0.039,0.023,0.049,0.06,0.007,0.012,0.01,0.018,0.059,0.057,0.057,0,0.016,0.008,0,4
