"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.282,0.197,0.355,0.84,0.18,0.029,0.194,0.318,0.17,0.469,0.597,0.287,0.161,0.37,0.554,0,0.279,0.327,0
"A Sergio Massa",0.197,0.276,0.13,0,0.257,0.072,0.495,0.296,0.179,0.034,0.021,0.31,0.054,0,0.039,0.339,0.164,0.356,0
"A algún candidato del peronismo",0.165,0.136,0.19,0.087,0.156,0.342,0.02,0.168,0.181,0.121,0.031,0.093,0.351,0.246,0.019,0.299,0.13,0.233,0
"A Cristina Fernández de Kirchner",0.356,0.391,0.325,0.073,0.407,0.557,0.291,0.218,0.47,0.376,0.351,0.31,0.434,0.384,0.388,0.362,0.427,0.084,1
